ValueDate,Current Inst,Derived MVA,MVAr Inst,MW Inst,State TSDS,Volts Inst
2026-02-25T00:05:00+00:00,0.0,0.0,0.0,0.0,4.5,32.978
2026-02-25T00:10:00+00:00,0.0,0.0,0.0,0.0,4.5,32.894
2026-02-25T00:15:00+00:00,0.0,0.0,0.0,0.0,4.5,32.878
2026-02-25T00:20:00+00:00,0.0,0.0,0.0,0.0,4.5,32.873
2026-02-25T00:25:00+00:00,0.0,0.0,0.0,0.0,4.5,32.858
2026-02-25T00:30:00+00:00,0.0,0.0,0.0,0.0,4.5,32.888
2026-02-25T00:35:00+00:00,0.0,0.0,0.0,0.0,4.5,32.846
2026-02-25T00:40:00+00:00,0.0,0.0,0.0,0.0,4.5,32.829
2026-02-25T00:45:00+00:00,0.0,0.0,0.0,0.0,4.5,32.834
2026-02-25T00:50:00+00:00,0.0,0.0,0.0,0.0,4.5,32.853
2026-02-25T00:55:00+00:00,0.0,0.0,0.0,0.0,4.5,32.898
2026-02-25T01:00:00+00:00,0.0,0.0,0.0,0.0,4.5,32.884
2026-02-25T01:05:00+00:00,0.0,0.0,0.0,0.0,4.5,32.818
2026-02-25T01:10:00+00:00,0.0,0.0,0.0,0.0,4.5,32.816
2026-02-25T01:15:00+00:00,0.0,0.0,0.0,0.0,4.5,32.83
2026-02-25T01:20:00+00:00,0.0,0.0,0.0,0.0,4.5,32.82
2026-02-25T01:25:00+00:00,0.0,0.0,0.0,0.0,4.5,32.834
2026-02-25T01:30:00+00:00,0.0,0.0,0.0,0.0,4.5,32.873
2026-02-25T01:35:00+00:00,0.0,0.0,0.0,0.0,4.5,32.863
2026-02-25T01:40:00+00:00,0.0,0.0,0.0,0.0,4.5,32.886
2026-02-25T01:45:00+00:00,0.0,0.0,0.0,0.0,4.5,32.914
2026-02-25T01:50:00+00:00,0.0,0.0,0.0,0.0,4.5,32.962
2026-02-25T01:55:00+00:00,0.0,0.0,0.0,0.0,4.5,32.99
2026-02-25T02:00:00+00:00,0.0,0.0,0.0,0.0,4.5,32.998
2026-02-25T02:05:00+00:00,0.0,0.0,0.0,0.0,4.5,32.974
2026-02-25T02:10:00+00:00,0.0,0.0,0.0,0.0,4.5,32.992
2026-02-25T02:15:00+00:00,0.0,0.0,0.0,0.0,4.5,33.044
2026-02-25T02:20:00+00:00,0.0,0.0,0.0,0.0,4.5,33.092
2026-02-25T02:25:00+00:00,0.0,0.0,0.0,0.0,4.5,33.096
2026-02-25T02:30:00+00:00,0.0,0.0,0.0,0.0,4.5,33.11
2026-02-25T02:35:00+00:00,0.0,0.0,0.0,0.0,4.5,33.095
2026-02-25T02:40:00+00:00,0.0,0.0,0.0,0.0,4.5,33.119
2026-02-25T02:45:00+00:00,0.0,0.0,0.0,0.0,4.5,33.13
2026-02-25T02:50:00+00:00,0.0,0.0,0.0,0.0,4.5,33.192
2026-02-25T02:55:00+00:00,0.0,0.0,0.0,0.0,4.5,33.216
2026-02-25T03:00:00+00:00,0.0,0.0,0.0,0.0,4.5,33.218
2026-02-25T03:05:00+00:00,0.0,0.0,0.0,0.0,4.5,33.139
2026-02-25T03:10:00+00:00,0.0,0.0,0.0,0.0,4.5,33.124
2026-02-25T03:15:00+00:00,0.0,0.0,0.0,0.0,4.5,33.144
2026-02-25T03:20:00+00:00,0.0,0.0,0.0,0.0,4.5,33.147
2026-02-25T03:25:00+00:00,0.0,0.0,0.0,0.0,4.5,33.146
2026-02-25T03:30:00+00:00,0.0,0.0,0.0,0.0,4.5,33.18
2026-02-25T03:35:00+00:00,0.0,0.0,0.0,0.0,4.5,33.086
2026-02-25T03:40:00+00:00,0.0,0.0,0.0,0.0,4.5,33.029
2026-02-25T03:45:00+00:00,0.0,0.0,0.0,0.0,4.5,33.064
