ValueDate,MVAr Inst,MW Inst,Volts Inst
2026-02-25T00:05:00+00:00,-0.668,2.022,10.768
2026-02-25T00:10:00+00:00,-0.618,2.15,10.886
2026-02-25T00:15:00+00:00,-0.619,2.185,10.982
2026-02-25T00:20:00+00:00,-0.601,2.21,11.01
2026-02-25T00:25:00+00:00,-0.64,2.19,11.009
2026-02-25T00:30:00+00:00,-0.652,2.13,10.982
2026-02-25T00:35:00+00:00,-0.622,2.228,10.934
2026-02-25T00:40:00+00:00,-0.623,2.296,10.912
2026-02-25T00:45:00+00:00,-0.638,2.338,10.92
2026-02-25T00:50:00+00:00,-0.634,2.345,10.936
2026-02-25T00:55:00+00:00,-0.636,2.332,10.956
2026-02-25T01:00:00+00:00,-0.628,2.299,10.968
2026-02-25T01:05:00+00:00,-0.639,2.266,10.934
2026-02-25T01:10:00+00:00,-0.619,2.254,10.938
2026-02-25T01:15:00+00:00,-0.616,2.253,10.958
2026-02-25T01:20:00+00:00,-0.621,2.213,10.965
2026-02-25T01:25:00+00:00,-0.613,2.178,10.976
2026-02-25T01:30:00+00:00,-0.619,2.137,10.944
2026-02-25T01:35:00+00:00,-0.609,2.122,10.89
2026-02-25T01:40:00+00:00,-0.618,2.099,10.898
2026-02-25T01:45:00+00:00,-0.616,2.101,10.834
2026-02-25T01:50:00+00:00,-0.609,2.074,10.85
2026-02-25T01:55:00+00:00,-0.638,2.064,10.864
2026-02-25T02:00:00+00:00,-0.616,2.008,10.864
2026-02-25T02:05:00+00:00,-0.616,2.022,10.845
2026-02-25T02:10:00+00:00,-0.62,1.993,10.857
2026-02-25T02:15:00+00:00,-0.635,1.958,10.893
2026-02-25T02:20:00+00:00,-0.634,1.985,10.898
2026-02-25T02:25:00+00:00,-0.615,1.985,10.902
2026-02-25T02:30:00+00:00,-0.637,1.95,10.918
2026-02-25T02:35:00+00:00,-0.628,1.926,10.907
2026-02-25T02:40:00+00:00,-0.636,1.93,10.913
2026-02-25T02:45:00+00:00,-0.621,1.936,10.928
2026-02-25T02:50:00+00:00,-0.639,1.897,10.933
2026-02-25T02:55:00+00:00,-0.633,1.876,10.882
2026-02-25T03:00:00+00:00,-0.63,1.88,10.886
2026-02-25T03:05:00+00:00,-0.636,1.848,10.846
2026-02-25T03:10:00+00:00,-0.634,1.834,10.826
2026-02-25T03:15:00+00:00,-0.652,1.806,10.838
2026-02-25T03:20:00+00:00,-0.659,1.803,10.846
2026-02-25T03:25:00+00:00,-0.652,1.781,10.852
2026-02-25T03:30:00+00:00,-0.646,1.773,10.856
2026-02-25T03:35:00+00:00,-0.652,1.76,10.85
2026-02-25T03:40:00+00:00,-0.658,1.715,10.854
2026-02-25T03:45:00+00:00,-0.654,1.732,10.878
2026-02-25T03:50:00+00:00,-0.654,1.722,10.894
2026-02-25T03:55:00+00:00,-0.666,1.736,10.902
2026-02-25T04:00:00+00:00,-0.65,1.705,10.924
2026-02-25T04:05:00+00:00,-0.668,1.733,10.946
2026-02-25T04:10:00+00:00,-0.667,1.712,10.954
2026-02-25T04:15:00+00:00,-0.67,1.698,10.95
2026-02-25T04:20:00+00:00,-0.646,1.684,10.942
2026-02-25T04:25:00+00:00,-0.668,1.674,10.946
2026-02-25T04:30:00+00:00,-0.665,1.692,10.938
2026-02-25T04:35:00+00:00,-0.668,1.674,10.942
2026-02-25T04:40:00+00:00,-0.672,1.67,10.947
2026-02-25T04:45:00+00:00,-0.662,1.643,10.964
2026-02-25T04:50:00+00:00,-0.672,1.653,10.966
2026-02-25T04:55:00+00:00,-0.665,1.683,10.964
2026-02-25T05:00:00+00:00,-0.614,1.724,10.956
2026-02-25T05:05:00+00:00,-0.599,1.744,10.938
2026-02-25T05:10:00+00:00,-0.598,1.788,10.914
2026-02-25T05:15:00+00:00,-0.582,1.787,10.915
2026-02-25T05:20:00+00:00,-0.585,1.81,10.918
2026-02-25T05:25:00+00:00,-0.588,1.802,10.916
2026-02-25T05:30:00+00:00,-0.561,1.796,10.92
2026-02-25T05:35:00+00:00,-0.587,1.808,10.924
2026-02-25T05:40:00+00:00,-0.582,1.812,10.916
2026-02-25T05:45:00+00:00,-0.593,1.832,10.888
2026-02-25T05:50:00+00:00,-0.592,1.89,10.869
2026-02-25T05:55:00+00:00,-0.582,1.968,10.864
2026-02-25T06:00:00+00:00,-0.596,1.978,10.85
2026-02-25T06:05:00+00:00,-0.57,2.093,10.799
2026-02-25T06:10:00+00:00,-0.527,2.138,10.773
2026-02-25T06:15:00+00:00,-0.538,2.166,10.91
2026-02-25T06:20:00+00:00,-0.536,2.205,10.91
2026-02-25T06:25:00+00:00,-0.549,2.226,10.898
2026-02-25T06:30:00+00:00,-0.55,2.206,10.889
2026-02-25T06:35:00+00:00,-0.558,2.29,10.952
2026-02-25T06:40:00+00:00,-0.538,2.44,10.924
2026-02-25T06:45:00+00:00,-0.535,2.474,10.904
2026-02-25T06:50:00+00:00,-0.567,2.47,10.875
2026-02-25T06:55:00+00:00,-0.538,2.526,10.843
2026-02-25T07:00:00+00:00,-0.546,2.549,10.849
2026-02-25T07:05:00+00:00,-0.512,2.622,10.808
2026-02-25T07:10:00+00:00,-0.523,2.739,10.837
2026-02-25T07:15:00+00:00,-0.516,2.77,10.84
2026-02-25T07:20:00+00:00,-0.482,2.806,10.832
