ValueDate,Current Inst,MVA Inst,Volts Inst
2026-02-25T09:10:00+00:00,185.074,3.465,10.988
2026-02-25T09:15:00+00:00,182.974,3.465,11.002
2026-02-25T09:20:00+00:00,180.452,3.465,11.008
2026-02-25T09:25:00+00:00,179.718,3.465,11.033
2026-02-25T09:30:00+00:00,180.219,3.465,11.065
2026-02-25T09:35:00+00:00,180.091,3.465,11.073
2026-02-25T09:40:00+00:00,170.854,3.465,11.106
2026-02-25T09:45:00+00:00,168.964,3.465,11.116
2026-02-25T09:50:00+00:00,164.522,3.465,11.104
2026-02-25T09:55:00+00:00,163.62,3.465,11.111
2026-02-25T10:00:00+00:00,160.715,3.465,11.135
2026-02-25T10:05:00+00:00,160.822,3.465,11.14
2026-02-25T10:10:00+00:00,160.692,3.465,11.188
2026-02-25T10:15:00+00:00,155.682,3.465,11.05
2026-02-25T10:20:00+00:00,149.468,3.465,10.982
2026-02-25T10:25:00+00:00,147.19,3.465,10.956
2026-02-25T10:30:00+00:00,148.591,3.465,10.971
2026-02-25T10:35:00+00:00,146.939,3.465,10.971
2026-02-25T10:40:00+00:00,146.272,3.465,10.964
2026-02-25T10:45:00+00:00,145.861,3.465,10.984
2026-02-25T10:50:00+00:00,143.272,3.465,10.996
2026-02-25T10:55:00+00:00,141.408,3.465,11.023
2026-02-25T11:00:00+00:00,137.735,3.465,11.027
2026-02-25T11:05:00+00:00,137.002,3.465,10.98
2026-02-25T11:10:00+00:00,136.491,3.465,10.973
2026-02-25T11:15:00+00:00,136.053,3.465,10.96
2026-02-25T11:20:00+00:00,134.326,3.465,10.994
2026-02-25T11:25:00+00:00,131.138,3.465,11.02
2026-02-25T11:30:00+00:00,131.228,3.465,11.012
2026-02-25T11:35:00+00:00,134.18,3.465,11.01
2026-02-25T11:40:00+00:00,137.13,3.465,11.014
2026-02-25T11:45:00+00:00,133.962,3.465,11.025
2026-02-25T11:50:00+00:00,130.797,3.465,11.025
2026-02-25T11:55:00+00:00,146.682,3.465,11.016
2026-02-25T12:00:00+00:00,159.762,3.465,11.016
2026-02-25T12:05:00+00:00,162.999,3.465,11.024
2026-02-25T12:10:00+00:00,165.305,3.465,11.064
2026-02-25T12:15:00+00:00,158.139,3.465,11.048
2026-02-25T12:20:00+00:00,144.135,3.465,11.034
2026-02-25T12:25:00+00:00,136.921,3.465,11.022
2026-02-25T12:30:00+00:00,148.384,3.465,11.006
2026-02-25T12:35:00+00:00,153.116,3.465,10.99
2026-02-25T12:40:00+00:00,146.032,3.465,10.988
2026-02-25T12:45:00+00:00,165.112,3.465,10.982
2026-02-25T12:50:00+00:00,168.028,3.465,10.982
2026-02-25T12:55:00+00:00,165.496,3.465,10.994
2026-02-25T13:00:00+00:00,161.806,3.465,11.003
2026-02-25T13:05:00+00:00,158.245,3.465,11.032
2026-02-25T13:10:00+00:00,165.49,3.465,11.026
2026-02-25T13:15:00+00:00,155.267,3.465,11.048
2026-02-25T13:20:00+00:00,139.365,3.465,11.07
2026-02-25T13:25:00+00:00,130.164,3.465,11.074
2026-02-25T13:30:00+00:00,148.181,3.465,11.071
2026-02-25T13:35:00+00:00,162.794,3.465,11.061
2026-02-25T13:40:00+00:00,158.088,3.465,11.076
2026-02-25T13:45:00+00:00,162.564,3.465,11.07
2026-02-25T13:50:00+00:00,158.066,3.465,11.07
2026-02-25T13:55:00+00:00,166.528,3.465,11.103
2026-02-25T14:00:00+00:00,167.289,3.465,11.11
2026-02-25T14:05:00+00:00,168.72,3.465,11.108
2026-02-25T14:10:00+00:00,170.036,3.465,11.1
2026-02-25T14:15:00+00:00,171.25,3.465,11.103
2026-02-25T14:20:00+00:00,175.89,3.465,11.097
2026-02-25T14:25:00+00:00,178.14,3.465,11.102
2026-02-25T14:30:00+00:00,179.834,3.465,11.096
2026-02-25T14:35:00+00:00,179.87,3.465,11.079
2026-02-25T14:40:00+00:00,182.798,3.465,11.061
2026-02-25T14:45:00+00:00,183.183,3.465,11.05
2026-02-25T14:50:00+00:00,185.978,3.465,11.087
2026-02-25T14:55:00+00:00,185.836,3.465,11.11
2026-02-25T15:00:00+00:00,188.57,3.465,11.137
2026-02-25T15:05:00+00:00,187.069,3.465,11.149
2026-02-25T15:10:00+00:00,186.334,3.465,11.186
2026-02-25T15:15:00+00:00,185.938,3.465,11.103
2026-02-25T15:20:00+00:00,185.493,3.465,11.078
2026-02-25T15:25:00+00:00,187.83,3.465,11.08
2026-02-25T15:30:00+00:00,188.618,3.465,11.065
2026-02-25T15:35:00+00:00,187.802,3.465,11.052
2026-02-25T15:40:00+00:00,188.28,3.465,11.03
2026-02-25T15:45:00+00:00,191.13,3.465,11.018
2026-02-25T15:50:00+00:00,191.544,3.465,11.002
2026-02-25T15:55:00+00:00,193.926,3.465,10.99
2026-02-25T16:00:00+00:00,196.211,3.465,10.98
2026-02-25T16:05:00+00:00,196.848,3.465,10.976
2026-02-25T16:10:00+00:00,197.496,3.465,10.98
2026-02-25T16:15:00+00:00,200.02,3.465,11.008
2026-02-25T16:20:00+00:00,200.998,3.465,10.987
2026-02-25T16:25:00+00:00,202.724,3.465,10.968
2026-02-25T16:30:00+00:00,205.694,3.465,11.052
2026-02-25T16:35:00+00:00,208.44,3.465,11.093
2026-02-25T16:40:00+00:00,211.275,3.465,11.118
2026-02-25T16:45:00+00:00,212.813,3.465,11.078
2026-02-25T16:50:00+00:00,214.918,3.465,11.068
2026-02-25T16:55:00+00:00,221.926,3.465,11.075
2026-02-25T17:00:00+00:00,222.619,3.465,11.123
2026-02-25T17:05:00+00:00,227.428,3.465,11.128
2026-02-25T17:10:00+00:00,228.226,3.465,11.068
2026-02-25T17:15:00+00:00,226.946,3.465,11.05
2026-02-25T17:20:00+00:00,231.374,3.465,11.025
2026-02-25T17:25:00+00:00,234.008,3.465,11.009
2026-02-25T17:30:00+00:00,232.82,3.465,10.99
2026-02-25T17:35:00+00:00,237.904,3.465,10.974
2026-02-25T17:40:00+00:00,242.858,3.465,10.971
2026-02-25T17:45:00+00:00,246.055,3.465,11.014
2026-02-25T17:50:00+00:00,243.835,3.465,11.003
2026-02-25T17:55:00+00:00,246.57,3.465,10.996
2026-02-25T18:00:00+00:00,249.099,3.465,10.99
