ValueDate,Current Inst,MVA Inst,Volts Inst
2026-02-25T00:05:00+00:00,54.39,1.706,10.698
2026-02-25T00:10:00+00:00,60.055,1.706,10.72
2026-02-25T00:15:00+00:00,71.384,1.706,10.762
2026-02-25T00:20:00+00:00,72.242,1.706,10.76
2026-02-25T00:25:00+00:00,71.745,1.706,10.76
2026-02-25T00:30:00+00:00,70.266,1.706,10.783
2026-02-25T00:35:00+00:00,70.608,1.706,10.753
2026-02-25T00:40:00+00:00,71.09,1.706,10.757
2026-02-25T00:45:00+00:00,70.415,1.706,10.794
2026-02-25T00:50:00+00:00,70.064,1.706,10.824
2026-02-25T00:55:00+00:00,71.364,1.706,10.83
2026-02-25T01:00:00+00:00,72.744,1.706,10.838
2026-02-25T01:05:00+00:00,74.499,1.706,10.812
2026-02-25T01:10:00+00:00,73.847,1.706,10.817
2026-02-25T01:15:00+00:00,71.841,1.706,10.843
2026-02-25T01:20:00+00:00,70.929,1.706,10.853
2026-02-25T01:25:00+00:00,70.316,1.706,10.87
2026-02-25T01:30:00+00:00,69.443,1.706,10.888
2026-02-25T01:35:00+00:00,69.661,1.706,10.87
2026-02-25T01:40:00+00:00,69.078,1.706,10.886
2026-02-25T01:45:00+00:00,70.453,1.706,10.904
2026-02-25T01:50:00+00:00,71.539,1.706,10.897
2026-02-25T01:55:00+00:00,70.201,1.706,10.764
2026-02-25T02:00:00+00:00,68.634,1.706,10.753
2026-02-25T02:05:00+00:00,70.084,1.706,10.742
2026-02-25T02:10:00+00:00,70.322,1.706,10.754
2026-02-25T02:15:00+00:00,69.676,1.706,10.778
2026-02-25T02:20:00+00:00,68.768,1.706,10.79
2026-02-25T02:25:00+00:00,68.876,1.706,10.797
2026-02-25T02:30:00+00:00,69.652,1.706,10.811
2026-02-25T02:35:00+00:00,68.79,1.706,10.801
2026-02-25T02:40:00+00:00,68.049,1.706,10.812
2026-02-25T02:45:00+00:00,66.719,1.706,10.839
2026-02-25T02:50:00+00:00,65.992,1.706,10.864
2026-02-25T02:55:00+00:00,66.151,1.706,10.87
2026-02-25T03:00:00+00:00,66.156,1.706,10.87
2026-02-25T03:05:00+00:00,65.813,1.706,10.824
2026-02-25T03:10:00+00:00,65.47,1.706,10.81
2026-02-25T03:15:00+00:00,64.5,1.706,10.84
2026-02-25T03:20:00+00:00,64.929,1.706,10.852
2026-02-25T03:25:00+00:00,64.779,1.706,10.851
2026-02-25T03:30:00+00:00,62.612,1.706,10.852
2026-02-25T03:35:00+00:00,62.408,1.706,10.849
2026-02-25T03:40:00+00:00,62.021,1.706,10.859
2026-02-25T03:45:00+00:00,61.437,1.706,10.884
2026-02-25T03:50:00+00:00,61.619,1.706,10.895
2026-02-25T03:55:00+00:00,60.271,1.706,10.911
2026-02-25T04:00:00+00:00,60.762,1.706,10.921
2026-02-25T04:05:00+00:00,63.282,1.706,10.928
2026-02-25T04:10:00+00:00,63.364,1.706,10.92
2026-02-25T04:15:00+00:00,62.7,1.706,10.908
2026-02-25T04:20:00+00:00,60.044,1.706,10.908
2026-02-25T04:25:00+00:00,59.233,1.706,10.908
2026-02-25T04:30:00+00:00,60.034,1.706,10.909
2026-02-25T04:35:00+00:00,60.134,1.706,10.89
2026-02-25T04:40:00+00:00,60.124,1.706,10.9
2026-02-25T04:45:00+00:00,61.296,1.706,10.902
2026-02-25T04:50:00+00:00,61.186,1.706,10.9
2026-02-25T04:55:00+00:00,60.272,1.706,10.897
2026-02-25T05:00:00+00:00,59.118,1.706,10.92
2026-02-25T05:05:00+00:00,58.644,1.706,10.908
2026-02-25T05:10:00+00:00,59.951,1.706,10.882
2026-02-25T05:15:00+00:00,57.985,1.706,10.888
2026-02-25T05:20:00+00:00,57.367,1.706,10.87
2026-02-25T05:25:00+00:00,57.186,1.706,10.858
2026-02-25T05:30:00+00:00,57.44,1.706,10.866
2026-02-25T05:35:00+00:00,58.014,1.706,10.866
2026-02-25T05:40:00+00:00,58.0,1.706,10.869
2026-02-25T05:45:00+00:00,56.51,1.706,10.832
2026-02-25T05:50:00+00:00,57.87,1.706,10.801
2026-02-25T05:55:00+00:00,58.044,1.706,10.796
2026-02-25T06:00:00+00:00,59.921,1.706,10.78
2026-02-25T06:05:00+00:00,60.526,1.706,10.706
2026-02-25T06:10:00+00:00,60.975,1.706,10.822
2026-02-25T06:15:00+00:00,63.187,1.706,10.869
2026-02-25T06:20:00+00:00,69.616,1.706,10.798
2026-02-25T06:25:00+00:00,71.826,1.706,10.802
2026-02-25T06:30:00+00:00,72.666,1.706,10.802
2026-02-25T06:35:00+00:00,75.141,1.706,10.774
2026-02-25T06:40:00+00:00,75.598,1.706,10.744
2026-02-25T06:45:00+00:00,76.688,1.706,10.715
2026-02-25T06:50:00+00:00,84.918,1.706,10.753
2026-02-25T06:55:00+00:00,89.547,1.706,10.842
2026-02-25T07:00:00+00:00,90.379,1.706,10.866
2026-02-25T07:05:00+00:00,88.086,1.706,10.83
2026-02-25T07:10:00+00:00,75.55,1.706,10.813
2026-02-25T07:15:00+00:00,77.88,1.706,10.797
2026-02-25T07:20:00+00:00,77.58,1.706,10.791
2026-02-25T07:25:00+00:00,77.298,1.706,10.8
2026-02-25T07:30:00+00:00,76.282,1.706,10.817
2026-02-25T07:35:00+00:00,76.91,1.706,10.785
2026-02-25T07:40:00+00:00,78.949,1.706,10.756
2026-02-25T07:45:00+00:00,77.323,1.706,10.754
2026-02-25T07:50:00+00:00,78.3,1.706,10.817
2026-02-25T07:55:00+00:00,77.865,1.706,10.817
2026-02-25T08:00:00+00:00,79.484,1.706,10.818
2026-02-25T08:05:00+00:00,79.994,1.706,10.818
2026-02-25T08:10:00+00:00,77.265,1.706,10.808
2026-02-25T08:15:00+00:00,76.248,1.706,10.81
2026-02-25T08:20:00+00:00,75.025,1.706,10.84
2026-02-25T08:25:00+00:00,77.006,1.706,10.849
2026-02-25T08:30:00+00:00,74.814,1.706,10.88
2026-02-25T08:35:00+00:00,74.786,1.706,10.916
2026-02-25T08:40:00+00:00,74.128,1.706,10.909
2026-02-25T08:45:00+00:00,74.07,1.706,10.866
2026-02-25T08:50:00+00:00,74.843,1.706,10.854
2026-02-25T08:55:00+00:00,73.179,1.706,10.83
2026-02-25T09:00:00+00:00,72.973,1.706,10.81
2026-02-25T09:05:00+00:00,73.204,1.706,10.794
2026-02-25T09:10:00+00:00,72.858,1.706,10.812
2026-02-25T09:15:00+00:00,73.441,1.706,10.824
2026-02-25T09:20:00+00:00,72.178,1.706,10.838
2026-02-25T09:25:00+00:00,70.293,1.706,10.858
2026-02-25T09:30:00+00:00,71.195,1.706,10.893
2026-02-25T09:35:00+00:00,69.414,1.706,10.906
2026-02-25T09:40:00+00:00,64.634,1.706,10.937
2026-02-25T09:45:00+00:00,65.768,1.706,10.936
2026-02-25T09:50:00+00:00,82.492,1.706,10.898
2026-02-25T09:55:00+00:00,84.232,1.706,10.897
2026-02-25T10:00:00+00:00,81.435,1.706,10.93
2026-02-25T10:05:00+00:00,82.676,1.706,10.934
2026-02-25T10:10:00+00:00,81.809,1.706,10.979
2026-02-25T10:15:00+00:00,82.185,1.706,10.939
2026-02-25T10:20:00+00:00,75.508,1.706,10.898
