ValueDate,MVA Inst,MVAr Inst,MW Inst,Volts Inst
2026-02-25T00:05:00+00:00,0.974,-0.114,0.61,10.777
2026-02-25T00:10:00+00:00,0.988,-0.11,0.697,10.756
2026-02-25T00:15:00+00:00,1.011,-0.111,0.728,10.79
2026-02-25T00:20:00+00:00,1.036,-0.112,0.727,10.797
2026-02-25T00:25:00+00:00,1.06,-0.108,0.722,10.8
2026-02-25T00:30:00+00:00,1.084,-0.101,0.733,10.813
2026-02-25T00:35:00+00:00,1.108,-0.094,0.774,10.78
2026-02-25T00:40:00+00:00,1.116,-0.093,0.8,10.749
2026-02-25T00:45:00+00:00,1.112,-0.089,0.811,10.759
2026-02-25T00:50:00+00:00,1.109,-0.082,0.812,10.768
2026-02-25T00:55:00+00:00,1.106,-0.085,0.799,10.786
2026-02-25T01:00:00+00:00,1.102,-0.095,0.797,10.793
2026-02-25T01:05:00+00:00,1.098,-0.08,0.826,10.759
2026-02-25T01:10:00+00:00,1.095,-0.075,0.831,10.76
2026-02-25T01:15:00+00:00,1.092,-0.069,0.824,10.776
2026-02-25T01:20:00+00:00,1.088,-0.068,0.814,10.788
2026-02-25T01:25:00+00:00,1.085,-0.07,0.82,10.801
2026-02-25T01:30:00+00:00,1.082,-0.076,0.818,10.811
2026-02-25T01:35:00+00:00,1.078,-0.08,0.8,10.813
2026-02-25T01:40:00+00:00,1.074,-0.085,0.806,10.817
2026-02-25T01:45:00+00:00,1.071,-0.084,0.79,10.834
2026-02-25T01:50:00+00:00,1.068,-0.088,0.79,10.856
2026-02-25T01:55:00+00:00,1.064,-0.09,0.786,10.872
2026-02-25T02:00:00+00:00,1.061,-0.093,0.774,10.87
2026-02-25T02:05:00+00:00,1.058,-0.08,0.799,10.844
2026-02-25T02:10:00+00:00,1.054,-0.086,0.811,10.849
2026-02-25T02:15:00+00:00,1.05,-0.101,0.818,10.874
2026-02-25T02:20:00+00:00,1.048,-0.101,0.795,10.886
2026-02-25T02:25:00+00:00,1.044,-0.105,0.788,10.893
2026-02-25T02:30:00+00:00,1.04,-0.1,0.784,10.906
2026-02-25T02:35:00+00:00,1.037,-0.098,0.783,10.896
2026-02-25T02:40:00+00:00,1.034,-0.107,0.783,10.908
2026-02-25T02:45:00+00:00,1.03,-0.102,0.772,10.921
2026-02-25T02:50:00+00:00,1.027,-0.101,0.776,10.951
2026-02-25T02:55:00+00:00,1.024,-0.114,0.77,10.948
2026-02-25T03:00:00+00:00,1.02,-0.108,0.765,10.953
