ValueDate,MVA Inst,MVAr Inst,MW Inst,Volts Inst
2026-02-25T07:50:00+00:00,1.774,0.71,-2.092,11.291
2026-02-25T07:55:00+00:00,1.774,0.701,-2.131,11.276
2026-02-25T08:00:00+00:00,1.774,0.697,-2.188,11.338
2026-02-25T08:05:00+00:00,1.774,0.707,-2.191,11.349
2026-02-25T08:10:00+00:00,1.774,0.699,-2.206,11.331
2026-02-25T08:15:00+00:00,1.774,0.686,-2.205,11.323
2026-02-25T08:20:00+00:00,1.774,0.678,-2.169,11.349
2026-02-25T08:25:00+00:00,1.774,0.682,-2.178,11.36
2026-02-25T08:30:00+00:00,1.774,0.685,-2.191,11.395
2026-02-25T08:35:00+00:00,1.774,0.697,-2.193,11.401
2026-02-25T08:40:00+00:00,1.774,0.698,-2.147,11.416
2026-02-25T08:45:00+00:00,1.774,0.702,-2.128,11.42
2026-02-25T08:50:00+00:00,1.774,0.689,-2.106,11.407
2026-02-25T08:55:00+00:00,1.774,0.682,-2.067,11.408
2026-02-25T09:00:00+00:00,1.774,0.707,-2.045,11.348
2026-02-25T09:05:00+00:00,1.774,0.724,-2.072,11.317
2026-02-25T09:10:00+00:00,1.774,0.703,-2.092,11.304
2026-02-25T09:15:00+00:00,1.774,0.71,-2.093,11.296
2026-02-25T09:20:00+00:00,1.774,0.714,-2.057,11.314
2026-02-25T09:25:00+00:00,1.774,0.709,-2.034,11.336
2026-02-25T09:30:00+00:00,1.774,0.718,-2.026,11.366
2026-02-25T09:35:00+00:00,1.774,0.721,-2.029,11.366
2026-02-25T09:40:00+00:00,1.774,0.729,-2.018,11.34
2026-02-25T09:45:00+00:00,1.774,0.736,-1.995,11.292
2026-02-25T09:50:00+00:00,1.774,0.739,-1.987,11.292
2026-02-25T09:55:00+00:00,1.774,0.734,-1.966,11.31
2026-02-25T10:00:00+00:00,1.774,0.736,-1.948,11.351
2026-02-25T10:05:00+00:00,1.774,0.727,-1.929,11.362
2026-02-25T10:10:00+00:00,1.774,0.702,-1.936,11.359
2026-02-25T10:15:00+00:00,1.774,0.71,-1.916,11.368
2026-02-25T10:20:00+00:00,1.774,0.716,-1.863,11.353
2026-02-25T10:25:00+00:00,1.774,0.719,-1.871,11.37
2026-02-25T10:30:00+00:00,1.774,0.705,-1.859,11.375
2026-02-25T10:35:00+00:00,1.774,0.725,-1.846,11.266
2026-02-25T10:40:00+00:00,1.774,0.715,-1.801,11.256
2026-02-25T10:45:00+00:00,1.774,0.703,-1.798,11.262
2026-02-25T10:50:00+00:00,1.774,0.699,-1.786,11.285
2026-02-25T10:55:00+00:00,1.774,0.716,-1.756,11.294
2026-02-25T11:00:00+00:00,1.774,0.73,-1.722,11.308
2026-02-25T11:05:00+00:00,1.774,0.716,-1.757,11.288
2026-02-25T11:10:00+00:00,1.774,0.708,-1.752,11.274
2026-02-25T11:15:00+00:00,1.774,0.724,-1.71,11.269
2026-02-25T11:20:00+00:00,1.774,0.717,-1.734,11.262
2026-02-25T11:25:00+00:00,1.774,0.728,-1.708,11.297
2026-02-25T11:30:00+00:00,1.774,0.731,-1.673,11.298
2026-02-25T11:35:00+00:00,1.774,0.739,-1.673,11.297
2026-02-25T11:40:00+00:00,1.774,0.738,-1.637,11.29
2026-02-25T11:45:00+00:00,1.774,0.732,-1.656,11.282
2026-02-25T11:50:00+00:00,1.774,0.727,-1.63,11.276
2026-02-25T11:55:00+00:00,1.774,0.725,-1.631,11.282
2026-02-25T12:00:00+00:00,1.774,0.709,-1.635,11.264
2026-02-25T12:05:00+00:00,1.774,0.707,-1.655,11.254
2026-02-25T12:10:00+00:00,1.774,0.714,-1.68,11.282
2026-02-25T12:15:00+00:00,1.774,0.714,-1.667,11.279
2026-02-25T12:20:00+00:00,1.774,0.717,-1.672,11.31
2026-02-25T12:25:00+00:00,1.774,0.726,-1.64,11.31
2026-02-25T12:30:00+00:00,1.774,0.719,-1.675,11.302
2026-02-25T12:35:00+00:00,1.774,0.719,-1.655,11.292
2026-02-25T12:40:00+00:00,1.774,0.709,-1.67,11.292
2026-02-25T12:45:00+00:00,1.774,0.718,-1.648,11.316
2026-02-25T12:50:00+00:00,1.774,0.718,-1.636,11.315
2026-02-25T12:55:00+00:00,1.774,0.724,-1.67,11.326
2026-02-25T13:00:00+00:00,1.774,0.724,-1.64,11.34
2026-02-25T13:05:00+00:00,1.774,0.726,-1.632,11.32
2026-02-25T13:10:00+00:00,1.774,0.718,-1.619,11.318
2026-02-25T13:15:00+00:00,1.774,0.724,-1.641,11.337
2026-02-25T13:20:00+00:00,1.774,0.718,-1.655,11.338
2026-02-25T13:25:00+00:00,1.774,0.724,-1.655,11.34
2026-02-25T13:30:00+00:00,1.774,0.716,-1.611,11.348
2026-02-25T13:35:00+00:00,1.774,0.727,-1.588,11.347
2026-02-25T13:40:00+00:00,1.774,0.716,-1.608,11.342
2026-02-25T13:45:00+00:00,1.774,0.708,-1.6,11.33
2026-02-25T13:50:00+00:00,1.774,0.697,-1.604,11.332
2026-02-25T13:55:00+00:00,1.774,0.696,-1.61,11.352
2026-02-25T14:00:00+00:00,1.774,0.694,-1.624,11.363
2026-02-25T14:05:00+00:00,1.774,0.701,-1.608,11.363
2026-02-25T14:10:00+00:00,1.774,0.713,-1.554,11.372
2026-02-25T14:15:00+00:00,1.774,0.705,-1.594,11.354
2026-02-25T14:20:00+00:00,1.774,0.702,-1.61,11.339
2026-02-25T14:25:00+00:00,1.774,0.7,-1.602,11.354
2026-02-25T14:30:00+00:00,1.774,0.712,-1.596,11.349
2026-02-25T14:35:00+00:00,1.774,0.702,-1.623,11.324
2026-02-25T14:40:00+00:00,1.774,0.716,-1.595,11.338
2026-02-25T14:45:00+00:00,1.774,0.714,-1.601,11.349
2026-02-25T14:50:00+00:00,1.774,0.714,-1.637,11.311
2026-02-25T14:55:00+00:00,1.774,0.723,-1.626,11.328
2026-02-25T15:00:00+00:00,1.774,0.73,-1.64,11.348
2026-02-25T15:05:00+00:00,1.774,0.706,-1.666,11.345
2026-02-25T15:10:00+00:00,1.774,0.693,-1.688,11.343
2026-02-25T15:15:00+00:00,1.774,0.707,-1.715,11.343
2026-02-25T15:20:00+00:00,1.774,0.705,-1.725,11.334
2026-02-25T15:25:00+00:00,1.774,0.693,-1.808,11.317
2026-02-25T15:30:00+00:00,1.774,0.694,-1.83,11.296
2026-02-25T15:35:00+00:00,1.774,0.691,-1.823,11.278
2026-02-25T15:40:00+00:00,1.774,0.697,-1.797,11.262
2026-02-25T15:45:00+00:00,1.774,0.697,-1.838,11.24
2026-02-25T15:50:00+00:00,1.774,0.706,-1.852,11.316
2026-02-25T15:55:00+00:00,1.774,0.722,-1.86,11.322
2026-02-25T16:00:00+00:00,1.774,0.715,-1.874,11.296
2026-02-25T16:05:00+00:00,1.774,0.711,-1.91,11.258
2026-02-25T16:10:00+00:00,1.774,0.715,-1.926,11.236
2026-02-25T16:15:00+00:00,1.774,0.716,-1.954,11.314
2026-02-25T16:20:00+00:00,1.774,0.716,-1.97,11.306
2026-02-25T16:25:00+00:00,1.774,0.717,-1.987,11.285
2026-02-25T16:30:00+00:00,1.774,0.728,-1.984,11.298
2026-02-25T16:35:00+00:00,1.774,0.738,-2.027,11.3
2026-02-25T16:40:00+00:00,1.774,0.74,-2.032,11.282
2026-02-25T16:45:00+00:00,1.774,0.734,-2.074,11.284
2026-02-25T16:50:00+00:00,1.774,0.728,-2.084,11.236
2026-02-25T16:55:00+00:00,1.774,0.726,-2.102,11.262
2026-02-25T17:00:00+00:00,1.774,0.729,-2.148,11.282
2026-02-25T17:05:00+00:00,1.774,0.738,-2.197,11.282
2026-02-25T17:10:00+00:00,1.774,0.724,-2.245,11.262
2026-02-25T17:15:00+00:00,1.774,0.718,-2.267,11.256
2026-02-25T17:20:00+00:00,1.774,0.735,-2.28,11.253
2026-02-25T17:25:00+00:00,1.774,0.739,-2.289,11.238
2026-02-25T17:30:00+00:00,1.774,0.725,-2.306,11.227
2026-02-25T17:35:00+00:00,1.774,0.733,-2.35,11.221
2026-02-25T17:40:00+00:00,1.774,0.714,-2.346,11.214
2026-02-25T17:45:00+00:00,1.774,0.7,-2.405,11.2
2026-02-25T17:50:00+00:00,1.774,0.696,-2.428,11.26
2026-02-25T17:55:00+00:00,1.774,0.71,-2.406,11.268
2026-02-25T18:00:00+00:00,1.774,0.697,-2.414,11.281
2026-02-25T18:05:00+00:00,1.774,0.691,-2.463,11.315
2026-02-25T18:10:00+00:00,1.774,0.713,-2.451,11.35
2026-02-25T18:15:00+00:00,1.774,0.692,-2.431,11.369
2026-02-25T18:20:00+00:00,1.774,0.696,-2.465,11.376
2026-02-25T18:25:00+00:00,1.774,0.709,-2.464,11.39
2026-02-25T18:30:00+00:00,1.774,0.697,-2.463,11.402
2026-02-25T18:35:00+00:00,1.774,0.708,-2.464,11.402
2026-02-25T18:40:00+00:00,1.774,0.702,-2.418,11.414
2026-02-25T18:45:00+00:00,1.774,0.717,-2.402,11.43
2026-02-25T18:50:00+00:00,1.774,0.725,-2.383,11.354
2026-02-25T18:55:00+00:00,1.774,0.712,-2.423,11.296
2026-02-25T19:00:00+00:00,1.774,0.726,-2.362,11.324
2026-02-25T19:05:00+00:00,1.774,0.746,-2.32,11.263
2026-02-25T19:10:00+00:00,1.774,0.751,-2.278,11.24
2026-02-25T19:15:00+00:00,1.774,0.743,-2.293,11.232
2026-02-25T19:20:00+00:00,1.774,0.744,-2.288,11.257
2026-02-25T19:25:00+00:00,1.774,0.75,-2.24,11.262
2026-02-25T19:30:00+00:00,1.774,0.738,-2.258,11.228
2026-02-25T19:35:00+00:00,1.774,0.728,-2.238,11.231
2026-02-25T19:40:00+00:00,1.774,0.722,-2.224,11.232
2026-02-25T19:45:00+00:00,1.774,0.737,-2.2,11.253
2026-02-25T19:50:00+00:00,1.774,0.738,-2.19,11.24
2026-02-25T19:55:00+00:00,1.774,0.745,-2.176,11.253
2026-02-25T20:00:00+00:00,1.774,0.756,-2.139,11.264
2026-02-25T20:05:00+00:00,1.774,0.752,-2.136,11.256
2026-02-25T20:10:00+00:00,1.774,0.746,-2.136,11.282
2026-02-25T20:15:00+00:00,1.774,0.752,-2.106,11.27
2026-02-25T20:20:00+00:00,1.774,0.77,-2.127,11.334
2026-02-25T20:25:00+00:00,1.774,0.76,-2.107,11.36
2026-02-25T20:30:00+00:00,1.774,0.76,-2.07,11.362
2026-02-25T20:35:00+00:00,1.774,0.758,-2.042,11.356
2026-02-25T20:40:00+00:00,1.774,0.753,-2.046,11.36
2026-02-25T20:45:00+00:00,1.774,0.742,-2.07,11.354
2026-02-25T20:50:00+00:00,1.774,0.748,-2.055,11.379
2026-02-25T20:55:00+00:00,1.774,0.77,-2.036,11.377
2026-02-25T21:00:00+00:00,1.774,0.762,-2.015,11.343
2026-02-25T21:05:00+00:00,1.774,0.763,-2.002,11.352
2026-02-25T21:10:00+00:00,1.774,0.755,-1.968,11.36
2026-02-25T21:15:00+00:00,1.774,0.747,-1.98,11.381
2026-02-25T21:20:00+00:00,1.774,0.732,-1.993,11.372
2026-02-25T21:25:00+00:00,1.774,0.741,-1.998,11.382
2026-02-25T21:30:00+00:00,1.774,0.75,-1.984,11.386
2026-02-25T21:35:00+00:00,1.774,0.751,-1.954,11.396
2026-02-25T21:40:00+00:00,1.774,0.749,-1.936,11.424
2026-02-25T21:45:00+00:00,1.774,0.751,-1.903,11.438
2026-02-25T21:50:00+00:00,1.774,0.753,-1.924,11.296
2026-02-25T21:55:00+00:00,1.774,0.757,-1.891,11.292
2026-02-25T22:00:00+00:00,1.774,0.743,-1.893,11.304
2026-02-25T22:05:00+00:00,1.774,0.741,-1.867,11.304
2026-02-25T22:10:00+00:00,1.774,0.747,-1.862,11.314
2026-02-25T22:15:00+00:00,1.774,0.748,-1.85,11.329
2026-02-25T22:20:00+00:00,1.774,0.73,-1.821,11.328
2026-02-25T22:25:00+00:00,1.774,0.726,-1.833,11.34
2026-02-25T22:30:00+00:00,1.774,0.752,-1.794,11.373
2026-02-25T22:35:00+00:00,1.774,0.751,-1.783,11.388
2026-02-25T22:40:00+00:00,1.774,0.758,-1.759,11.4
2026-02-25T22:45:00+00:00,1.774,0.747,-1.75,11.406
