ValueDate,Current Inst,MVA Inst,Volts Inst
2026-02-25T00:05:00+00:00,51.314,0.966,10.683
2026-02-25T00:10:00+00:00,51.782,0.999,10.721
2026-02-25T00:15:00+00:00,54.902,1.068,10.736
2026-02-25T00:20:00+00:00,56.694,1.061,10.713
2026-02-25T00:25:00+00:00,55.897,1.023,10.718
2026-02-25T00:30:00+00:00,54.543,0.98,10.736
2026-02-25T00:35:00+00:00,53.903,1.007,10.691
2026-02-25T00:40:00+00:00,54.192,1.008,10.674
2026-02-25T00:45:00+00:00,54.855,1.024,10.674
2026-02-25T00:50:00+00:00,55.792,1.034,10.689
2026-02-25T00:55:00+00:00,53.88,0.987,10.705
2026-02-25T01:00:00+00:00,53.977,1.02,10.713
2026-02-25T01:05:00+00:00,55.787,1.07,10.683
2026-02-25T01:10:00+00:00,55.896,1.101,10.685
2026-02-25T01:15:00+00:00,57.462,1.083,10.694
2026-02-25T01:20:00+00:00,56.375,1.061,10.694
2026-02-25T01:25:00+00:00,57.67,1.077,10.712
2026-02-25T01:30:00+00:00,55.047,1.029,10.733
2026-02-25T01:35:00+00:00,56.34,1.062,10.73
2026-02-25T01:40:00+00:00,55.165,0.998,10.735
2026-02-25T01:45:00+00:00,53.14,0.974,10.755
2026-02-25T01:50:00+00:00,53.261,0.954,10.789
2026-02-25T01:55:00+00:00,52.22,0.933,10.793
2026-02-25T02:00:00+00:00,52.2,0.976,10.801
2026-02-25T02:05:00+00:00,52.964,0.984,10.772
2026-02-25T02:10:00+00:00,52.138,0.962,10.791
2026-02-25T02:15:00+00:00,51.91,0.94,10.824
2026-02-25T02:20:00+00:00,50.546,0.954,10.831
2026-02-25T02:25:00+00:00,51.502,0.972,10.844
2026-02-25T02:30:00+00:00,50.13,0.938,10.849
2026-02-25T02:35:00+00:00,50.197,0.957,10.832
2026-02-25T02:40:00+00:00,50.342,0.976,10.846
2026-02-25T02:45:00+00:00,49.602,0.995,10.861
2026-02-25T02:50:00+00:00,50.354,0.977,10.869
2026-02-25T02:55:00+00:00,50.34,0.95,10.848
2026-02-25T03:00:00+00:00,48.321,0.98,10.852
2026-02-25T03:05:00+00:00,51.36,1.005,10.814
2026-02-25T03:10:00+00:00,52.792,0.981,10.805
2026-02-25T03:15:00+00:00,52.27,0.944,10.815
2026-02-25T03:20:00+00:00,50.373,0.965,10.832
2026-02-25T03:25:00+00:00,49.265,0.917,10.831
2026-02-25T03:30:00+00:00,49.674,0.904,10.841
2026-02-25T03:35:00+00:00,48.941,0.891,10.828
2026-02-25T03:40:00+00:00,49.623,0.878,10.833
2026-02-25T03:45:00+00:00,49.864,0.864,10.852
2026-02-25T03:50:00+00:00,48.236,0.851,10.87
2026-02-25T03:55:00+00:00,46.804,0.856,10.888
2026-02-25T04:00:00+00:00,46.042,0.859,10.908
2026-02-25T04:05:00+00:00,46.003,0.833,10.922
2026-02-25T04:10:00+00:00,44.647,0.811,10.941
2026-02-25T04:15:00+00:00,45.513,0.859,10.928
2026-02-25T04:20:00+00:00,43.833,0.828,10.931
2026-02-25T04:25:00+00:00,43.726,0.838,10.93
2026-02-25T04:30:00+00:00,44.579,0.863,10.915
2026-02-25T04:35:00+00:00,45.94,0.837,10.925
2026-02-25T04:40:00+00:00,44.802,0.857,10.939
2026-02-25T04:45:00+00:00,45.677,0.845,10.957
2026-02-25T04:50:00+00:00,43.998,0.81,10.948
2026-02-25T04:55:00+00:00,43.54,0.84,10.948
2026-02-25T05:00:00+00:00,44.325,0.876,10.949
2026-02-25T05:05:00+00:00,44.515,0.851,10.931
2026-02-25T05:10:00+00:00,44.497,0.851,10.915
2026-02-25T05:15:00+00:00,43.505,0.859,10.907
2026-02-25T05:20:00+00:00,43.484,0.866,10.909
2026-02-25T05:25:00+00:00,43.738,0.874,10.884
2026-02-25T05:30:00+00:00,43.415,0.881,10.91
2026-02-25T05:35:00+00:00,43.452,0.889,10.912
