ValueDate,5 Min Ave,MVA,Volts
2026-02-25T00:05:00+00:00,3.206,3.331,11.0
2026-02-25T00:10:00+00:00,3.37,3.427,10.94
2026-02-25T00:15:00+00:00,3.462,3.487,10.942
2026-02-25T00:20:00+00:00,3.473,3.466,10.945
2026-02-25T00:25:00+00:00,3.447,3.462,10.968
2026-02-25T00:30:00+00:00,3.452,3.441,11.0
2026-02-25T00:35:00+00:00,3.51,3.576,10.947
2026-02-25T00:40:00+00:00,3.591,3.626,10.916
2026-02-25T00:45:00+00:00,3.628,3.646,10.921
2026-02-25T00:50:00+00:00,3.63,3.626,10.96
2026-02-25T00:55:00+00:00,3.603,3.584,10.99
2026-02-25T01:00:00+00:00,3.575,3.562,10.996
2026-02-25T01:05:00+00:00,3.605,3.652,10.96
2026-02-25T01:10:00+00:00,3.624,3.627,10.956
2026-02-25T01:15:00+00:00,3.598,3.596,11.0
2026-02-25T01:20:00+00:00,3.566,3.55,11.0
2026-02-25T01:25:00+00:00,3.516,3.503,11.0
2026-02-25T01:30:00+00:00,3.508,3.545,11.0
2026-02-25T01:35:00+00:00,3.576,3.614,11.0
2026-02-25T01:40:00+00:00,3.62,3.602,11.0
2026-02-25T01:45:00+00:00,3.606,3.608,11.001
2026-02-25T01:50:00+00:00,3.587,3.58,11.03
2026-02-25T01:55:00+00:00,3.552,3.544,11.08
2026-02-25T02:00:00+00:00,3.521,3.517,11.092
2026-02-25T02:05:00+00:00,3.552,3.611,11.085
2026-02-25T02:10:00+00:00,3.609,3.612,11.083
2026-02-25T02:15:00+00:00,3.636,3.628,11.1
2026-02-25T02:20:00+00:00,3.603,3.572,11.098
2026-02-25T02:25:00+00:00,3.564,3.558,11.1
2026-02-25T02:30:00+00:00,3.558,3.524,11.1
2026-02-25T02:35:00+00:00,3.528,3.484,11.1
2026-02-25T02:40:00+00:00,3.464,3.395,11.1
2026-02-25T02:45:00+00:00,3.412,3.417,11.1
2026-02-25T02:50:00+00:00,3.375,3.345,11.101
2026-02-25T02:55:00+00:00,3.338,3.324,11.11
2026-02-25T03:00:00+00:00,3.333,3.311,11.151
2026-02-25T03:05:00+00:00,3.343,3.364,11.1
2026-02-25T03:10:00+00:00,3.36,3.356,11.1
2026-02-25T03:15:00+00:00,3.366,3.362,11.1
2026-02-25T03:20:00+00:00,3.358,3.357,11.1
2026-02-25T03:25:00+00:00,3.33,3.3,11.1
2026-02-25T03:30:00+00:00,3.294,3.29,11.1
2026-02-25T03:35:00+00:00,3.28,3.292,11.1
2026-02-25T03:40:00+00:00,3.283,3.295,11.1
2026-02-25T03:45:00+00:00,3.29,3.294,11.1
2026-02-25T03:50:00+00:00,3.284,3.283,11.1
2026-02-25T03:55:00+00:00,3.265,3.258,11.1
2026-02-25T04:00:00+00:00,3.222,3.202,11.1
2026-02-25T04:05:00+00:00,3.174,3.174,11.1
2026-02-25T04:10:00+00:00,3.132,3.102,11.1
2026-02-25T04:15:00+00:00,3.117,3.133,11.1
2026-02-25T04:20:00+00:00,3.122,3.104,11.1
2026-02-25T04:25:00+00:00,3.117,3.117,11.1
2026-02-25T04:30:00+00:00,3.099,3.094,11.1
2026-02-25T04:35:00+00:00,3.112,3.162,11.1
2026-02-25T04:40:00+00:00,3.165,3.208,11.1
2026-02-25T04:45:00+00:00,3.157,3.146,11.1
2026-02-25T04:50:00+00:00,3.146,3.176,11.1
2026-02-25T04:55:00+00:00,3.17,3.193,11.1
2026-02-25T05:00:00+00:00,3.195,3.206,11.1
2026-02-25T05:05:00+00:00,3.176,3.18,11.1
2026-02-25T05:10:00+00:00,3.172,3.197,11.1
2026-02-25T05:15:00+00:00,3.186,3.198,11.099
2026-02-25T05:20:00+00:00,3.192,3.201,11.098
2026-02-25T05:25:00+00:00,3.222,3.238,11.086
2026-02-25T05:30:00+00:00,3.218,3.219,11.079
2026-02-25T05:35:00+00:00,3.247,3.314,11.035
2026-02-25T05:40:00+00:00,3.31,3.338,11.047
2026-02-25T05:45:00+00:00,3.375,3.431,11.024
2026-02-25T05:50:00+00:00,3.488,3.568,11.0
2026-02-25T05:55:00+00:00,3.541,3.545,11.0
2026-02-25T06:00:00+00:00,3.514,3.482,11.0
2026-02-25T06:05:00+00:00,3.58,3.676,10.956
2026-02-25T06:10:00+00:00,3.749,3.839,10.923
2026-02-25T06:15:00+00:00,3.824,3.824,10.901
2026-02-25T06:20:00+00:00,3.847,3.88,11.004
2026-02-25T06:25:00+00:00,3.919,3.952,11.088
2026-02-25T06:30:00+00:00,3.976,4.014,11.099
2026-02-25T06:35:00+00:00,3.986,3.956,11.099
2026-02-25T06:40:00+00:00,3.991,4.017,11.085
2026-02-25T06:45:00+00:00,4.075,4.166,11.027
2026-02-25T06:50:00+00:00,4.16,4.182,11.005
2026-02-25T06:55:00+00:00,4.187,4.211,11.0
2026-02-25T07:00:00+00:00,4.242,4.251,11.028
2026-02-25T07:05:00+00:00,4.287,4.28,11.014
2026-02-25T07:10:00+00:00,4.346,4.404,10.99
2026-02-25T07:15:00+00:00,4.459,4.51,10.979
2026-02-25T07:20:00+00:00,4.54,4.563,10.96
2026-02-25T07:25:00+00:00,4.544,4.542,11.0
2026-02-25T07:30:00+00:00,4.547,4.564,11.0
2026-02-25T07:35:00+00:00,4.514,4.453,11.0
2026-02-25T07:40:00+00:00,4.431,4.422,10.978
2026-02-25T07:45:00+00:00,4.485,4.556,10.916
2026-02-25T07:50:00+00:00,4.504,4.474,10.9
2026-02-25T07:55:00+00:00,4.478,4.534,10.9
2026-02-25T08:00:00+00:00,4.573,4.646,10.9
2026-02-25T08:05:00+00:00,4.655,4.691,10.9
2026-02-25T08:10:00+00:00,4.698,4.735,10.954
2026-02-25T08:15:00+00:00,4.692,4.672,10.997
2026-02-25T08:20:00+00:00,4.666,4.677,10.998
2026-02-25T08:25:00+00:00,4.62,4.584,11.0
2026-02-25T08:30:00+00:00,4.536,4.523,11.0
2026-02-25T08:35:00+00:00,4.488,4.466,11.0
2026-02-25T08:40:00+00:00,4.488,4.5,11.0
2026-02-25T08:45:00+00:00,4.466,4.412,11.0
2026-02-25T08:50:00+00:00,4.428,4.439,11.0
2026-02-25T08:55:00+00:00,4.398,4.395,11.0
2026-02-25T09:00:00+00:00,4.426,4.494,10.984
2026-02-25T09:05:00+00:00,4.52,4.559,11.0
2026-02-25T09:10:00+00:00,4.611,4.684,11.0
2026-02-25T09:15:00+00:00,4.609,4.55,11.0
2026-02-25T09:20:00+00:00,4.526,4.516,11.01
2026-02-25T09:25:00+00:00,4.552,4.578,11.014
2026-02-25T09:30:00+00:00,4.618,4.63,11.028
2026-02-25T09:35:00+00:00,4.71,4.788,11.012
2026-02-25T09:40:00+00:00,4.751,4.731,11.047
2026-02-25T09:45:00+00:00,4.728,4.729,11.067
2026-02-25T09:50:00+00:00,4.732,4.716,11.069
2026-02-25T09:55:00+00:00,4.703,4.679,11.099
2026-02-25T10:00:00+00:00,4.696,4.688,11.1
2026-02-25T10:05:00+00:00,4.656,4.592,11.1
