ValueDate,MVA,MW,Volts
2026-02-25T00:05:00+00:00,1.922,-1.945,11.2
2026-02-25T00:10:00+00:00,1.876,-1.894,11.2
2026-02-25T00:15:00+00:00,1.916,-1.918,11.2
2026-02-25T00:20:00+00:00,1.984,-1.973,11.2
2026-02-25T00:25:00+00:00,1.984,-1.953,11.2
2026-02-25T00:30:00+00:00,1.934,-1.93,11.2
2026-02-25T00:35:00+00:00,1.953,-1.946,11.2
2026-02-25T00:40:00+00:00,1.99,-1.994,11.2
2026-02-25T00:45:00+00:00,2.004,-2.011,11.2
2026-02-25T00:50:00+00:00,1.996,-1.981,11.212
2026-02-25T00:55:00+00:00,1.973,-1.955,11.212
2026-02-25T01:00:00+00:00,1.969,-1.939,11.204
2026-02-25T01:05:00+00:00,1.98,-1.953,11.2
2026-02-25T01:10:00+00:00,1.936,-1.906,11.2
2026-02-25T01:15:00+00:00,1.932,-1.92,11.2
2026-02-25T01:20:00+00:00,1.928,-1.894,11.2
2026-02-25T01:25:00+00:00,1.916,-1.9,11.235
2026-02-25T01:30:00+00:00,1.902,-1.896,11.259
2026-02-25T01:35:00+00:00,1.872,-1.894,11.243
2026-02-25T01:40:00+00:00,1.9,-1.908,11.256
2026-02-25T01:45:00+00:00,1.95,-1.868,11.232
2026-02-25T01:50:00+00:00,1.982,-1.814,11.048
2026-02-25T01:55:00+00:00,1.956,-1.79,11.058
2026-02-25T02:00:00+00:00,1.95,-1.781,11.0
2026-02-25T02:05:00+00:00,1.953,-1.788,11.0
2026-02-25T02:10:00+00:00,1.961,-1.808,11.001
2026-02-25T02:15:00+00:00,1.957,-1.787,11.059
2026-02-25T02:20:00+00:00,1.906,-1.756,11.1
2026-02-25T02:25:00+00:00,1.936,-1.792,11.1
2026-02-25T02:30:00+00:00,1.969,-1.821,11.1
2026-02-25T02:35:00+00:00,1.924,-1.758,11.1
2026-02-25T02:40:00+00:00,1.896,-1.73,11.094
2026-02-25T02:45:00+00:00,1.864,-1.677,11.1
2026-02-25T02:50:00+00:00,1.838,-1.675,11.1
2026-02-25T02:55:00+00:00,1.831,-1.668,11.1
2026-02-25T03:00:00+00:00,1.822,-1.666,11.1
2026-02-25T03:05:00+00:00,1.829,-1.67,11.1
2026-02-25T03:10:00+00:00,1.848,-1.682,11.1
2026-02-25T03:15:00+00:00,1.866,-1.694,11.1
2026-02-25T03:20:00+00:00,1.905,-1.735,11.1
2026-02-25T03:25:00+00:00,1.874,-1.72,11.1
2026-02-25T03:30:00+00:00,1.831,-1.67,11.1
2026-02-25T03:35:00+00:00,1.812,-1.676,11.1
2026-02-25T03:40:00+00:00,1.832,-1.674,11.1
2026-02-25T03:45:00+00:00,1.818,-1.642,11.1
2026-02-25T03:50:00+00:00,1.818,-1.638,11.1
2026-02-25T03:55:00+00:00,1.814,-1.644,11.1
2026-02-25T04:00:00+00:00,1.826,-1.633,11.1
2026-02-25T04:05:00+00:00,1.824,-1.642,11.1
2026-02-25T04:10:00+00:00,1.848,-1.692,11.1
2026-02-25T04:15:00+00:00,1.822,-1.668,11.1
2026-02-25T04:20:00+00:00,1.838,-1.674,11.1
2026-02-25T04:25:00+00:00,1.87,-1.698,11.1
2026-02-25T04:30:00+00:00,1.842,-1.672,11.1
2026-02-25T04:35:00+00:00,1.842,-1.672,11.1
2026-02-25T04:40:00+00:00,1.852,-1.675,11.1
2026-02-25T04:45:00+00:00,1.843,-1.674,11.1
2026-02-25T04:50:00+00:00,1.863,-1.712,11.1
2026-02-25T04:55:00+00:00,1.871,-1.692,11.1
2026-02-25T05:00:00+00:00,1.866,-1.678,11.1
2026-02-25T05:05:00+00:00,1.908,-1.733,11.096
2026-02-25T05:10:00+00:00,1.91,-1.728,11.004
2026-02-25T05:15:00+00:00,1.934,-1.748,11.054
2026-02-25T05:20:00+00:00,1.932,-1.755,11.1
2026-02-25T05:25:00+00:00,1.927,-1.768,11.082
2026-02-25T05:30:00+00:00,1.893,-1.728,11.073
2026-02-25T05:35:00+00:00,1.935,-1.755,11.092
2026-02-25T05:40:00+00:00,1.962,-1.787,11.087
2026-02-25T05:45:00+00:00,2.018,-1.856,11.026
2026-02-25T05:50:00+00:00,2.096,-1.925,11.0
2026-02-25T05:55:00+00:00,2.071,-2.018,11.091
2026-02-25T06:00:00+00:00,2.084,-2.033,11.053
2026-02-25T06:05:00+00:00,2.094,-2.021,11.0
2026-02-25T06:10:00+00:00,2.103,-2.032,10.996
