ValueDate,MVA,MW,Volts
2026-02-25T00:05:00+00:00,1.842,-1.504,11.1
2026-02-25T00:10:00+00:00,1.892,-1.551,11.081
2026-02-25T00:15:00+00:00,1.978,-1.634,11.098
2026-02-25T00:20:00+00:00,2.01,-1.674,11.1
2026-02-25T00:25:00+00:00,1.981,-1.646,11.1
2026-02-25T00:30:00+00:00,1.992,-1.656,11.1
2026-02-25T00:35:00+00:00,2.078,-1.748,11.1
2026-02-25T00:40:00+00:00,2.162,-1.832,11.1
2026-02-25T00:45:00+00:00,2.179,-1.858,11.1
2026-02-25T00:50:00+00:00,2.207,-1.878,11.1
2026-02-25T00:55:00+00:00,2.236,-1.902,11.1
2026-02-25T01:00:00+00:00,2.211,-1.884,11.1
2026-02-25T01:05:00+00:00,2.242,-1.914,11.1
2026-02-25T01:10:00+00:00,2.23,-1.901,11.1
2026-02-25T01:15:00+00:00,2.252,-1.92,11.1
2026-02-25T01:20:00+00:00,2.228,-1.9,11.1
2026-02-25T01:25:00+00:00,2.202,-1.878,11.1
2026-02-25T01:30:00+00:00,2.177,-1.854,11.1
2026-02-25T01:35:00+00:00,2.196,-1.874,11.1
2026-02-25T01:40:00+00:00,2.222,-1.9,11.1
2026-02-25T01:45:00+00:00,2.219,-1.902,11.142
2026-02-25T01:50:00+00:00,2.133,-1.816,11.2
2026-02-25T01:55:00+00:00,2.093,-1.773,11.2
2026-02-25T02:00:00+00:00,2.129,-1.814,11.2
2026-02-25T02:05:00+00:00,2.141,-1.824,11.2
2026-02-25T02:10:00+00:00,2.137,-1.831,11.2
2026-02-25T02:15:00+00:00,2.144,-1.832,11.2
2026-02-25T02:20:00+00:00,2.128,-1.816,11.2
2026-02-25T02:25:00+00:00,2.117,-1.808,11.2
2026-02-25T02:30:00+00:00,1.998,-1.682,11.2
2026-02-25T02:35:00+00:00,2.01,-1.696,11.2
2026-02-25T02:40:00+00:00,2.037,-1.72,11.2
2026-02-25T02:45:00+00:00,2.019,-1.705,11.2
2026-02-25T02:50:00+00:00,2.045,-1.724,11.176
2026-02-25T02:55:00+00:00,2.018,-1.678,11.1
2026-02-25T03:00:00+00:00,2.062,-1.724,11.1
2026-02-25T03:05:00+00:00,2.015,-1.672,11.07
2026-02-25T03:10:00+00:00,2.018,-1.684,11.105
2026-02-25T03:15:00+00:00,1.986,-1.658,11.108
2026-02-25T03:20:00+00:00,1.98,-1.652,11.131
2026-02-25T03:25:00+00:00,1.94,-1.611,11.126
2026-02-25T03:30:00+00:00,1.918,-1.588,11.174
2026-02-25T03:35:00+00:00,1.912,-1.582,11.197
2026-02-25T03:40:00+00:00,1.875,-1.545,11.2
2026-02-25T03:45:00+00:00,1.853,-1.519,11.2
2026-02-25T03:50:00+00:00,1.893,-1.564,11.2
2026-02-25T03:55:00+00:00,1.874,-1.545,11.2
2026-02-25T04:00:00+00:00,1.854,-1.518,11.2
2026-02-25T04:05:00+00:00,1.892,-1.568,11.2
2026-02-25T04:10:00+00:00,1.847,-1.518,11.2
2026-02-25T04:15:00+00:00,1.819,-1.484,11.2
2026-02-25T04:20:00+00:00,1.813,-1.485,11.2
2026-02-25T04:25:00+00:00,1.847,-1.524,11.2
2026-02-25T04:30:00+00:00,1.832,-1.498,11.2
2026-02-25T04:35:00+00:00,1.882,-1.554,11.194
2026-02-25T04:40:00+00:00,1.878,-1.552,11.195
2026-02-25T04:45:00+00:00,1.854,-1.534,11.2
2026-02-25T04:50:00+00:00,1.824,-1.508,11.2
2026-02-25T04:55:00+00:00,1.85,-1.522,11.185
2026-02-25T05:00:00+00:00,1.836,-1.502,11.186
2026-02-25T05:05:00+00:00,1.788,-1.452,11.128
2026-02-25T05:10:00+00:00,1.839,-1.506,11.1
2026-02-25T05:15:00+00:00,1.846,-1.516,11.1
2026-02-25T05:20:00+00:00,1.797,-1.464,11.1
2026-02-25T05:25:00+00:00,1.838,-1.502,11.1
2026-02-25T05:30:00+00:00,1.764,-1.422,11.1
2026-02-25T05:35:00+00:00,1.693,-1.354,11.1
2026-02-25T05:40:00+00:00,1.754,-1.419,11.1
2026-02-25T05:45:00+00:00,1.813,-1.477,11.1
2026-02-25T05:50:00+00:00,1.842,-1.516,11.1
2026-02-25T05:55:00+00:00,1.819,-1.486,11.1
2026-02-25T06:00:00+00:00,1.866,-1.531,11.1
2026-02-25T06:05:00+00:00,1.866,-1.526,11.032
2026-02-25T06:10:00+00:00,1.975,-1.606,11.125
2026-02-25T06:15:00+00:00,1.945,-1.631,11.101
2026-02-25T06:20:00+00:00,2.04,-1.728,11.144
2026-02-25T06:25:00+00:00,2.094,-1.784,11.119
2026-02-25T06:30:00+00:00,2.153,-1.836,11.108
2026-02-25T06:35:00+00:00,2.157,-1.845,11.1
2026-02-25T06:40:00+00:00,2.258,-1.948,11.096
2026-02-25T06:45:00+00:00,2.214,-1.897,11.088
2026-02-25T06:50:00+00:00,2.218,-1.888,11.016
2026-02-25T06:55:00+00:00,2.267,-1.947,11.004
2026-02-25T07:00:00+00:00,2.222,-1.902,11.028
2026-02-25T07:05:00+00:00,2.228,-1.9,11.006
2026-02-25T07:10:00+00:00,2.264,-1.94,11.059
2026-02-25T07:15:00+00:00,2.323,-2.006,11.1
2026-02-25T07:20:00+00:00,2.34,-2.019,11.1
2026-02-25T07:25:00+00:00,2.399,-2.092,11.1
2026-02-25T07:30:00+00:00,2.39,-2.085,11.1
2026-02-25T07:35:00+00:00,2.376,-2.068,11.1
2026-02-25T07:40:00+00:00,2.364,-2.054,11.1
2026-02-25T07:45:00+00:00,2.363,-2.045,11.1
2026-02-25T07:50:00+00:00,2.364,-2.048,11.068
2026-02-25T07:55:00+00:00,2.38,-2.069,11.049
2026-02-25T08:00:00+00:00,2.364,-2.052,11.062
2026-02-25T08:05:00+00:00,2.294,-1.983,11.096
2026-02-25T08:10:00+00:00,2.291,-1.98,11.1
2026-02-25T08:15:00+00:00,2.284,-1.974,11.1
2026-02-25T08:20:00+00:00,2.31,-2.005,11.1
2026-02-25T08:25:00+00:00,2.356,-2.056,11.1
2026-02-25T08:30:00+00:00,2.331,-2.03,11.1
2026-02-25T08:35:00+00:00,2.311,-2.009,11.1
2026-02-25T08:40:00+00:00,2.249,-1.949,11.1
2026-02-25T08:45:00+00:00,2.254,-1.952,11.1
2026-02-25T08:50:00+00:00,2.262,-1.961,11.1
2026-02-25T08:55:00+00:00,2.21,-1.903,11.1
2026-02-25T09:00:00+00:00,2.19,-1.88,11.099
2026-02-25T09:05:00+00:00,2.188,-1.876,11.08
2026-02-25T09:10:00+00:00,2.21,-1.902,11.1
2026-02-25T09:15:00+00:00,2.166,-1.854,11.1
2026-02-25T09:20:00+00:00,2.063,-1.752,11.1
2026-02-25T09:25:00+00:00,2.016,-1.706,11.1
2026-02-25T09:30:00+00:00,2.082,-1.78,11.1
2026-02-25T09:35:00+00:00,1.972,-1.666,11.1
