ValueDate,MVA
2026-02-25T00:05:00+00:00,2.844
2026-02-25T00:10:00+00:00,2.974
2026-02-25T00:15:00+00:00,2.971
2026-02-25T00:20:00+00:00,2.998
2026-02-25T00:25:00+00:00,2.978
2026-02-25T00:30:00+00:00,2.968
2026-02-25T00:35:00+00:00,2.934
2026-02-25T00:40:00+00:00,2.928
2026-02-25T00:45:00+00:00,2.917
2026-02-25T00:50:00+00:00,2.883
2026-02-25T00:55:00+00:00,2.906
2026-02-25T01:00:00+00:00,2.9
2026-02-25T01:05:00+00:00,2.892
2026-02-25T01:10:00+00:00,2.914
2026-02-25T01:15:00+00:00,2.886
2026-02-25T01:20:00+00:00,2.854
2026-02-25T01:25:00+00:00,2.818
2026-02-25T01:30:00+00:00,2.791
2026-02-25T01:35:00+00:00,2.883
2026-02-25T01:40:00+00:00,2.883
2026-02-25T01:45:00+00:00,2.914
2026-02-25T01:50:00+00:00,3.002
2026-02-25T01:55:00+00:00,2.891
2026-02-25T02:00:00+00:00,2.756
2026-02-25T02:05:00+00:00,2.778
2026-02-25T02:10:00+00:00,2.801
2026-02-25T02:15:00+00:00,2.808
2026-02-25T02:20:00+00:00,2.782
2026-02-25T02:25:00+00:00,2.761
2026-02-25T02:30:00+00:00,2.746
2026-02-25T02:35:00+00:00,2.681
2026-02-25T02:40:00+00:00,2.669
2026-02-25T02:45:00+00:00,2.676
2026-02-25T02:50:00+00:00,2.658
2026-02-25T02:55:00+00:00,2.658
2026-02-25T03:00:00+00:00,2.599
2026-02-25T03:05:00+00:00,2.609
2026-02-25T03:10:00+00:00,2.574
2026-02-25T03:15:00+00:00,2.584
2026-02-25T03:20:00+00:00,2.52
2026-02-25T03:25:00+00:00,2.516
2026-02-25T03:30:00+00:00,2.458
2026-02-25T03:35:00+00:00,2.512
2026-02-25T03:40:00+00:00,2.466
2026-02-25T03:45:00+00:00,2.418
2026-02-25T03:50:00+00:00,2.413
2026-02-25T03:55:00+00:00,2.454
2026-02-25T04:00:00+00:00,2.397
2026-02-25T04:05:00+00:00,2.406
2026-02-25T04:10:00+00:00,2.444
2026-02-25T04:15:00+00:00,2.391
2026-02-25T04:20:00+00:00,2.38
2026-02-25T04:25:00+00:00,2.375
2026-02-25T04:30:00+00:00,2.378
2026-02-25T04:35:00+00:00,2.414
2026-02-25T04:40:00+00:00,2.431
2026-02-25T04:45:00+00:00,2.488
2026-02-25T04:50:00+00:00,2.42
2026-02-25T04:55:00+00:00,2.415
2026-02-25T05:00:00+00:00,2.353
2026-02-25T05:05:00+00:00,2.354
2026-02-25T05:10:00+00:00,2.338
2026-02-25T05:15:00+00:00,2.336
2026-02-25T05:20:00+00:00,2.29
2026-02-25T05:25:00+00:00,2.308
2026-02-25T05:30:00+00:00,2.294
2026-02-25T05:35:00+00:00,2.322
2026-02-25T05:40:00+00:00,2.355
2026-02-25T05:45:00+00:00,2.374
2026-02-25T05:50:00+00:00,2.374
2026-02-25T05:55:00+00:00,2.378
2026-02-25T06:00:00+00:00,2.398
2026-02-25T06:05:00+00:00,2.373
2026-02-25T06:10:00+00:00,2.428
2026-02-25T06:15:00+00:00,2.542
2026-02-25T06:20:00+00:00,2.55
2026-02-25T06:25:00+00:00,2.542
2026-02-25T06:30:00+00:00,2.597
2026-02-25T06:35:00+00:00,2.716
2026-02-25T06:40:00+00:00,2.725
2026-02-25T06:45:00+00:00,2.74
2026-02-25T06:50:00+00:00,2.783
2026-02-25T06:55:00+00:00,2.7
2026-02-25T07:00:00+00:00,2.832
2026-02-25T07:05:00+00:00,2.917
2026-02-25T07:10:00+00:00,2.944
2026-02-25T07:15:00+00:00,3.034
2026-02-25T07:20:00+00:00,3.095
2026-02-25T07:25:00+00:00,3.169
2026-02-25T07:30:00+00:00,3.205
2026-02-25T07:35:00+00:00,3.644
2026-02-25T07:40:00+00:00,3.676
2026-02-25T07:45:00+00:00,3.721
2026-02-25T07:50:00+00:00,3.683
2026-02-25T07:55:00+00:00,3.668
2026-02-25T08:00:00+00:00,3.58
2026-02-25T08:05:00+00:00,3.567
2026-02-25T08:10:00+00:00,3.53
2026-02-25T08:15:00+00:00,3.517
2026-02-25T08:20:00+00:00,3.499
2026-02-25T08:25:00+00:00,3.406
2026-02-25T08:30:00+00:00,3.458
2026-02-25T08:35:00+00:00,3.372
2026-02-25T08:40:00+00:00,3.337
2026-02-25T08:45:00+00:00,3.277
2026-02-25T08:50:00+00:00,3.38
2026-02-25T08:55:00+00:00,3.399
2026-02-25T09:00:00+00:00,3.356
2026-02-25T09:05:00+00:00,3.41
2026-02-25T09:10:00+00:00,3.396
2026-02-25T09:15:00+00:00,3.407
2026-02-25T09:20:00+00:00,3.316
2026-02-25T09:25:00+00:00,3.344
2026-02-25T09:30:00+00:00,3.358
2026-02-25T09:35:00+00:00,3.383
2026-02-25T09:40:00+00:00,3.4
2026-02-25T09:45:00+00:00,3.46
2026-02-25T09:50:00+00:00,3.415
2026-02-25T09:55:00+00:00,3.338
2026-02-25T10:00:00+00:00,3.205
2026-02-25T10:05:00+00:00,3.381
2026-02-25T10:10:00+00:00,3.244
2026-02-25T10:15:00+00:00,3.236
2026-02-25T10:20:00+00:00,3.093
2026-02-25T10:25:00+00:00,3.066
2026-02-25T10:30:00+00:00,3.109
2026-02-25T10:35:00+00:00,2.972
2026-02-25T10:40:00+00:00,2.953
2026-02-25T10:45:00+00:00,2.983
2026-02-25T10:50:00+00:00,3.054
2026-02-25T10:55:00+00:00,2.969
2026-02-25T11:00:00+00:00,2.955
2026-02-25T11:05:00+00:00,2.922
2026-02-25T11:10:00+00:00,2.986
2026-02-25T11:15:00+00:00,2.92
2026-02-25T11:20:00+00:00,2.908
2026-02-25T11:25:00+00:00,2.906
2026-02-25T11:30:00+00:00,2.888
2026-02-25T11:35:00+00:00,2.929
2026-02-25T11:40:00+00:00,2.93
2026-02-25T11:45:00+00:00,2.94
2026-02-25T11:50:00+00:00,2.929
2026-02-25T11:55:00+00:00,2.858
2026-02-25T12:00:00+00:00,2.912
2026-02-25T12:05:00+00:00,3.09
2026-02-25T12:10:00+00:00,3.003
2026-02-25T12:15:00+00:00,3.016
2026-02-25T12:20:00+00:00,3.042
2026-02-25T12:25:00+00:00,2.987
2026-02-25T12:30:00+00:00,2.994
2026-02-25T12:35:00+00:00,3.005
2026-02-25T12:40:00+00:00,3.024
2026-02-25T12:45:00+00:00,2.975
2026-02-25T12:50:00+00:00,3.083
2026-02-25T12:55:00+00:00,3.052
2026-02-25T13:00:00+00:00,2.986
2026-02-25T13:05:00+00:00,2.985
2026-02-25T13:10:00+00:00,3.036
2026-02-25T13:15:00+00:00,3.038
2026-02-25T13:20:00+00:00,3.01
2026-02-25T13:25:00+00:00,3.024
2026-02-25T13:30:00+00:00,3.186
2026-02-25T13:35:00+00:00,3.122
2026-02-25T13:40:00+00:00,3.141
2026-02-25T13:45:00+00:00,3.084
2026-02-25T13:50:00+00:00,3.172
2026-02-25T13:55:00+00:00,3.177
2026-02-25T14:00:00+00:00,3.165
2026-02-25T14:05:00+00:00,3.113
2026-02-25T14:10:00+00:00,3.062
2026-02-25T14:15:00+00:00,3.054
2026-02-25T14:20:00+00:00,3.066
2026-02-25T14:25:00+00:00,3.034
2026-02-25T14:30:00+00:00,3.067
2026-02-25T14:35:00+00:00,3.074
2026-02-25T14:40:00+00:00,3.066
2026-02-25T14:45:00+00:00,3.034
2026-02-25T14:50:00+00:00,3.084
2026-02-25T14:55:00+00:00,3.138
2026-02-25T15:00:00+00:00,2.98
2026-02-25T15:05:00+00:00,2.98
2026-02-25T15:10:00+00:00,3.014
2026-02-25T15:15:00+00:00,2.981
2026-02-25T15:20:00+00:00,2.704
2026-02-25T15:25:00+00:00,2.398
2026-02-25T15:30:00+00:00,2.42
2026-02-25T15:35:00+00:00,2.459
2026-02-25T15:40:00+00:00,2.632
2026-02-25T15:45:00+00:00,2.692
2026-02-25T15:50:00+00:00,2.753
2026-02-25T15:55:00+00:00,2.843
2026-02-25T16:00:00+00:00,2.878
2026-02-25T16:05:00+00:00,2.954
2026-02-25T16:10:00+00:00,2.976
2026-02-25T16:15:00+00:00,3.21
2026-02-25T16:20:00+00:00,3.168
2026-02-25T16:25:00+00:00,3.176
2026-02-25T16:30:00+00:00,3.18
2026-02-25T16:35:00+00:00,3.216
2026-02-25T16:40:00+00:00,3.326
2026-02-25T16:45:00+00:00,3.231
2026-02-25T16:50:00+00:00,3.168
2026-02-25T16:55:00+00:00,3.166
2026-02-25T17:00:00+00:00,3.343
2026-02-25T17:05:00+00:00,3.35
2026-02-25T17:10:00+00:00,3.513
2026-02-25T17:15:00+00:00,3.503
2026-02-25T17:20:00+00:00,3.605
2026-02-25T17:25:00+00:00,3.661
2026-02-25T17:30:00+00:00,3.664
2026-02-25T17:35:00+00:00,3.754
2026-02-25T17:40:00+00:00,3.676
2026-02-25T17:45:00+00:00,3.786
2026-02-25T17:50:00+00:00,3.728
2026-02-25T17:55:00+00:00,3.784
2026-02-25T18:00:00+00:00,3.786
2026-02-25T18:05:00+00:00,3.874
