ValueDate,Amps,MVA
2026-02-25T00:05:00+00:00,54.383,0.0
2026-02-25T00:10:00+00:00,57.62,0.0
2026-02-25T00:15:00+00:00,56.442,0.0
2026-02-25T00:20:00+00:00,56.822,0.0
2026-02-25T00:25:00+00:00,56.925,0.0
2026-02-25T00:30:00+00:00,57.791,0.0
2026-02-25T00:35:00+00:00,59.199,0.0
2026-02-25T00:40:00+00:00,63.3,0.0
2026-02-25T00:45:00+00:00,65.474,0.0
2026-02-25T00:50:00+00:00,65.067,0.0
2026-02-25T00:55:00+00:00,65.323,0.0
2026-02-25T01:00:00+00:00,65.141,0.0
2026-02-25T01:05:00+00:00,68.594,0.0
2026-02-25T01:10:00+00:00,70.741,0.0
2026-02-25T01:15:00+00:00,70.703,0.0
2026-02-25T01:20:00+00:00,72.392,0.0
2026-02-25T01:25:00+00:00,71.769,0.0
2026-02-25T01:30:00+00:00,70.719,0.0
2026-02-25T01:35:00+00:00,70.755,0.0
2026-02-25T01:40:00+00:00,70.606,0.0
2026-02-25T01:45:00+00:00,70.24,0.0
2026-02-25T01:50:00+00:00,70.663,0.0
2026-02-25T01:55:00+00:00,69.4,0.0
2026-02-25T02:00:00+00:00,68.758,0.0
2026-02-25T02:05:00+00:00,68.693,0.0
2026-02-25T02:10:00+00:00,67.932,0.0
2026-02-25T02:15:00+00:00,67.318,0.0
2026-02-25T02:20:00+00:00,66.954,0.0
2026-02-25T02:25:00+00:00,66.336,0.0
2026-02-25T02:30:00+00:00,64.7,0.0
2026-02-25T02:35:00+00:00,62.368,0.0
2026-02-25T02:40:00+00:00,63.412,0.0
2026-02-25T02:45:00+00:00,61.689,0.0
2026-02-25T02:50:00+00:00,61.398,0.0
2026-02-25T02:55:00+00:00,61.397,0.0
2026-02-25T03:00:00+00:00,63.118,0.0
2026-02-25T03:05:00+00:00,63.365,0.0
2026-02-25T03:10:00+00:00,63.234,0.0
2026-02-25T03:15:00+00:00,63.263,0.0
2026-02-25T03:20:00+00:00,63.856,0.0
2026-02-25T03:25:00+00:00,63.328,0.0
2026-02-25T03:30:00+00:00,61.616,0.0
2026-02-25T03:35:00+00:00,61.516,0.0
2026-02-25T03:40:00+00:00,61.722,0.0
2026-02-25T03:45:00+00:00,61.818,0.0
2026-02-25T03:50:00+00:00,61.346,0.0
2026-02-25T03:55:00+00:00,59.648,0.0
2026-02-25T04:00:00+00:00,59.178,0.0
2026-02-25T04:05:00+00:00,57.845,0.0
2026-02-25T04:10:00+00:00,58.489,0.0
2026-02-25T04:15:00+00:00,57.401,0.0
2026-02-25T04:20:00+00:00,56.326,0.0
2026-02-25T04:25:00+00:00,55.931,0.0
2026-02-25T04:30:00+00:00,54.1,0.0
2026-02-25T04:35:00+00:00,56.306,0.0
2026-02-25T04:40:00+00:00,57.346,0.0
2026-02-25T04:45:00+00:00,56.776,0.0
2026-02-25T04:50:00+00:00,57.051,0.0
2026-02-25T04:55:00+00:00,56.055,0.0
2026-02-25T05:00:00+00:00,55.533,0.0
2026-02-25T05:05:00+00:00,54.236,0.0
