"Settlement Date","Cost_per_GVAs"
2023-04-01,0
2023-04-02,0
2023-04-03,0
2023-04-04,0
2023-04-05,0
2023-04-06,0
2023-04-07,0
2023-04-08,0
2023-04-09,5187
2023-04-10,4132
2023-04-11,8729
2023-04-12,1585
2023-04-13,0
2023-04-14,0
2023-04-15,0
2023-04-16,0
2023-04-17,0
2023-04-18,4476
2023-04-19,5189
2023-04-20,2449
2023-04-21,0
2023-04-22,1725
2023-04-23,4657
2023-04-24,3784
2023-04-25,4362
2023-04-26,0
2023-04-27,0
2023-04-28,0
2023-04-29,0
2023-04-30,0
2023-05-01,3230
2023-05-02,0
2023-05-03,2310
2023-05-04,3989
2023-05-05,3585
2023-05-06,0
2023-05-07,1962
2023-05-08,2950
2023-05-09,0
2023-05-10,0
2023-05-11,0
2023-05-12,0
2023-05-13,0
2023-05-14,0
2023-05-15,0
2023-05-16,0
2023-05-17,0
2023-05-18,0
2023-05-19,1364
2023-05-20,2498
2023-05-21,3936
2023-05-22,0
2023-05-23,0
2023-05-24,0
2023-05-25,0
2023-05-26,0
2023-05-27,0
2023-05-28,2854
2023-05-29,3699
2023-05-30,3422
2023-05-31,0
2023-06-01,0
2023-06-02,0
2023-06-03,3394
2023-06-04,3211
2023-06-05,0
2023-06-06,0
2023-06-07,0
2023-06-08,0
2023-06-09,1311
2023-06-10,3485
2023-06-11,4509
2023-06-12,0
2023-06-13,0
2023-06-14,0
2023-06-15,0
2023-06-16,0
2023-06-17,0
2023-06-18,0
2023-06-19,0
2023-06-20,0
2023-06-21,0
2023-06-22,0
2023-06-23,0
2023-06-24,2452
2023-06-25,3972
2023-06-26,4621
2023-06-27,0
2023-06-28,0
2023-06-29,0
2023-06-30,4408
2023-07-01,4742
2023-07-02,5099
2023-07-03,4228
2023-07-04,4077
2023-07-05,0
2023-07-06,0
2023-07-07,2225
2023-07-08,3449
2023-07-09,0
2023-07-10,2441
2023-07-11,0
2023-07-12,0
2023-07-13,0
2023-07-14,4561
2023-07-15,3643
2023-07-16,3519
2023-07-17,3443
2023-07-18,0
2023-07-19,0
2023-07-20,0
2023-07-21,0
2023-07-22,1928
2023-07-23,3391
2023-07-24,3607
2023-07-25,0
2023-07-26,1980
2023-07-27,3122
2023-07-28,0
2023-07-29,4267
2023-07-30,3648
2023-07-31,3548
2023-08-01,4256
2023-08-02,3561
2023-08-03,4004
2023-08-04,0
2023-08-05,5262
2023-08-06,3859
2023-08-07,3080
2023-08-08,3215
2023-08-09,0
2023-08-10,0
2023-08-11,2493
2023-08-12,4452
2023-08-13,4964
2023-08-14,0
2023-08-15,0
2023-08-16,0
2023-08-17,0
2023-08-18,3143
2023-08-19,4164
2023-08-20,3182
2023-08-21,0
2023-08-22,0
2023-08-23,0
2023-08-24,0
2023-08-25,0
2023-08-26,0
2023-08-27,0
2023-08-28,0
2023-08-29,0
2023-08-30,0
2023-08-31,0
2023-09-01,0
2023-09-02,2765
2023-09-03,5151
2023-09-04,0
2023-09-05,0
2023-09-06,0
2023-09-07,0
2023-09-08,0
2023-09-09,0
2023-09-10,0
2023-09-11,0
2023-09-12,0
2023-09-13,0
2023-09-14,0
2023-09-15,0
2023-09-16,2389
2023-09-17,4260
2023-09-18,3443
2023-09-19,4396
2023-09-20,4735
2023-09-21,4059
2023-09-22,0
2023-09-23,2991
2023-09-24,4514
2023-09-25,4729
2023-09-26,7065
2023-09-27,3927
2023-09-28,4119
2023-09-29,5295
2023-09-30,2558
2023-10-01,3830
2023-10-02,3237
2023-10-03,3015
2023-10-04,3454
2023-10-05,2552
2023-10-06,3280
2023-10-07,3343
2023-10-08,3305
2023-10-09,0
2023-10-10,5196
2023-10-11,5469
2023-10-12,4071
2023-10-13,2847
2023-10-14,4036
2023-10-15,7568
2023-10-16,0
2023-10-17,4197
2023-10-18,6127
2023-10-19,4664
2023-10-20,4218
2023-10-21,5958
2023-10-22,4630
2023-10-23,0
2023-10-24,0
2023-10-25,0
