"Settlement Date","Cost_per_GVAs"
2022-04-01,0
2022-04-02,0
2022-04-03,5405
2022-04-04,7471
2022-04-05,6830
2022-04-06,0
2022-04-07,7284
2022-04-08,8555
2022-04-09,0
2022-04-10,0
2022-04-11,0
2022-04-12,8487
2022-04-13,0
2022-04-14,0
2022-04-15,0
2022-04-16,0
2022-04-17,4591
2022-04-18,0
2022-04-19,0
2022-04-20,0
2022-04-21,0
2022-04-22,0
2022-04-23,0
2022-04-24,0
2022-04-25,0
2022-04-26,0
2022-04-27,0
2022-04-28,0
2022-04-29,0
2022-04-30,0
2022-05-01,0
2022-05-02,0
2022-05-03,0
2022-05-04,0
2022-05-05,0
2022-05-06,0
2022-05-07,0
2022-05-08,0
2022-05-09,0
2022-05-10,0
2022-05-11,0
2022-05-12,480
2022-05-13,3301
2022-05-14,0
2022-05-15,0
2022-05-18,0
2022-05-19,0
2022-05-20,0
2022-05-21,0
2022-05-22,0
2022-05-23,0
2022-05-24,0
2022-05-25,3137
2022-05-26,4795
2022-05-27,3833
2022-05-28,3461
2022-05-29,6394
2022-05-30,0
2022-05-31,0
2022-06-01,0
2022-06-02,0
2022-06-03,0
2022-06-04,0
2022-06-05,0
2022-06-06,0
2022-06-07,0
2022-06-08,0
2022-06-09,0
2022-06-10,2392
2022-06-11,2959
2022-06-12,0
2022-06-13,0
2022-06-14,0
2022-06-15,0
2022-06-16,0
2022-06-17,0
2022-06-18,8004
2022-06-19,6362
2022-06-20,0
2022-06-21,0
2022-06-22,0
2022-06-23,0
2022-06-24,0
2022-06-25,2673
2022-06-26,6561
2022-06-27,0
2022-06-28,0
2022-06-29,0
2022-06-30,0
2022-07-01,0
2022-07-02,0
2022-07-03,0
2022-07-04,0
2022-07-05,0
2022-07-06,0
2022-07-07,0
2022-07-08,0
2022-07-09,0
2022-07-10,0
2022-07-11,0
2022-07-12,0
2022-07-13,0
2022-07-14,0
2022-07-15,0
2022-07-16,0
2022-07-17,0
2022-07-18,0
2022-07-19,0
2022-07-20,0
2022-07-21,0
2022-07-22,0
2022-07-23,9089
2022-07-24,10442
2022-07-25,0
2022-07-26,0
2022-07-27,0
2022-07-28,0
2022-07-29,0
2022-07-30,0
2022-07-31,0
2022-08-01,0
2022-08-02,9668
2022-08-03,8565
2022-08-04,0
2022-08-05,0
2022-08-06,3929
2022-08-07,8720
2022-08-08,0
2022-08-09,0
2022-08-10,0
2022-08-11,0
2022-08-12,0
2022-08-13,9902
2022-08-14,13041
2022-08-15,0
2022-08-16,0
2022-08-17,0
2022-08-19,0
2022-08-20,0
2022-08-21,0
2022-08-22,0
2022-08-23,0
2022-08-24,0
2022-08-25,0
2022-08-26,0
2022-08-27,0
2022-08-28,0
2022-08-29,0
2022-08-30,0
2022-08-31,0
2022-09-01,0
2022-09-02,0
2022-09-03,0
2022-09-04,0
2022-09-05,0
2022-09-06,0
2022-09-07,0
2022-09-08,0
2022-09-09,0
2022-09-10,0
2022-09-11,0
2022-09-12,0
2022-09-13,0
2022-09-14,0
2022-09-15,4410
2022-09-16,10437
2022-09-17,8988
2022-09-18,9349
2022-09-19,0
2022-09-20,0
2022-09-21,0
2022-09-22,0
2022-09-23,0
2022-09-24,0
2022-09-25,9621
2022-09-26,6844
2022-09-27,5905
2022-09-28,0
2022-09-29,0
2022-09-30,8460
2022-10-01,7533
2022-10-02,6646
2022-10-03,8036
2022-10-04,7443
2022-10-05,5700
2022-10-06,6447
2022-10-07,6056
2022-10-08,5686
2022-10-09,5809
2022-10-10,7605
2022-10-11,0
2022-10-12,0
2022-10-13,0
2022-10-14,0
2022-10-15,4923
2022-10-16,5885
2022-10-17,5337
2022-10-18,0
2022-10-19,3907
2022-10-20,0
2022-10-21,0
2022-10-22,0
2022-10-23,0
2022-10-24,0
2022-10-25,3053
2022-10-26,2670
2022-10-27,2888
2022-10-28,0
2022-10-29,3045
2022-10-30,3804
2022-10-31,4786
2022-11-01,3784
2022-11-02,5314
2022-11-03,7400
2022-11-04,0
2022-11-05,5700
2022-11-06,4672
2022-11-07,5150
2022-11-08,5856
2022-11-09,5267
2022-11-10,7098
2022-11-11,3572
2022-11-12,0
2022-11-13,0
2022-11-14,0
2022-11-15,0
2022-11-16,2035
2022-11-17,3905
2022-11-18,0
2022-11-19,0
2022-11-20,0
2022-11-21,0
2022-11-22,0
2022-11-23,2379
2022-11-24,5110
2022-11-25,0
2022-11-26,4257
2022-11-27,5524
2022-11-28,0
2022-11-29,0
2022-11-30,0
2022-12-01,0
2022-12-02,0
2022-12-03,8672
2022-12-04,0
2022-12-05,0
2022-12-06,0
2022-12-07,0
2022-12-08,0
2022-12-09,0
2022-12-10,0
2022-12-11,0
2022-12-12,0
2022-12-13,0
2022-12-14,0
2022-12-15,0
2022-12-16,0
2022-12-17,0
2022-12-18,5185
2022-12-19,5612
2022-12-20,9355
2022-12-21,0
2022-12-22,0
2022-12-23,9610
2022-12-24,0
2022-12-25,7685
2022-12-26,6285
2022-12-27,6391
2022-12-28,6769
2022-12-29,7111
2022-12-30,5081
2022-12-31,5403
2023-01-01,6781
2023-01-02,6258
2023-01-03,6292
2023-01-04,6408
2023-01-05,4432
2023-01-06,5492
2023-01-07,5828
2023-01-08,6071
2023-01-09,4441
2023-01-10,5020
2023-01-11,4787
2023-01-12,2708
2023-01-13,5130
2023-01-14,4946
2023-01-15,8017
2023-01-16,0
2023-01-17,0
2023-01-18,0
2023-01-19,0
2023-01-20,0
2023-01-21,0
2023-01-22,0
2023-01-23,0
2023-01-24,0
2023-01-25,0
2023-01-26,0
2023-01-27,0
2023-01-28,0
2023-01-29,4460
2023-01-30,5555
2023-01-31,4612
2023-02-01,5210
2023-02-02,5373
2023-02-03,4942
2023-02-04,6587
2023-02-05,6100
2023-02-06,0
2023-02-07,0
2023-02-08,0
2023-02-09,0
2023-02-10,5762
2023-02-11,5846
2023-02-12,0
2023-02-13,0
2023-02-14,0
2023-02-15,0
2023-02-16,5073
2023-02-17,6817
2023-02-18,5594
2023-02-19,6503
2023-02-20,8066
2023-02-21,0
2023-02-22,0
2023-02-23,0
2023-02-24,6880
2023-02-25,0
2023-02-26,0
2023-02-27,0
2023-02-28,0
2023-03-01,0
2023-03-02,0
2023-03-03,0
2023-03-04,0
2023-03-05,0
2023-03-06,0
2023-03-07,5078
2023-03-08,0
2023-03-09,0
2023-03-10,0
2023-03-11,0
2023-03-12,6104
2023-03-13,9098
2023-03-14,12123
2023-03-15,3209
2023-03-16,4021
2023-03-17,0
2023-03-18,0
2023-03-19,0
2023-03-20,5539
2023-03-21,7837
2023-03-22,6121
2023-03-23,4178
2023-03-24,4395
2023-03-25,5197
2023-03-26,7154
2023-03-27,0
2023-03-28,0
2023-03-29,4280
2023-03-30,5192
2023-03-31,2868
