"Settlement Date","Cost_per_GVAs"
2024-04-01,0
2024-04-02,0
2024-04-03,0
2024-04-04,0
2024-04-05,0
2024-04-06,2284
2024-04-07,3121
2024-04-08,0
2024-04-09,0
2024-04-10,0
2024-04-11,2824
2024-04-12,3084
2024-04-13,7400
2024-04-14,0
2024-04-15,0
2024-04-16,0
2024-04-17,0
2024-04-18,0
2024-04-19,0
2024-04-20,0
2024-04-21,0
2024-04-22,0
2024-04-23,0
2024-04-24,0
2024-04-25,0
2024-04-26,0
2024-04-27,0
2024-04-28,0
2024-04-29,0
2024-04-30,0
2024-05-01,0
2024-05-02,0
2024-05-03,0
2024-05-04,0
2024-05-05,0
2024-05-06,0
2024-05-07,0
2024-05-08,0
2024-05-09,0
2024-05-10,0
2024-05-11,0
2024-05-12,1629
2024-05-13,3998
2024-05-14,2526
2024-05-15,0
2024-05-16,0
2024-05-17,0
2024-05-18,0
2024-05-19,0
2024-05-20,0
2024-05-21,0
2024-05-22,4460
2024-05-23,0
2024-05-24,0
2024-05-25,3732
2024-05-26,4463
2024-05-27,3760
2024-05-28,1713
2024-05-29,2887
2024-05-30,4023
2024-05-31,2971
2024-06-01,3725
2024-06-02,3585
2024-06-03,3869
2024-06-04,3733
2024-06-05,3597
2024-06-06,3281
2024-06-07,3498
2024-06-08,4156
2024-06-09,3357
2024-06-10,3347
2024-06-11,4007
2024-06-12,0
2024-06-13,3207
2024-06-14,3970
2024-06-15,3298
2024-06-16,3090
2024-06-17,921
2024-06-18,0
2024-06-19,0
2024-06-20,0
2024-06-21,1995
2024-06-22,4261
2024-06-23,4283
2024-06-24,0
2024-06-25,0
2024-06-26,799
2024-06-27,4721
2024-06-28,4152
2024-06-29,3659
2024-06-30,3757
2024-07-01,2577
2024-07-02,2687
2024-07-03,3444
2024-07-04,3509
2024-07-05,3584
2024-07-06,2525
2024-07-07,2744
2024-07-08,991
2024-07-09,2326
2024-07-10,3280
2024-07-11,0
2024-07-12,2601
2024-07-13,3343
2024-07-14,2370
2024-07-15,1444
2024-07-16,1183
2024-07-17,0
2024-07-18,0
2024-07-19,0
2024-07-20,104
2024-07-21,1909
2024-07-22,0
2024-07-23,0
2024-07-24,1956
2024-07-25,2848
2024-07-26,3153
2024-07-27,0
2024-07-28,2452
2024-07-29,2709
2024-07-30,0
2024-07-31,0
2024-08-01,0
2024-08-02,0
2024-08-03,0
2024-08-04,2355
2024-08-05,3762
2024-08-06,2564
2024-08-07,3278
2024-08-08,3551
2024-08-09,3084
2024-08-10,3237
2024-08-11,2266
2024-08-12,2510
2024-08-13,2774
2024-08-14,0
2024-08-15,0
2024-08-16,0
2024-08-17,3099
2024-08-18,4594
2024-08-19,2944
2024-08-20,3777
2024-08-21,3725
2024-08-22,3149
2024-08-23,2612
2024-08-24,3734
2024-08-25,3358
2024-08-26,2161
2024-08-27,2611
2024-08-28,3861
2024-08-29,0
2024-08-30,2089
2024-08-31,2789
2024-09-01,3872
2024-09-02,0
2024-09-03,0
2024-09-04,0
2024-09-05,3191
2024-09-06,3696
2024-09-07,0
2024-09-08,2241
2024-09-09,3774
2024-09-10,4906
2024-09-11,3924
2024-09-12,4636
2024-09-13,3245
2024-09-14,4644
2024-09-15,4066
2024-09-16,0
2024-09-17,0
2024-09-18,0
2024-09-19,0
2024-09-20,3225
2024-09-21,2763
2024-09-22,0
2024-09-23,0
2024-09-24,0
2024-09-25,2078
2024-09-26,3220
2024-09-27,4025
2024-09-28,2871
2024-09-29,2633
2024-09-30,2514
2024-10-01,3221
2024-10-02,5008
2024-10-03,0
2024-10-04,1997
2024-10-05,3668
2024-10-06,3562
2024-10-07,3453
2024-10-08,3342
2024-10-09,4790
2024-10-10,3891
2024-10-11,3027
2024-10-12,3377
2024-10-13,1630
2024-10-14,0
2024-10-15,0
2024-10-16,3145
2024-10-17,0
2024-10-18,3093
2024-10-19,2995
2024-10-20,4261
2024-10-21,3419
2024-10-22,2592
2024-10-23,6944
2024-10-24,0
2024-10-25,0
2024-10-26,4846
2024-10-27,4809
2024-10-28,3399
2024-10-29,0
2024-10-30,0
2024-10-31,2144
2024-11-01,2457
2024-11-02,0
2024-11-03,0
2024-11-04,0
2024-11-05,0
2024-11-06,0
2024-11-07,0
2024-11-08,0
2024-11-09,0
2024-11-10,5991
2024-11-11,3864
2024-11-12,0
2024-11-13,0
2024-11-14,0
2024-11-15,7576
2024-11-16,4894
2024-11-17,4214
2024-11-18,0
2024-11-19,3094
2024-11-20,5264
2024-11-21,0
2024-11-22,0
2024-11-23,4654
2024-11-24,5218
2024-11-25,4265
2024-11-26,3713
2024-11-27,0
2024-11-28,0
2024-11-29,3587
2024-11-30,3795
2024-12-01,4033
2024-12-02,3534
2024-12-03,0
2024-12-04,0
2024-12-05,4957
2024-12-06,3805
2024-12-07,3360
2024-12-08,5232
2024-12-09,2319
2024-12-10,0
2024-12-11,0
2024-12-12,0
2024-12-13,0
2024-12-14,3302
2024-12-15,4073
2024-12-16,4930
2024-12-17,2202
2024-12-18,3931
2024-12-19,4338
2024-12-20,4353
2024-12-21,5992
2024-12-22,0
2024-12-23,3155
2024-12-24,5202
2024-12-25,4232
2024-12-26,4237
2024-12-27,0
2024-12-28,0
2024-12-29,3695
2024-12-30,4349
2024-12-31,0
2025-01-01,4343
2025-01-02,5853
2025-01-03,0
2025-01-04,1389
2025-01-05,3173
2025-01-06,3280
2025-01-07,6032
2025-01-08,0
2025-01-09,0
2025-01-10,0
2025-01-11,0
2025-01-12,0
2025-01-13,0
2025-01-14,0
2025-01-15,0
2025-01-16,0
2025-01-17,0
2025-01-18,0
2025-01-19,0
2025-01-20,0
2025-01-21,0
2025-01-22,0
2025-01-23,2098
2025-01-24,2438
2025-01-25,0
2025-01-26,4542
2025-01-27,4624
2025-01-28,2289
2025-01-29,3740
2025-01-30,0
2025-01-31,0
2025-02-01,0
2025-02-02,0
2025-02-03,0
2025-02-04,0
2025-02-05,0
2025-02-06,0
2025-02-07,6303
2025-02-08,3454
2025-02-09,4661
2025-02-10,6210
2025-02-11,0
2025-02-12,0
2025-02-13,0
2025-02-14,0
2025-02-15,0
2025-02-16,0
2025-02-17,0
2025-02-18,0
2025-02-19,0
2025-02-20,0
2025-02-21,2727
2025-02-22,3152
2025-02-23,2934
2025-02-24,0
2025-02-25,0
2025-02-26,0
2025-02-27,0
2025-02-28,0
2025-03-01,0
2025-03-02,0
2025-03-03,0
2025-03-04,2679
2025-03-05,4292
2025-03-06,7265
2025-03-07,2443
2025-03-08,634
2025-03-09,0
2025-03-10,0
2025-03-11,0
2025-03-12,0
2025-03-13,0
2025-03-14,0
2025-03-15,0
2025-03-16,0
2025-03-17,0
2025-03-18,0
2025-03-19,0
2025-03-20,2457
2025-03-21,3810
2025-03-22,2897
2025-03-23,3685
2025-03-24,0
2025-03-25,0
2025-03-26,0
2025-03-27,4824
2025-03-28,3601
2025-03-29,4256
2025-03-30,3361
2025-03-31,0
