SETT_DATE,SETT_PERIOD,Energy Imbalance,Frequency Control,Positive Reserve,Constraints,Negative Reserve,Other
2024-04-02,15,-7150.407,4060.344,0.0,39947.161,14.637,5835.837
2024-04-02,16,-5982.385,493.832,0.0,34226.503,36.01,4542.502
2024-04-02,17,-2875.407,0.0,21077.927,11.242,15.682,4505.266
2024-04-02,18,-5604.628,101.49,13752.95,0.0,48.035,4235.922
2024-04-02,19,-14554.868,0.0,14709.58,0.0,25.309,5484.531
2024-04-02,20,-17684.227,0.0,8627.973,0.0,12.098,4641.914
2024-04-02,21,-33008.453,232.882,3506.35,0.0,61.039,3322.225
2024-04-02,22,-44934.848,0.0,3554.65,0.0,-258.153,1254.734
2024-04-02,23,-37763.523,0.0,3515.55,0.0,-317.863,1923.958
2024-04-02,24,-35620.497,0.0,3578.8,0.0,0.0,441.592
2024-04-02,25,-26889.107,0.0,3469.55,0.0,0.0,908.811
2024-04-02,26,-20986.312,962.327,4308.203,0.0,0.0,899.489
2024-04-02,27,-10517.808,527.8014036853203,1403.7,4491.643584456738,0.0,4651.689011857941
2024-04-02,28,-5526.538,338.975,0.0,4535.440706947846,0.0,2272.419293052154
2024-04-02,29,372.153,440.26926434167063,2973.085326202069,3414.177,0.0,1408.9664094562604
2024-04-02,30,3875.572,356.0179101952123,2702.4093568680537,5638.404,0.0,248.51773293673412
2024-04-02,31,717.878,1049.9984413081886,7134.764714434652,5243.75,0.0,1505.9408442571594
2024-04-02,32,3711.12,1460.451281160365,9512.541077319715,6406.981,131.003,459.4976415199209
2024-04-02,33,14869.564,1999.4968238800104,2107.9631247871366,23010.914,31.124,38.171051332853025
2024-04-02,34,20895.387,45.14108167266283,3084.3705413348944,36124.944,0.0,266.61737699244276
2024-04-02,35,22880.655,361.505,4150.742152366659,21125.196,0.0,109.33584763334119
2024-04-02,36,37654.205,866.5680310172154,1725.9287603036344,17266.829,0.0,399.8832086791503
2024-04-02,37,30385.493,84.69762830705777,892.2530817843866,31897.182,0.0,455.36928990855563
2024-04-02,38,39621.845,490.38046166695773,1726.7240633897995,34284.327,0.0,1378.4144749432426
2024-04-02,39,50424.519,0.0,-179.47609380469024,37685.407,0.0,3637.62509380469
2024-04-02,40,31676.272,499.09498824050354,1451.3694341933422,36099.934,0.0,3084.9375775661542
2024-04-02,41,19281.014,0.0,1615.9201968413024,33144.065,422.438,2743.9678031586977
2024-04-02,42,-2778.482,0.0,1431.15,26853.17116205587,750.0725299579053,937.5283079862236
2024-04-02,43,16128.118,103.49808682762956,1170.3973056264979,35384.09725676005,0.0,-3.0586492141762602
2024-04-02,44,15027.021,343.33623075473963,1545.3615540066105,37869.27421523865,0.0,0.0
2024-04-02,45,-2636.485,18.445,12187.484,29962.125,0.0,1795.735
2024-04-02,46,-12866.065,57.693,12346.568,29005.621,0.0,9845.005
2024-04-02,47,11106.091,4024.6749999999997,7293.360364209092,66277.67184976247,218.126,16.966786028440808
2024-04-02,48,-3112.4,4388.45,0.0,83480.114,322.674,-1096.087
2024-04-03,1,-4206.295,6100.914,0.0,80358.47,54.958,9959.209
2024-04-03,2,5967.003,6522.45,0.0,88794.449,0.0,0.0
2024-04-03,3,12093.348,6613.9,0.0,92656.862,0.0,0.0
2024-04-03,4,2558.072,5007.058,0.0,99934.1186618397,0.0,117.99733816029483
