SETT_DATE,SETT_PERIOD,Energy Imbalance,Frequency Control,Positive Reserve,Constraints,Negative Reserve,Other
2018-04-01,1,9202.251,1019.63,1800.0,7349.24,0.0,46.264
2018-04-01,2,8036.9,1135.157,0.0,4266.225,0.0,0.0
2018-04-01,3,-3585.873,1609.7553367669054,3912.0,3813.981085594272,0.0,22.251577638822592
2018-04-01,4,563.756,10339.58753900049,2016.9731289914027,5068.890275739149,0.0,384.6460562689592
2018-04-01,5,12579.539,10363.558678840422,2185.3041221595463,4965.279533893145,0.0,-22.1963348931124
2018-04-01,6,21897.259,17075.525,2032.34,5656.208,0.0,-41.18
2018-04-01,7,19355.342,9963.675,209.21,8032.853,0.0,40.61
2018-04-01,8,16557.346,8452.076,207.41,8325.688,0.0,58.044
2018-04-01,9,17969.508,1338.1952326961634,320.96475596577966,8785.43569808849,0.0,3017.463313249567
2018-04-01,10,12518.797,541.0524265104435,62.73599005258437,8652.416468678877,0.0,3914.269114758095
2018-04-01,11,16941.327,2900.3339541770415,34.64330704055883,8519.92183567573,0.0,2188.1699031066696
2018-04-01,12,12835.58,428.315,2067.8908838024204,7421.657318889732,0.0,1765.3277973078473
2018-04-01,13,14023.147,6133.178,2062.146,7306.155,0.0,-32.276
2018-04-01,14,3247.167,981.8400703693494,2728.1305825847694,7172.559581960605,0.0,40.17276508527648
2018-04-01,15,-5979.868,4190.300589973547,0.0,3766.3088920473033,0.0,308.8405179791493
2018-04-01,16,9026.8,10339.521740718072,445.6959682127488,6019.681,0.0,1406.240291069178
2018-04-01,17,9609.169,6601.2609999999995,0.0,1929.557,0.0,55.364
2018-04-01,18,-496.715,3387.674,0.0,682.8213381129348,0.0,562.6056618870653
2018-04-01,19,-13928.717,2254.368611481435,1895.251,1359.1538464918788,0.0,900.6435420266862
2018-04-01,20,-2566.586,267.1606844159449,2946.001,762.3501057989158,0.0,103.72920978513932
2018-04-01,21,11461.696,5288.873,1726.255,825.29,0.0,885.892
2018-04-01,22,27669.306,494.924756650676,4345.870308711295,691.4,0.0,-393.1400653619712
2018-04-01,23,23872.019,-311.82000000000005,3295.925,740.2,0.0,-3.863
2018-04-01,24,20104.246,0.0,2859.429416114146,802.8,0.0,5.339583885853711
2018-04-01,25,18284.459,866.28096523955,3677.4058201579637,779.025,0.0,30.341214602486307
2018-04-01,26,14723.792,664.05,2088.046,770.445,0.0,0.0
2018-04-01,27,16920.109,621.3670000000001,2141.868,753.09,0.0,1.32
2018-04-01,28,5181.766,1067.758,3344.846,570.765,0.0,0.0
2018-04-01,29,5595.813,2790.634448075807,5045.243551924193,573.99,0.0,0.0
2018-04-01,30,5347.248,2917.177,4048.83,584.22,0.0,0.0
2018-04-01,31,4027.162,4086.3675253940455,4955.809474605954,500.76,0.0,0.0
2018-04-01,32,3287.577,4196.110090566038,3863.395909433962,544.44,0.0,0.0
2018-04-01,33,7690.391,3696.9299705882354,2721.3220294117646,613.08,0.0,0.0
2018-04-01,34,9491.475,1902.47,2587.703699782126,634.335,0.0,5.530300217873796
2018-04-01,35,-6422.04,493.103,4358.5,57.525,0.0,741.073
2018-04-01,36,-16627.637,3.79,4372.3,55.185,3090.589,350.662
2018-04-01,37,-13444.933,504.085,4826.59,483.709,0.0,2226.086
2018-04-01,38,-13159.147,503.61199999999997,4407.95,49.14,0.0,359.714
2018-04-01,39,-3520.349,-3.57,6803.525,54.21,0.0,133.071
2018-04-01,40,3056.129,1656.094,2423.193374632256,683.299,0.0,-126.3753746322559
