SETT_DATE,SETT_PERIOD,Energy Imbalance,Frequency Control,Positive Reserve,Constraints,Negative Reserve,Other
2023-04-01,1,-21137.628,32320.2,0.0,129513.685,0.0,22164.316
2023-04-01,2,-17343.365,4867.0,0.0,151756.992,0.0,34712.333
2023-04-01,3,-13674.752,3660.873,144172.865,712.678,0.0,21790.202
2023-04-01,4,-7630.14,741.0,0.0,127882.857,9.169,30195.857
2023-04-01,5,-12845.049,0.0,146284.054,5429.203,2860.2676542652343,12416.803345734766
2023-04-01,6,-15389.966,636.722,0.0,155055.002,-607.425,3153.799
2023-04-01,7,-13517.919,5438.309,0.0,150289.042,602.714,13427.302
2023-04-01,8,-14310.357,5799.677,0.0,152556.403,139.564,11624.817
2023-04-01,9,-10132.361,11227.828,0.0,143334.55,0.0,16191.363
2023-04-01,10,-8725.321,12438.889,0.0,140142.55,0.0,17650.202
2023-04-01,11,-11821.7,7639.807,0.0,145590.505,0.0,19731.963
2023-04-01,12,-15451.931,6814.08,0.0,145809.975,0.0,16207.68
2023-04-01,13,-15179.048,6163.82,0.0,140220.775,0.0,11880.493
2023-04-01,14,-10683.577,7579.636,0.0,128562.772,84.721,21188.951
2023-04-01,15,-1772.7,8101.369,51936.975,17425.907,0.0,17636.748
2023-04-01,16,13127.542,7128.47,32945.47470657661,20133.844054213336,0.0,2532.4512392100482
2023-04-01,17,10559.9,2306.763,31576.83666760537,1892.0234195307228,0.0,6015.4649128639085
2023-04-01,18,12874.459,663.687,8258.708715413652,2005.8290816220522,0.0,1193.1372029642969
2023-04-01,19,10179.221,2663.5,8768.482,0.0,0.0,0.0
2023-04-01,20,16735.928,3369.865,8837.54,0.0,0.0,0.0
2023-04-01,21,29298.008,2151.626,10480.243375647384,0.0,0.0,993.1116243526159
2023-04-01,22,19096.063,3561.868,7625.091,0.0,0.0,0.0
2023-04-01,23,23712.332,1605.304,6681.917321922828,0.0,0.0,1376.0556780771722
2023-04-01,24,2923.793,1416.4877317609046,27928.078689757673,0.0,0.0,776.4485784814217
2023-04-01,25,37935.413,2006.5894674516753,11445.669222603681,0.0,0.0,2493.174309944644
2023-04-01,26,9544.18,281.48306504391246,10037.724934956088,0.0,2235.508,1e-38
2023-04-01,27,-85.215,0.0,12411.406,0.0,0.0,7559.977
2023-04-01,28,109.575,0.0,14821.642262669522,0.0,0.0,711.5327373304782
2023-04-01,29,-11171.402,0.0,12135.825,0.0,0.0,890.798
2023-04-01,30,-5148.836,0.0,21570.77,0.0,0.0,761.211
2023-04-01,31,-7091.426,903.21,14457.306,0.0,0.0,2495.581
2023-04-01,32,1400.175,1062.910093618078,7675.087960433739,0.0,0.0,4508.890945948183
2023-04-01,33,936.45,160.612,2241.46,0.0,0.0,606.64
2023-04-01,34,11746.28,1300.925,12448.234326491534,0.0,0.0,1859.5546735084665
2023-04-01,35,30636.652,4329.942,17890.2851077159,0.0,0.0,12856.481892284102
2023-04-01,36,29779.381,4368.43,24352.434776164882,0.0,0.0,12084.771223835118
2023-04-01,37,10084.673,5935.27,28289.837987524756,0.0,0.0,332.0160124752435
2023-04-01,38,19950.496,1791.346,11228.848798675035,0.0,0.0,372.16720132496545
2023-04-01,39,17675.258,0.0,11931.225839297744,0.0,37.853,658.8351607022558
2023-04-01,40,10270.84,0.0,16427.241,0.0,0.0,0.0
2023-04-01,41,25601.85,0.0,8540.064,0.0,0.0,0.0
2023-04-01,42,-342.514,250.433,17875.1,0.0,263.457,2753.227
2023-04-01,43,6407.083,2676.946,20007.490048062326,0.0,0.0,590.2719519376747
2023-04-01,44,-5386.753,1037.252,19003.598,0.0,82.751,1149.414
2023-04-01,45,6687.894,3496.698,18290.097374602698,0.0,0.0,2504.024625397301
2023-04-01,46,1534.95,1070.003,19090.05787325045,0.0,-0.981,550.753126749548
2023-04-01,47,46468.492,3200.25,0.0,48592.31518544982,5.614,0.12381455017915624
2023-04-01,48,31671.158,3227.6243004407047,0.0,59715.26319548309,0.0,367.7545040762057
2023-04-02,1,13469.846,0.0,48361.45851916376,5725.101480836237,2195.317,0.0
2023-04-02,2,-60.15,0.0,0.0,23350.0,15962.282,20332.839
2023-04-02,3,-11911.693,0.0,72941.976,0.0,1378.04065894573,4439.04834105427
2023-04-02,4,2525.299,0.0,0.0,73429.78897239263,4493.5,3466.343027607362
2023-04-02,5,11650.062,0.0,44904.565258923976,20452.479948841432,11356.3,1562.3697922345882
2023-04-02,6,-6237.302,0.0,0.0,75105.175,2374.992,1059.341
2023-04-02,7,-7276.453,0.0,0.0,74809.255,2476.807,507.371
2023-04-02,8,-14911.74,542.568,0.0,74870.905,2427.23,378.792
2023-04-02,9,-12185.43,1325.133,0.0,74821.585,2443.75,3959.339
2023-04-02,10,-17193.734,1706.062,0.0,75074.35,2356.625,2083.676
2023-04-02,11,-3565.332,1110.711,0.0,74827.75,2441.625,784.888
2023-04-02,12,18689.155,139.833,0.0,54479.10882578308,14632.602,315.3231742169223
2023-04-02,13,2676.876,1969.334,0.0,42009.446,5167.775,-3e-38
2023-04-02,14,-4800.56,1906.608,0.0,40225.0,5260.395,3010.945
2023-04-02,15,-10357.429,207.639,29325.083,0.0,2053.951,1164.068
2023-04-02,16,1611.675,0.0,28889.51286510414,0.0,2410.934,1283.0611348958603
2023-04-02,17,52124.909,0.0,20583.327777953018,0.0,0.0,0.20922204698228813
2023-04-02,18,60083.886,0.0,7446.36,0.0,0.0,0.0
2023-04-02,19,76992.4,0.0,12734.654,0.0,0.0,0.0
2023-04-02,20,61397.716,0.0,11628.037,0.0,0.0,46.922
2023-04-02,21,59404.686,0.0,10452.272,0.0,0.0,96.861
2023-04-02,22,52594.211,0.0,6542.626,0.0,0.0,0.0
