ValueDate,Current Inst,MVA Inst,MVAr Inst,MW Inst
2026-02-26T00:05:00+00:00,225.109,12.683,2.62,-12.399
2026-02-26T00:10:00+00:00,234.951,13.16,2.603,-12.889
2026-02-26T00:15:00+00:00,242.324,13.522,2.433,-13.18
2026-02-26T00:20:00+00:00,240.211,13.54,2.5,-13.304
2026-02-26T00:25:00+00:00,236.722,13.367,2.514,-13.125
2026-02-26T00:30:00+00:00,233.998,13.252,2.561,-12.986
2026-02-26T00:35:00+00:00,243.073,13.678,2.399,-13.452
2026-02-26T00:40:00+00:00,251.059,14.098,2.413,-13.88
2026-02-26T00:45:00+00:00,254.31,14.341,2.38,-14.134
2026-02-26T00:50:00+00:00,253.659,14.346,2.486,-14.133
2026-02-26T00:55:00+00:00,250.634,14.168,2.457,-13.956
2026-02-26T01:00:00+00:00,249.812,14.144,2.514,-13.932
2026-02-26T01:05:00+00:00,249.909,14.164,2.56,-13.958
2026-02-26T01:10:00+00:00,249.495,14.134,2.616,-13.881
2026-02-26T01:15:00+00:00,245.001,13.89,2.606,-13.683
2026-02-26T01:20:00+00:00,245.03,13.888,2.606,-13.638
2026-02-26T01:25:00+00:00,244.318,13.866,2.568,-13.6
2026-02-26T01:30:00+00:00,241.943,13.73,2.532,-13.49
2026-02-26T01:35:00+00:00,241.214,13.682,2.469,-13.455
2026-02-26T01:40:00+00:00,239.472,13.616,2.562,-13.387
2026-02-26T01:45:00+00:00,240.305,13.63,2.601,-13.291
2026-02-26T01:50:00+00:00,238.76,13.362,2.544,-13.111
2026-02-26T01:55:00+00:00,234.712,13.154,2.583,-12.901
2026-02-26T02:00:00+00:00,232.21,13.041,2.669,-12.766
2026-02-26T02:05:00+00:00,233.466,13.103,2.622,-12.836
2026-02-26T02:10:00+00:00,234.395,13.128,2.602,-12.85
2026-02-26T02:15:00+00:00,233.252,13.096,2.643,-12.84
2026-02-26T02:20:00+00:00,232.056,13.009,2.561,-12.745
2026-02-26T02:25:00+00:00,228.113,12.792,2.523,-12.535
2026-02-26T02:30:00+00:00,227.082,12.748,2.528,-12.484
2026-02-26T02:35:00+00:00,232.875,13.032,2.458,-12.78
2026-02-26T02:40:00+00:00,229.821,12.91,2.544,-12.669
2026-02-26T02:45:00+00:00,229.372,12.89,2.535,-12.644
2026-02-26T02:50:00+00:00,226.254,12.724,2.593,-12.468
2026-02-26T02:55:00+00:00,222.531,12.529,2.66,-12.252
2026-02-26T03:00:00+00:00,218.648,12.326,2.811,-12.016
2026-02-26T03:05:00+00:00,220.992,12.462,2.762,-12.142
