ValueDate,Current Inst,MVA Inst,MVAr Inst,Volts Inst
2026-02-26T00:05:00+00:00,280.61,16.084,-16.084,33.087
2026-02-26T00:10:00+00:00,294.63,16.793,-16.79,32.889
2026-02-26T00:15:00+00:00,304.84,17.214,-17.213,32.596
2026-02-26T00:20:00+00:00,303.317,17.114,-17.112,32.595
2026-02-26T00:25:00+00:00,299.714,16.928,-16.925,32.641
2026-02-26T00:30:00+00:00,297.846,16.872,-16.868,32.669
2026-02-26T00:35:00+00:00,310.078,17.556,-17.556,32.728
2026-02-26T00:40:00+00:00,319.431,18.214,-18.214,32.913
2026-02-26T00:45:00+00:00,325.988,18.592,-18.592,32.952
2026-02-26T00:50:00+00:00,323.677,18.474,-18.476,32.941
2026-02-26T00:55:00+00:00,321.754,18.352,-18.356,32.94
2026-02-26T01:00:00+00:00,320.554,18.31,-18.312,32.994
2026-02-26T01:05:00+00:00,320.776,18.33,-18.33,33.022
2026-02-26T01:10:00+00:00,321.592,18.39,-18.39,33.031
2026-02-26T01:15:00+00:00,318.638,18.231,-18.232,33.032
2026-02-26T01:20:00+00:00,317.718,18.186,-18.188,33.061
2026-02-26T01:25:00+00:00,313.425,17.953,-17.952,33.091
2026-02-26T01:30:00+00:00,312.149,17.9,-17.9,33.123
2026-02-26T01:35:00+00:00,307.314,17.626,-17.624,33.152
2026-02-26T01:40:00+00:00,305.482,17.53,-17.53,33.134
2026-02-26T01:45:00+00:00,304.61,17.518,-17.517,33.223
2026-02-26T01:50:00+00:00,301.475,17.351,-17.353,33.251
2026-02-26T01:55:00+00:00,298.482,17.186,-17.186,33.262
2026-02-26T02:00:00+00:00,296.88,17.133,-17.133,33.32
2026-02-26T02:05:00+00:00,299.342,17.259,-17.26,33.286
2026-02-26T02:10:00+00:00,296.775,17.087,-17.086,33.249
2026-02-26T02:15:00+00:00,293.289,16.892,-16.892,33.256
2026-02-26T02:20:00+00:00,294.684,16.964,-16.962,33.259
2026-02-26T02:25:00+00:00,293.035,16.896,-16.896,33.316
2026-02-26T02:30:00+00:00,292.152,16.84,-16.84,33.313
2026-02-26T02:35:00+00:00,290.579,16.756,-16.756,33.318
2026-02-26T02:40:00+00:00,291.978,16.862,-16.862,33.364
2026-02-26T02:45:00+00:00,290.192,16.762,-16.761,33.388
2026-02-26T02:50:00+00:00,287.144,16.612,-16.611,33.423
2026-02-26T02:55:00+00:00,284.166,16.442,-16.441,33.43
2026-02-26T03:00:00+00:00,282.414,16.352,-16.352,33.449
2026-02-26T03:05:00+00:00,278.941,16.166,-16.164,33.418
2026-02-26T03:10:00+00:00,275.192,15.932,-15.932,33.443
2026-02-26T03:15:00+00:00,277.158,16.062,-16.062,33.483
2026-02-26T03:20:00+00:00,278.227,16.133,-16.132,33.497
2026-02-26T03:25:00+00:00,281.188,16.173,-16.172,33.159
2026-02-26T03:30:00+00:00,273.909,15.678,-15.679,33.049
2026-02-26T03:35:00+00:00,270.74,15.476,-15.478,33.022
2026-02-26T03:40:00+00:00,268.883,15.376,-15.377,33.02
2026-02-26T03:45:00+00:00,264.086,15.116,-15.114,33.073
2026-02-26T03:50:00+00:00,262.713,15.048,-15.049,33.096
2026-02-26T03:55:00+00:00,260.533,14.948,-14.948,33.13
2026-02-26T04:00:00+00:00,258.22,14.798,-14.797,33.08
2026-02-26T04:05:00+00:00,259.758,14.867,-14.868,33.046
2026-02-26T04:10:00+00:00,256.93,14.705,-14.707,33.068
2026-02-26T04:15:00+00:00,255.574,14.63,-14.631,33.068
2026-02-26T04:20:00+00:00,254.704,14.586,-14.586,33.086
2026-02-26T04:25:00+00:00,250.992,14.369,-14.366,33.086
2026-02-26T04:30:00+00:00,248.948,14.26,-14.258,33.084
2026-02-26T04:35:00+00:00,249.277,14.274,-14.272,33.073
2026-02-26T04:40:00+00:00,250.545,14.37,-14.368,33.131
2026-02-26T04:45:00+00:00,249.664,14.342,-14.342,33.199
2026-02-26T04:50:00+00:00,248.231,14.282,-14.283,33.225
2026-02-26T04:55:00+00:00,248.001,14.276,-14.276,33.252
2026-02-26T05:00:00+00:00,245.932,14.16,-14.16,33.237
2026-02-26T05:05:00+00:00,244.646,14.052,-14.054,33.132
2026-02-26T05:10:00+00:00,249.495,14.306,-14.308,33.101
2026-02-26T05:15:00+00:00,251.433,14.418,-14.418,33.121
2026-02-26T05:20:00+00:00,254.668,14.604,-14.602,33.107
2026-02-26T05:25:00+00:00,252.51,14.486,-14.486,33.096
2026-02-26T05:30:00+00:00,253.444,14.529,-14.529,33.085
2026-02-26T05:35:00+00:00,254.6,14.59,-14.589,33.067
2026-02-26T05:40:00+00:00,257.255,14.727,-14.728,33.044
2026-02-26T05:45:00+00:00,257.526,14.741,-14.744,33.015
2026-02-26T05:50:00+00:00,260.421,14.89,-14.89,33.006
2026-02-26T05:55:00+00:00,262.822,15.008,-15.007,32.966
2026-02-26T06:00:00+00:00,270.268,15.406,-15.405,32.888
2026-02-26T06:05:00+00:00,281.186,15.922,-15.92,32.696
2026-02-26T06:10:00+00:00,298.079,16.848,-16.846,32.665
2026-02-26T06:15:00+00:00,302.139,17.24,-17.24,33.006
2026-02-26T06:20:00+00:00,300.417,17.257,-17.259,33.184
2026-02-26T06:25:00+00:00,300.967,17.272,-17.275,33.142
2026-02-26T06:30:00+00:00,305.005,17.497,-17.496,33.126
2026-02-26T06:35:00+00:00,314.538,17.994,-17.992,33.02
2026-02-26T06:40:00+00:00,320.932,18.285,-18.283,32.88
2026-02-26T06:45:00+00:00,328.215,18.712,-18.713,32.934
2026-02-26T06:50:00+00:00,335.712,19.265,-19.265,33.129
2026-02-26T06:55:00+00:00,339.176,19.448,-19.448,33.11
2026-02-26T07:00:00+00:00,344.519,19.72,-19.72,33.05
2026-02-26T07:05:00+00:00,349.226,19.962,-19.962,32.978
2026-02-26T07:10:00+00:00,359.793,20.479,-20.478,32.839
2026-02-26T07:15:00+00:00,368.216,20.904,-20.902,32.787
