ValueDate,Current Inst,MVA Inst,MVAr Inst,MW Inst
2026-02-26T00:05:00+00:00,131.346,7.617,2.123,-6.822
2026-02-26T00:10:00+00:00,138.988,8.056,2.026,-7.324
2026-02-26T00:15:00+00:00,143.603,8.345,1.985,-7.516
2026-02-26T00:20:00+00:00,143.554,8.326,2.002,-7.502
2026-02-26T00:25:00+00:00,142.801,8.303,2.003,-7.482
2026-02-26T00:30:00+00:00,141.382,8.233,2.044,-7.366
2026-02-26T00:35:00+00:00,146.092,8.467,2.038,-7.64
2026-02-26T00:40:00+00:00,150.182,8.673,1.982,-7.887
2026-02-26T00:45:00+00:00,152.531,8.809,2.001,-8.046
2026-02-26T00:50:00+00:00,151.9,8.782,2.01,-8.01
2026-02-26T00:55:00+00:00,151.161,8.738,2.022,-7.962
2026-02-26T01:00:00+00:00,149.757,8.67,2.052,-7.885
2026-02-26T01:05:00+00:00,150.326,8.704,2.117,-7.902
2026-02-26T01:10:00+00:00,148.779,8.612,2.109,-7.809
2026-02-26T01:15:00+00:00,147.955,8.568,2.119,-7.752
2026-02-26T01:20:00+00:00,146.988,8.526,2.097,-7.698
2026-02-26T01:25:00+00:00,147.706,8.567,2.052,-7.772
2026-02-26T01:30:00+00:00,147.029,8.535,2.077,-7.73
2026-02-26T01:35:00+00:00,146.673,8.525,2.029,-7.734
2026-02-26T01:40:00+00:00,145.838,8.474,2.03,-7.682
2026-02-26T01:45:00+00:00,144.128,8.382,2.06,-7.559
2026-02-26T01:50:00+00:00,141.241,8.242,2.131,-7.393
2026-02-26T01:55:00+00:00,141.305,8.228,2.124,-7.353
2026-02-26T02:00:00+00:00,140.966,8.234,2.105,-7.356
2026-02-26T02:05:00+00:00,142.544,8.317,2.02,-7.482
2026-02-26T02:10:00+00:00,142.56,8.296,2.0,-7.47
2026-02-26T02:15:00+00:00,141.518,8.238,2.062,-7.386
2026-02-26T02:20:00+00:00,140.568,8.189,2.088,-7.334
2026-02-26T02:25:00+00:00,140.042,8.168,2.082,-7.32
2026-02-26T02:30:00+00:00,139.623,8.142,2.109,-7.25
2026-02-26T02:35:00+00:00,140.034,8.164,2.1,-7.297
2026-02-26T02:40:00+00:00,139.848,8.166,2.109,-7.295
2026-02-26T02:45:00+00:00,139.795,8.166,2.143,-7.296
2026-02-26T02:50:00+00:00,138.338,8.086,2.185,-7.188
2026-02-26T02:55:00+00:00,137.308,8.035,2.185,-7.125
2026-02-26T03:00:00+00:00,134.392,7.864,2.228,-6.927
2026-02-26T03:05:00+00:00,134.392,7.874,2.154,-6.98
2026-02-26T03:10:00+00:00,133.781,7.838,2.12,-6.916
2026-02-26T03:15:00+00:00,132.374,7.768,2.144,-6.846
2026-02-26T03:20:00+00:00,130.382,7.652,2.194,-6.692
2026-02-26T03:25:00+00:00,128.678,7.576,2.292,-6.576
2026-02-26T03:30:00+00:00,128.31,7.548,2.304,-6.526
2026-02-26T03:35:00+00:00,128.456,7.552,2.268,-6.562
2026-02-26T03:40:00+00:00,128.468,7.556,2.212,-6.554
2026-02-26T03:45:00+00:00,127.648,7.526,2.22,-6.522
2026-02-26T03:50:00+00:00,127.45,7.506,2.214,-6.507
2026-02-26T03:55:00+00:00,125.192,7.368,2.228,-6.338
2026-02-26T04:00:00+00:00,124.514,7.304,2.296,-6.327
2026-02-26T04:05:00+00:00,125.533,7.272,2.262,-6.402
2026-02-26T04:10:00+00:00,126.254,7.309,2.238,-6.454
2026-02-26T04:15:00+00:00,126.48,7.334,2.205,-6.496
2026-02-26T04:20:00+00:00,125.483,7.264,2.203,-6.409
2026-02-26T04:25:00+00:00,125.089,7.247,2.169,-6.414
2026-02-26T04:30:00+00:00,124.573,7.214,2.168,-6.367
2026-02-26T04:35:00+00:00,123.413,7.154,2.13,-6.302
2026-02-26T04:40:00+00:00,121.534,7.054,2.196,-6.176
2026-02-26T04:45:00+00:00,120.82,7.03,2.18,-6.139
2026-02-26T04:50:00+00:00,121.542,7.065,2.212,-6.16
2026-02-26T04:55:00+00:00,122.996,7.162,2.175,-6.278
2026-02-26T05:00:00+00:00,123.264,7.176,2.173,-6.309
2026-02-26T05:05:00+00:00,122.87,7.138,2.14,-6.286
2026-02-26T05:10:00+00:00,122.522,7.106,2.19,-6.226
2026-02-26T05:15:00+00:00,122.828,7.122,2.226,-6.24
2026-02-26T05:20:00+00:00,122.495,7.111,2.252,-6.209
2026-02-26T05:25:00+00:00,124.557,7.222,2.228,-6.372
2026-02-26T05:30:00+00:00,124.961,7.248,2.189,-6.4
