"Settlement Date","Settlement Period","Outturn Inertia","Market Provided Inertia"
2025-04-01,1,152,152
2025-04-01,2,149,149
2025-04-01,3,148,148
2025-04-01,4,148,148
2025-04-01,5,148,148
2025-04-01,6,148,148
2025-04-01,7,147,147
2025-04-01,8,146,146
2025-04-01,9,153,153
2025-04-01,10,158,158
2025-04-01,11,182,175
2025-04-01,12,190,183
2025-04-01,13,200,194
2025-04-01,14,203,197
2025-04-01,15,205,199
2025-04-01,16,206,201
2025-04-01,17,208,202
2025-04-01,18,208,200
2025-04-01,19,199,186
2025-04-01,20,189,169
2025-04-01,21,179,159
2025-04-01,22,167,143
2025-04-01,23,148,131
2025-04-01,24,125,107
2025-04-01,25,117,101
2025-04-01,26,117,100
2025-04-01,27,117,100
2025-04-01,28,117,99
2025-04-01,29,115,98
2025-04-01,30,114,97
2025-04-01,31,113,95
2025-04-01,32,113,97
2025-04-01,33,125,109
2025-04-01,34,144,132
2025-04-01,35,148,136
2025-04-01,36,151,123
2025-04-01,37,154,126
2025-04-01,38,154,120
2025-04-01,39,155,120
2025-04-01,40,155,124
2025-04-01,41,156,124
2025-04-01,42,155,123
2025-04-01,43,153,116
2025-04-01,44,164,118
2025-04-01,45,152,102
2025-04-01,46,137,98
2025-04-01,47,124,92
2025-04-01,48,121,89
2025-04-02,1,120,88
2025-04-02,2,119,87
2025-04-02,3,119,87
2025-04-02,4,119,87
2025-04-02,5,119,87
2025-04-02,6,118,86
2025-04-02,7,120,94
2025-04-02,8,120,85
2025-04-02,9,119,87
2025-04-02,10,124,95
2025-04-02,11,142,106
2025-04-02,12,143,112
2025-04-02,13,153,118
2025-04-02,14,151,119
2025-04-02,15,156,131
2025-04-02,16,152,128
2025-04-02,17,153,126
2025-04-02,18,152,125
2025-04-02,19,152,129
2025-04-02,20,143,119
2025-04-02,21,134,118
2025-04-02,22,131,118
2025-04-02,23,127,103
2025-04-02,24,130,114
2025-04-02,25,126,103
2025-04-02,26,126,99
2025-04-02,27,118,98
2025-04-02,28,117,97
2025-04-02,29,116,96
2025-04-02,30,115,95
2025-04-02,31,114,93
2025-04-02,32,113,94
2025-04-02,33,115,99
2025-04-02,34,124,112
2025-04-02,35,142,116
2025-04-02,36,146,128
2025-04-02,37,148,130
2025-04-02,38,147,127
2025-04-02,39,148,128
2025-04-02,40,150,135
2025-04-02,41,150,128
