EntryID,ServiceType,InstructionStartDateTime,MW,IndicativePrice,InstructionCeaseDateTime,DispatchDateTimeStamp,CeaseDateTimeStamp
9392,Non-BM Fast Reserve,2021-07-02T11:39:00,80,124.95,2021-07-02T11:51:00,2021-07-02T11:36:37,2021-07-02T11:49:10
9393,Non-BM Fast Reserve,2021-07-02T11:39:00,80,124.95,2021-07-02T11:55:00,2021-07-02T11:36:37,2021-07-02T11:52:10
9396,Non-BM Fast Reserve,2021-07-02T14:28:00,50,110,2021-07-02T14:39:50,2021-07-02T14:25:55,2021-07-02T14:38:55
9395,Non-BM Fast Reserve,2021-07-02T14:28:00,60,124.95,2021-07-02T14:41:00,2021-07-02T14:25:55,2021-07-02T14:38:55
9397,Non-BM Fast Reserve,2021-07-02T14:28:00,60,124.95,2021-07-02T14:40:40,2021-07-02T14:25:55,2021-07-02T14:38:55
9398,Non-BM Fast Reserve,2021-07-02T14:57:00,60,124.95,2021-07-02T15:04:40,2021-07-02T14:54:27,2021-07-02T15:02:57
9399,Non-BM Fast Reserve,2021-07-02T14:57:00,60,124.95,2021-07-02T15:05:00,2021-07-02T14:54:27,2021-07-02T15:02:57
9400,Non-BM Fast Reserve,2021-07-02T15:40:00,60,124.95,2021-07-02T16:01:00,2021-07-02T15:37:29,2021-07-02T15:59:00
9401,Non-BM Fast Reserve,2021-07-02T15:40:00,60,124.95,2021-07-02T16:00:40,2021-07-02T15:37:29,2021-07-02T15:59:00
9402,Non-BM Fast Reserve,2021-07-02T15:40:00,50,110,2021-07-02T15:56:50,2021-07-02T15:37:59,2021-07-02T15:55:30
9403,Non-BM Fast Reserve,2021-07-02T16:19:00,60,124.95,2021-07-02T18:26:00,2021-07-02T16:17:01,2021-07-02T18:23:38
9404,Non-BM Fast Reserve,2021-07-02T16:19:00,60,124.95,2021-07-02T18:25:40,2021-07-02T16:17:01,2021-07-02T18:23:38
9405,Non-BM Fast Reserve,2021-07-02T16:19:00,50,110,2021-07-02T16:35:50,2021-07-02T16:17:01,2021-07-02T16:34:35
9406,Non-BM Fast Reserve,2021-07-02T16:22:00,80,124.95,2021-07-02T18:26:00,2021-07-02T16:20:01,2021-07-02T18:23:38
9408,Non-BM Fast Reserve,2021-07-02T18:59:00,60,134.8,2021-07-02T19:37:00,2021-07-02T18:56:39,2021-07-02T19:34:41
9407,Non-BM Fast Reserve,2021-07-02T18:59:00,60,134.8,2021-07-02T19:36:40,2021-07-02T18:56:39,2021-07-02T19:34:41
9409,Non-BM Fast Reserve,2021-07-02T19:16:00,80,134.9,2021-07-02T19:37:00,2021-07-02T19:14:10,2021-07-02T19:34:41
