EntryID,ServiceType,InstructionStartDateTime,MW,IndicativePrice,InstructionCeaseDateTime,DispatchDateTimeStamp,CeaseDateTimeStamp
10550,Non-BM Fast Reserve,2021-08-05T19:03:00,80,139.69,2021-08-05T19:11:00,2021-08-05T19:01:15,2021-08-05T19:08:15
10553,Non-BM Fast Reserve,2021-08-05T21:02:00,42,123,2021-08-05T21:11:42,2021-08-05T21:00:32,2021-08-05T21:11:03
10552,Non-BM Fast Reserve,2021-08-05T21:02:00,80,129.8,2021-08-05T21:13:13,2021-08-05T21:00:32,2021-08-05T21:11:03
10554,Non-BM Fast Reserve,2021-08-06T07:57:00,47,121.95,2021-08-06T08:04:47,2021-08-06T07:55:06,2021-08-06T08:03:36
10555,Non-BM Fast Reserve,2021-08-06T07:57:00,80,133.85,2021-08-06T08:06:00,2021-08-06T07:55:06,2021-08-06T08:03:36
10556,Non-BM Fast Reserve,2021-08-06T08:17:00,80,133.85,2021-08-06T08:42:00,2021-08-06T08:14:37,2021-08-06T08:40:10
10557,Non-BM Fast Reserve,2021-08-06T08:17:00,80,133.85,2021-08-06T08:42:00,2021-08-06T08:14:37,2021-08-06T08:39:40
10558,Non-BM Fast Reserve,2021-08-06T09:06:00,47,121.95,2021-08-06T09:22:47,2021-08-06T09:04:11,2021-08-06T09:21:41
10559,Non-BM Fast Reserve,2021-08-06T09:14:00,80,133.85,2021-08-06T09:24:00,2021-08-06T09:11:11,2021-08-06T09:21:11
10560,Non-BM Fast Reserve,2021-08-06T13:24:00,45,121.95,2021-08-06T13:29:45,2021-08-06T13:21:42,2021-08-06T13:28:12
10561,Non-BM Fast Reserve,2021-08-06T13:24:00,80,132.85,2021-08-06T13:31:13,2021-08-06T13:21:42,2021-08-06T13:28:12
10562,Non-BM Fast Reserve,2021-08-06T13:52:00,80,132.85,2021-08-06T14:02:13,2021-08-06T13:49:13,2021-08-06T13:59:47
10563,Non-BM Fast Reserve,2021-08-06T15:01:00,80,132.85,2021-08-06T15:10:13,2021-08-06T14:58:25,2021-08-06T15:07:26
10565,Non-BM Fast Reserve,2021-08-06T15:02:00,80,132.85,2021-08-06T15:10:00,2021-08-06T14:59:25,2021-08-06T15:07:26
10564,Non-BM Fast Reserve,2021-08-06T15:02:00,60,132.85,2021-08-06T15:10:00,2021-08-06T14:59:25,2021-08-06T15:07:56
10566,Non-BM Fast Reserve,2021-08-06T15:02:00,47,124.95,2021-08-06T15:08:47,2021-08-06T14:59:25,2021-08-06T15:07:56
10568,Non-BM Fast Reserve,2021-08-06T15:20:00,60,132.85,2021-08-06T15:34:00,2021-08-06T15:17:26,2021-08-06T15:31:57
10567,Non-BM Fast Reserve,2021-08-06T15:20:00,80,132.85,2021-08-06T15:34:00,2021-08-06T15:17:26,2021-08-06T15:31:57
10569,Non-BM Fast Reserve,2021-08-06T15:20:00,80,132.85,2021-08-06T15:34:00,2021-08-06T15:18:26,2021-08-06T15:31:57
10570,Non-BM Fast Reserve,2021-08-06T15:20:00,80,132.85,2021-08-06T15:34:00,2021-08-06T15:18:26,2021-08-06T15:31:57
10572,Non-BM Fast Reserve,2021-08-06T16:17:00,28,133.85,2021-08-06T16:31:00,2021-08-06T16:15:04,2021-08-06T16:28:34
10573,Non-BM Fast Reserve,2021-08-06T16:17:00,47,124.95,2021-08-06T16:29:47,2021-08-06T16:15:04,2021-08-06T16:28:34
10571,Non-BM Fast Reserve,2021-08-06T16:17:00,60,133.85,2021-08-06T16:31:00,2021-08-06T16:15:04,2021-08-06T16:28:34
10574,Non-BM Fast Reserve,2021-08-06T16:17:00,80,133.85,2021-08-06T16:31:00,2021-08-06T16:15:04,2021-08-06T16:28:34
10575,Non-BM Fast Reserve,2021-08-06T16:25:00,80,133.85,2021-08-06T17:02:00,2021-08-06T16:22:34,2021-08-06T16:59:47
10576,Non-BM Fast Reserve,2021-08-06T16:25:00,80,133.85,2021-08-06T17:53:00,2021-08-06T16:22:34,2021-08-06T17:50:33
10577,Non-BM Fast Reserve,2021-08-06T16:48:00,60,133.85,2021-08-06T20:37:00,2021-08-06T16:45:37,2021-08-06T20:35:08
10578,Non-BM Fast Reserve,2021-08-06T16:48:00,28,133.85,2021-08-06T19:53:00,2021-08-06T16:45:37,2021-08-06T19:51:03
10579,Non-BM Fast Reserve,2021-08-06T16:48:00,47,124.95,2021-08-06T17:03:47,2021-08-06T16:45:37,2021-08-06T17:03:17
10580,Non-BM Fast Reserve,2021-08-06T16:49:00,80,133.85,2021-08-06T17:54:13,2021-08-06T16:46:37,2021-08-06T17:51:33
10581,Non-BM Fast Reserve,2021-08-06T16:49:00,80,133.85,2021-08-06T17:53:00,2021-08-06T16:46:37,2021-08-06T17:50:33
10582,Non-BM Fast Reserve,2021-08-06T16:52:00,100,139.9,2021-08-06T17:02:00,2021-08-06T16:50:11,2021-08-06T16:59:47
10583,Non-BM Fast Reserve,2021-08-06T17:11:00,100,139.9,2021-08-06T17:30:00,2021-08-06T17:09:17,2021-08-06T17:28:19
10584,Non-BM Fast Reserve,2021-08-06T17:11:00,80,133.85,2021-08-06T17:30:00,2021-08-06T17:09:17,2021-08-06T17:28:19
10586,Non-BM Fast Reserve,2021-08-06T17:42:00,47,124.95,2021-08-06T17:56:47,2021-08-06T17:40:22,2021-08-06T17:55:37
10585,Non-BM Fast Reserve,2021-08-06T17:42:00,80,133.85,2021-08-06T17:54:00,2021-08-06T17:40:22,2021-08-06T17:51:33
10587,Non-BM Fast Reserve,2021-08-06T17:47:00,100,139.9,2021-08-06T19:53:00,2021-08-06T17:44:33,2021-08-06T19:51:03
10589,Non-BM Fast Reserve,2021-08-06T18:04:00,80,133.85,2021-08-06T19:53:00,2021-08-06T18:02:07,2021-08-06T19:51:03
10588,Non-BM Fast Reserve,2021-08-06T18:04:00,80,133.85,2021-08-06T20:31:00,2021-08-06T18:02:07,2021-08-06T20:28:38
