EntryID,ServiceType,InstructionStartDateTime,MW,IndicativePrice,InstructionCeaseDateTime,DispatchDateTimeStamp,CeaseDateTimeStamp
3161,Non-BM Fast Reserve,2021-01-04T01:45:00,80,88,2021-01-04T02:35:40,2021-01-04T01:42:58,2021-01-04T02:33:29
3160,Non-BM Fast Reserve,2021-01-04T01:45:00,60,88,2021-01-04T03:27:00,2021-01-04T01:42:58,2021-01-04T03:25:11
3162,Non-BM Fast Reserve,2021-01-04T01:55:00,60,90,2021-01-04T02:35:00,2021-01-04T01:52:58,2021-01-04T02:33:29
3163,Non-BM Fast Reserve,2021-01-04T01:55:00,76,90,2021-01-04T02:34:32,2021-01-04T01:52:58,2021-01-04T02:31:59
3164,Non-BM Fast Reserve,2021-01-04T02:20:00,86,90,2021-01-04T02:34:12,2021-01-04T02:17:59,2021-01-04T02:31:59
3165,Non-BM Fast Reserve,2021-01-04T02:20:00,45,80,2021-01-04T02:36:45,2021-01-04T02:17:59,2021-01-04T02:35:29
3167,Non-BM Fast Reserve,2021-01-04T02:47:00,60,90,2021-01-04T03:25:00,2021-01-04T02:44:30,2021-01-04T03:23:11
3166,Non-BM Fast Reserve,2021-01-04T02:47:00,80,88,2021-01-04T03:25:40,2021-01-04T02:44:30,2021-01-04T03:23:11
3169,Non-BM Fast Reserve,2021-01-04T04:06:00,45,80,2021-01-04T04:22:45,2021-01-04T04:03:51,2021-01-04T04:21:22
3168,Non-BM Fast Reserve,2021-01-04T04:06:00,60,88,2021-01-04T04:28:00,2021-01-04T04:03:51,2021-01-04T04:25:52
3170,Non-BM Fast Reserve,2021-01-04T04:06:00,80,88,2021-01-04T04:28:40,2021-01-04T04:03:51,2021-01-04T04:25:52
3171,Non-BM Fast Reserve,2021-01-04T10:09:00,80,95,2021-01-04T10:29:40,2021-01-04T10:07:07,2021-01-04T10:26:11
3172,Non-BM Fast Reserve,2021-01-04T10:09:00,60,95,2021-01-04T10:32:00,2021-01-04T10:07:07,2021-01-04T10:30:11
3173,Non-BM Fast Reserve,2021-01-04T10:09:00,60,95,2021-01-04T10:32:00,2021-01-04T10:07:07,2021-01-04T10:30:11
3175,Non-BM Fast Reserve,2021-01-04T11:56:00,80,92,2021-01-04T12:59:40,2021-01-04T11:54:26,2021-01-04T12:56:44
3176,Non-BM Fast Reserve,2021-01-04T11:56:00,60,92,2021-01-04T12:59:00,2021-01-04T11:54:26,2021-01-04T12:56:44
3174,Non-BM Fast Reserve,2021-01-04T11:56:00,60,95,2021-01-04T12:12:00,2021-01-04T11:54:26,2021-01-04T12:09:59
3178,Non-BM Fast Reserve,2021-01-04T12:23:00,60,97,2021-01-04T12:54:00,2021-01-04T12:21:02,2021-01-04T12:52:13
3177,Non-BM Fast Reserve,2021-01-04T12:23:00,60,95,2021-01-04T12:54:00,2021-01-04T12:21:02,2021-01-04T12:52:13
3179,Non-BM Fast Reserve,2021-01-04T12:34:00,86,98,2021-01-04T12:47:12,2021-01-04T12:32:08,2021-01-04T12:45:10
3180,Non-BM Fast Reserve,2021-01-04T12:34:00,76,98,2021-01-04T12:47:32,2021-01-04T12:32:08,2021-01-04T12:45:10
3181,Non-BM Fast Reserve,2021-01-04T18:38:00,70,80,2021-01-04T18:43:10,2021-01-04T18:35:55,2021-01-04T18:41:56
3182,Non-BM Fast Reserve,2021-01-04T22:32:00,55,80,2021-01-04T22:44:55,2021-01-04T22:29:46,2021-01-04T22:44:20
3183,Non-BM Fast Reserve,2021-01-05T01:42:00,60,91.9,2021-01-05T01:54:00,2021-01-05T01:39:14,2021-01-05T01:51:54
3184,Non-BM Fast Reserve,2021-01-05T01:42:00,78,94.9,2021-01-05T01:54:00,2021-01-05T01:39:14,2021-01-05T01:51:54
3185,Non-BM Fast Reserve,2021-01-05T01:42:00,40,92.9,2021-01-05T01:53:20,2021-01-05T01:39:14,2021-01-05T01:51:54
3186,Non-BM Fast Reserve,2021-01-05T01:42:00,45,80,2021-01-05T01:52:45,2021-01-05T01:39:44,2021-01-05T01:51:54
3188,Non-BM Fast Reserve,2021-01-05T07:05:00,40,92.9,2021-01-05T07:32:20,2021-01-05T07:03:02,2021-01-05T07:30:45
3187,Non-BM Fast Reserve,2021-01-05T07:05:00,60,91.9,2021-01-05T07:33:00,2021-01-05T07:03:02,2021-01-05T07:30:45
3190,Non-BM Fast Reserve,2021-01-05T08:14:00,60,91.9,2021-01-05T08:23:00,2021-01-05T08:11:40,2021-01-05T08:20:40
3189,Non-BM Fast Reserve,2021-01-05T08:14:00,76,92.9,2021-01-05T08:23:32,2021-01-05T08:11:40,2021-01-05T08:20:40
3191,Non-BM Fast Reserve,2021-01-05T08:14:00,65,80,2021-01-05T08:22:05,2021-01-05T08:11:40,2021-01-05T08:20:40
3193,Non-BM Fast Reserve,2021-01-05T08:49:00,76,92.9,2021-01-05T09:10:32,2021-01-05T08:46:52,2021-01-05T09:08:01
3192,Non-BM Fast Reserve,2021-01-05T08:49:00,80,91.9,2021-01-05T09:33:40,2021-01-05T08:46:52,2021-01-05T09:31:07
