ValueDate,Amps,MVA,MVAr,Volts
2026-02-26T00:05:00+00:00,16.0,1.0,1.0,33.504
2026-02-26T00:10:00+00:00,16.0,0.923,1.0,33.424
2026-02-26T00:15:00+00:00,16.0,0.9,1.0,33.4
2026-02-26T00:20:00+00:00,16.0,0.9,1.0,33.4
2026-02-26T00:25:00+00:00,16.0,0.9,1.0,33.377
2026-02-26T00:30:00+00:00,16.0,0.953,1.0,33.453
2026-02-26T00:35:00+00:00,16.0,0.902,1.0,33.363
2026-02-26T00:40:00+00:00,16.0,0.91,1.0,33.345
2026-02-26T00:45:00+00:00,16.0,1.0,1.0,33.894
2026-02-26T00:50:00+00:00,16.0,1.0,1.0,33.9
2026-02-26T00:55:00+00:00,16.0,1.0,1.0,33.9
2026-02-26T01:00:00+00:00,16.0,1.0,1.0,33.92
2026-02-26T01:05:00+00:00,16.0,1.0,1.0,33.954
2026-02-26T01:10:00+00:00,16.0,1.0,1.0,34.0
2026-02-26T01:15:00+00:00,16.0,1.0,1.0,34.0
2026-02-26T01:20:00+00:00,16.0,1.0,1.0,34.022
2026-02-26T01:25:00+00:00,16.0,1.0,1.0,34.068
2026-02-26T01:30:00+00:00,16.0,1.0,1.0,34.1
2026-02-26T01:35:00+00:00,16.0,1.0,1.0,34.1
2026-02-26T01:40:00+00:00,16.0,1.0,1.0,34.1
2026-02-26T01:45:00+00:00,16.0,1.0,1.0,34.1
2026-02-26T01:50:00+00:00,16.0,1.0,1.0,34.167
2026-02-26T01:55:00+00:00,16.0,1.0,1.0,34.2
2026-02-26T02:00:00+00:00,16.0,0.97,1.0,33.642
2026-02-26T02:05:00+00:00,16.0,0.978,1.0,33.478
2026-02-26T02:10:00+00:00,16.0,1.0,1.0,33.5
2026-02-26T02:15:00+00:00,16.0,0.969,1.0,33.485
2026-02-26T02:20:00+00:00,16.0,1.0,1.0,33.506
2026-02-26T02:25:00+00:00,16.0,1.0,1.0,33.5
2026-02-26T02:30:00+00:00,16.0,1.0,1.0,33.537
2026-02-26T02:35:00+00:00,16.0,1.0,1.0,33.6
2026-02-26T02:40:00+00:00,16.0,1.0,1.0,33.662
2026-02-26T02:45:00+00:00,16.0,1.0,1.0,33.7
2026-02-26T02:50:00+00:00,16.0,1.0,1.0,33.7
2026-02-26T02:55:00+00:00,16.0,1.0,1.0,33.7
2026-02-26T03:00:00+00:00,16.0,1.0,1.0,33.7
2026-02-26T03:05:00+00:00,16.0,1.0,1.0,33.674
2026-02-26T03:10:00+00:00,16.0,1.0,1.0,33.608
2026-02-26T03:15:00+00:00,16.0,1.0,1.0,33.693
2026-02-26T03:20:00+00:00,16.0,1.0,1.0,33.7
2026-02-26T03:25:00+00:00,16.0,1.0,1.0,33.7
2026-02-26T03:30:00+00:00,16.0,1.0,1.0,33.7
2026-02-26T03:35:00+00:00,16.0,1.0,1.0,33.671
2026-02-26T03:40:00+00:00,16.0,1.0,1.0,33.7
2026-02-26T03:45:00+00:00,16.0,1.0,1.0,33.728
2026-02-26T03:50:00+00:00,16.0,1.0,1.0,33.813
2026-02-26T03:55:00+00:00,16.0,1.0,1.0,33.86
2026-02-26T04:00:00+00:00,16.0,1.0,1.0,33.855
2026-02-26T04:05:00+00:00,16.0,1.0,1.0,33.669
2026-02-26T04:10:00+00:00,16.0,1.0,1.0,33.6
2026-02-26T04:15:00+00:00,16.0,1.0,1.0,33.6
2026-02-26T04:20:00+00:00,16.0,1.0,1.0,33.546
2026-02-26T04:25:00+00:00,16.0,1.0,1.0,33.61
2026-02-26T04:30:00+00:00,16.0,1.0,1.0,33.7
2026-02-26T04:35:00+00:00,16.0,1.0,1.0,33.7
2026-02-26T04:40:00+00:00,16.0,1.0,1.0,33.701
2026-02-26T04:45:00+00:00,16.0,1.0,1.0,33.761
2026-02-26T04:50:00+00:00,16.0,1.0,1.0,33.8
2026-02-26T04:55:00+00:00,16.0,1.0,1.0,33.8
2026-02-26T05:00:00+00:00,16.0,1.0,1.0,33.792
2026-02-26T05:05:00+00:00,16.0,1.0,1.0,33.628
2026-02-26T05:10:00+00:00,16.0,1.0,1.0,33.573
2026-02-26T05:15:00+00:00,16.0,1.0,1.0,33.541
2026-02-26T05:20:00+00:00,16.0,1.0,1.0,33.51
2026-02-26T05:25:00+00:00,16.0,0.985,1.0,33.485
2026-02-26T05:30:00+00:00,16.0,0.972,1.0,33.472
2026-02-26T05:35:00+00:00,16.0,0.936,1.0,33.442
2026-02-26T05:40:00+00:00,16.0,1.0,1.0,33.504
2026-02-26T05:45:00+00:00,16.0,1.0,1.0,33.5
2026-02-26T05:50:00+00:00,16.0,0.952,1.0,33.452
2026-02-26T05:55:00+00:00,16.0,0.918,1.0,33.418
2026-02-26T06:00:00+00:00,16.0,0.9,1.0,33.389
2026-02-26T06:05:00+00:00,16.0,0.962,1.0,33.767
2026-02-26T06:10:00+00:00,16.0,1.0,1.0,33.984
2026-02-26T06:15:00+00:00,16.0,1.0,1.0,33.635
2026-02-26T06:20:00+00:00,16.0,1.0,1.0,33.591
2026-02-26T06:25:00+00:00,16.0,0.979,1.0,33.489
2026-02-26T06:30:00+00:00,16.0,0.973,1.0,33.495
2026-02-26T06:35:00+00:00,16.0,0.947,1.0,33.447
2026-02-26T06:40:00+00:00,16.0,0.912,1.0,33.387
2026-02-26T06:45:00+00:00,16.0,1.0,1.0,33.5
2026-02-26T06:50:00+00:00,16.0,1.0,1.0,33.55
2026-02-26T06:55:00+00:00,16.0,0.994,1.0,33.497
2026-02-26T07:00:00+00:00,16.0,0.9,1.0,33.393
2026-02-26T07:05:00+00:00,16.0,0.9,1.0,33.362
2026-02-26T07:10:00+00:00,16.0,0.934,1.0,33.342
2026-02-26T07:15:00+00:00,16.0,1.0,1.0,33.657
2026-02-26T07:20:00+00:00,16.0,1.0,1.0,33.767
2026-02-26T07:25:00+00:00,16.0,1.0,1.0,33.733
2026-02-26T07:30:00+00:00,16.0,1.0,1.0,33.647
2026-02-26T07:35:00+00:00,16.0,0.996,1.0,33.863
2026-02-26T07:40:00+00:00,16.0,1.0,1.0,34.094
2026-02-26T07:45:00+00:00,16.0,1.0,1.0,33.664
2026-02-26T07:50:00+00:00,16.0,1.0,1.0,33.651
2026-02-26T07:55:00+00:00,16.0,1.0,1.0,33.645
2026-02-26T08:00:00+00:00,16.0,1.0,1.0,33.569
2026-02-26T08:05:00+00:00,16.0,1.0,1.0,33.529
2026-02-26T08:10:00+00:00,16.0,1.0,1.0,33.53
2026-02-26T08:15:00+00:00,16.0,1.0,1.0,33.6
2026-02-26T08:20:00+00:00,16.0,1.0,1.0,33.558
2026-02-26T08:25:00+00:00,16.0,1.0,1.0,33.509
2026-02-26T08:30:00+00:00,16.0,1.0,1.0,33.591
2026-02-26T08:35:00+00:00,16.0,1.0,1.0,33.584
2026-02-26T08:40:00+00:00,16.0,0.96,1.0,33.46
2026-02-26T08:45:00+00:00,16.0,0.919,1.0,33.416
2026-02-26T08:50:00+00:00,16.0,0.912,1.0,33.412
2026-02-26T08:55:00+00:00,16.0,0.924,1.0,33.424
2026-02-26T09:00:00+00:00,16.0,0.914,1.0,33.402
2026-02-26T09:05:00+00:00,16.0,0.95,1.0,33.45
2026-02-26T09:10:00+00:00,16.0,1.0,1.0,33.5
2026-02-26T09:15:00+00:00,16.0,0.943,1.0,33.438
2026-02-26T09:20:00+00:00,16.0,0.936,1.0,33.419
2026-02-26T09:25:00+00:00,16.0,0.999,1.0,33.499
2026-02-26T09:30:00+00:00,16.0,0.946,1.0,33.446
2026-02-26T09:35:00+00:00,16.0,0.992,1.0,33.494
2026-02-26T09:40:00+00:00,16.0,1.0,1.0,33.5
2026-02-26T09:45:00+00:00,16.0,0.993,1.0,33.499
2026-02-26T09:50:00+00:00,16.0,1.0,1.0,33.515
2026-02-26T09:55:00+00:00,16.0,1.0,1.0,33.509
2026-02-26T10:00:00+00:00,16.0,0.985,1.0,33.514
2026-02-26T10:05:00+00:00,16.0,1.0,1.0,33.507
2026-02-26T10:10:00+00:00,16.0,1.0,1.0,33.514
2026-02-26T10:15:00+00:00,16.0,1.0,1.0,33.567
2026-02-26T10:20:00+00:00,16.0,1.0,1.0,33.562
2026-02-26T10:25:00+00:00,16.0,0.977,1.0,33.477
2026-02-26T10:30:00+00:00,16.0,0.929,1.0,33.429
2026-02-26T10:35:00+00:00,16.0,0.999,1.0,33.504
2026-02-26T10:40:00+00:00,16.0,0.902,1.0,33.372
2026-02-26T10:45:00+00:00,16.0,0.9,1.0,33.346
2026-02-26T10:50:00+00:00,16.0,0.9,1.0,33.36
2026-02-26T10:55:00+00:00,16.0,0.9,1.0,33.314
2026-02-26T11:00:00+00:00,16.0,0.93,1.0,33.374
2026-02-26T11:05:00+00:00,16.0,1.0,1.0,33.568
2026-02-26T11:10:00+00:00,16.0,1.0,1.0,33.568
2026-02-26T11:15:00+00:00,16.0,1.0,1.0,33.572
2026-02-26T11:20:00+00:00,16.0,1.0,1.0,33.623
2026-02-26T11:25:00+00:00,16.0,1.0,1.0,33.6
2026-02-26T11:30:00+00:00,16.0,1.0,1.0,33.548
2026-02-26T11:35:00+00:00,16.0,1.0,1.0,33.626
2026-02-26T11:40:00+00:00,16.0,1.0,1.0,33.605
2026-02-26T11:45:00+00:00,16.0,1.0,1.0,33.622
2026-02-26T11:50:00+00:00,16.0,1.0,1.0,33.655
2026-02-26T11:55:00+00:00,16.0,1.0,1.0,33.692
2026-02-26T12:00:00+00:00,16.0,1.0,1.0,33.718
2026-02-26T12:05:00+00:00,16.0,1.0,1.0,33.617
2026-02-26T12:10:00+00:00,16.0,1.0,1.0,33.594
2026-02-26T12:15:00+00:00,16.0,0.996,1.0,33.576
2026-02-26T12:20:00+00:00,16.0,1.0,1.0,33.6
2026-02-26T12:25:00+00:00,16.0,1.0,1.0,33.56
2026-02-26T12:30:00+00:00,16.0,1.0,1.0,33.575
2026-02-26T12:35:00+00:00,16.0,0.951,1.0,33.451
2026-02-26T12:40:00+00:00,16.0,0.961,1.0,33.462
2026-02-26T12:45:00+00:00,16.0,1.0,1.0,33.5
2026-02-26T12:50:00+00:00,16.0,1.0,1.0,33.593
2026-02-26T12:55:00+00:00,16.0,1.0,1.0,33.653
2026-02-26T13:00:00+00:00,16.0,1.0,1.0,33.684
2026-02-26T13:05:00+00:00,16.0,1.0,1.0,33.681
2026-02-26T13:10:00+00:00,16.0,1.0,1.0,33.632
2026-02-26T13:15:00+00:00,16.0,1.0,1.0,33.706
2026-02-26T13:20:00+00:00,16.0,1.0,1.0,33.686
2026-02-26T13:25:00+00:00,16.0,1.0,1.0,33.691
2026-02-26T13:30:00+00:00,16.0,1.0,1.0,33.588
2026-02-26T13:35:00+00:00,16.0,1.0,1.0,33.645
2026-02-26T13:40:00+00:00,16.0,1.0,1.0,33.565
2026-02-26T13:45:00+00:00,16.0,1.0,1.0,33.559
2026-02-26T13:50:00+00:00,16.0,1.0,1.0,33.569
2026-02-26T13:55:00+00:00,16.0,1.0,1.0,33.659
2026-02-26T14:00:00+00:00,16.0,1.0,1.0,33.614
2026-02-26T14:05:00+00:00,16.0,1.0,1.0,33.637
2026-02-26T14:10:00+00:00,16.0,1.0,1.0,33.692
2026-02-26T14:15:00+00:00,16.0,1.0,1.0,33.688
2026-02-26T14:20:00+00:00,16.0,1.0,1.0,33.723
2026-02-26T14:25:00+00:00,16.0,1.0,1.0,33.7
2026-02-26T14:30:00+00:00,16.0,1.0,1.0,33.648
2026-02-26T14:35:00+00:00,16.0,1.0,1.0,33.57
2026-02-26T14:40:00+00:00,16.0,1.0,1.0,33.593
2026-02-26T14:45:00+00:00,16.0,1.0,1.0,33.528
2026-02-26T14:50:00+00:00,16.0,1.0,1.0,33.558
2026-02-26T14:55:00+00:00,16.0,1.0,1.0,33.541
2026-02-26T15:00:00+00:00,16.0,0.997,1.0,33.53
2026-02-26T15:05:00+00:00,16.0,1.0,1.0,33.649
2026-02-26T15:10:00+00:00,16.0,1.0,1.0,33.779
2026-02-26T15:15:00+00:00,16.0,1.0,1.0,33.85
2026-02-26T15:20:00+00:00,16.0,0.971,1.0,33.534
2026-02-26T15:25:00+00:00,16.0,1.0,1.0,33.674
2026-02-26T15:30:00+00:00,16.0,1.0,1.0,33.609
2026-02-26T15:35:00+00:00,16.0,1.0,1.0,33.6
2026-02-26T15:40:00+00:00,16.0,1.0,1.0,33.558
2026-02-26T15:45:00+00:00,16.0,1.0,1.0,33.5
2026-02-26T15:50:00+00:00,16.0,0.91,1.0,33.41
2026-02-26T15:55:00+00:00,16.0,0.9,1.0,33.4
2026-02-26T16:00:00+00:00,16.0,0.903,1.0,33.337
2026-02-26T16:05:00+00:00,16.0,1.0,1.0,34.054
2026-02-26T16:10:00+00:00,16.0,1.0,1.0,34.07
2026-02-26T16:15:00+00:00,16.0,1.0,1.0,33.67
2026-02-26T16:20:00+00:00,16.0,1.0,1.0,33.678
2026-02-26T16:25:00+00:00,16.0,1.0,1.0,33.773
2026-02-26T16:30:00+00:00,16.0,1.0,1.0,33.826
2026-02-26T16:35:00+00:00,16.0,1.0,1.0,33.754
2026-02-26T16:40:00+00:00,16.0,1.0,1.0,33.701
2026-02-26T16:45:00+00:00,16.0,1.0,1.0,33.693
2026-02-26T16:50:00+00:00,16.0,1.0,1.0,33.58
2026-02-26T16:55:00+00:00,16.0,1.0,1.0,33.553
2026-02-26T17:00:00+00:00,16.0,0.999,1.0,33.545
2026-02-26T17:05:00+00:00,16.0,0.926,1.0,33.407
2026-02-26T17:10:00+00:00,16.0,1.0,1.0,33.547
2026-02-26T17:15:00+00:00,16.0,0.987,1.0,33.488
2026-02-26T17:20:00+00:00,16.0,0.906,1.0,33.4
2026-02-26T17:25:00+00:00,16.0,0.959,1.0,33.459
2026-02-26T17:30:00+00:00,16.0,0.971,1.0,33.471
2026-02-26T17:35:00+00:00,16.0,0.9,1.0,33.4
2026-02-26T17:40:00+00:00,16.0,0.924,1.0,33.424
2026-02-26T17:45:00+00:00,16.0,1.0,1.0,33.553
2026-02-26T17:50:00+00:00,16.0,0.973,1.0,33.569
2026-02-26T17:55:00+00:00,16.0,1.0,1.0,33.522
2026-02-26T18:00:00+00:00,16.0,1.0,1.0,33.589
2026-02-26T18:05:00+00:00,16.0,1.0,1.0,33.576
2026-02-26T18:10:00+00:00,16.0,1.0,1.0,33.525
2026-02-26T18:15:00+00:00,16.0,1.0,1.0,33.517
2026-02-26T18:20:00+00:00,16.0,0.974,1.0,33.474
2026-02-26T18:25:00+00:00,16.0,0.947,1.0,33.447
2026-02-26T18:30:00+00:00,16.0,0.994,1.0,33.494
