ValueDate,Amps,Volts
2026-02-26T00:05:00+00:00,283.386,11.243
2026-02-26T00:10:00+00:00,284.723,11.211
2026-02-26T00:15:00+00:00,287.103,11.198
2026-02-26T00:20:00+00:00,286.237,11.199
2026-02-26T00:25:00+00:00,285.276,11.209
2026-02-26T00:30:00+00:00,281.768,11.24
2026-02-26T00:35:00+00:00,290.071,11.185
2026-02-26T00:40:00+00:00,293.871,11.148
2026-02-26T00:45:00+00:00,296.11,11.148
2026-02-26T00:50:00+00:00,297.645,11.132
2026-02-26T00:55:00+00:00,299.315,11.127
2026-02-26T01:00:00+00:00,299.623,11.138
2026-02-26T01:05:00+00:00,299.97,11.157
2026-02-26T01:10:00+00:00,298.727,11.164
2026-02-26T01:15:00+00:00,293.032,11.174
2026-02-26T01:20:00+00:00,293.11,11.193
2026-02-26T01:25:00+00:00,293.966,11.207
2026-02-26T01:30:00+00:00,292.279,11.223
2026-02-26T01:35:00+00:00,289.797,11.229
2026-02-26T01:40:00+00:00,285.39,11.233
2026-02-26T01:45:00+00:00,282.637,11.234
2026-02-26T01:50:00+00:00,282.835,11.243
2026-02-26T01:55:00+00:00,280.536,11.254
2026-02-26T02:00:00+00:00,278.807,11.26
2026-02-26T02:05:00+00:00,286.313,11.236
2026-02-26T02:10:00+00:00,285.806,11.233
2026-02-26T02:15:00+00:00,281.694,11.233
2026-02-26T02:20:00+00:00,274.577,11.233
2026-02-26T02:25:00+00:00,273.251,11.249
2026-02-26T02:30:00+00:00,269.746,11.241
2026-02-26T02:35:00+00:00,271.66,11.25
2026-02-26T02:40:00+00:00,269.877,11.277
2026-02-26T02:45:00+00:00,269.38,11.283
2026-02-26T02:50:00+00:00,264.115,11.321
2026-02-26T02:55:00+00:00,257.221,11.316
2026-02-26T03:00:00+00:00,256.958,11.267
2026-02-26T03:05:00+00:00,257.675,11.259
2026-02-26T03:10:00+00:00,273.038,11.233
2026-02-26T03:15:00+00:00,268.835,11.233
2026-02-26T03:20:00+00:00,265.294,11.235
2026-02-26T03:25:00+00:00,267.495,11.253
2026-02-26T03:30:00+00:00,265.962,11.266
2026-02-26T03:35:00+00:00,261.469,11.279
2026-02-26T03:40:00+00:00,257.565,11.221
2026-02-26T03:45:00+00:00,260.305,11.216
2026-02-26T03:50:00+00:00,257.656,11.261
2026-02-26T03:55:00+00:00,260.19,11.257
2026-02-26T04:00:00+00:00,259.987,11.263
2026-02-26T04:05:00+00:00,261.358,11.18
2026-02-26T04:10:00+00:00,259.161,11.167
2026-02-26T04:15:00+00:00,263.972,11.167
2026-02-26T04:20:00+00:00,264.925,11.167
2026-02-26T04:25:00+00:00,264.01,11.167
2026-02-26T04:30:00+00:00,264.186,11.167
2026-02-26T04:35:00+00:00,264.088,11.177
2026-02-26T04:40:00+00:00,267.51,11.181
2026-02-26T04:45:00+00:00,270.07,11.176
2026-02-26T04:50:00+00:00,274.191,11.203
2026-02-26T04:55:00+00:00,276.908,11.207
2026-02-26T05:00:00+00:00,284.688,11.18
2026-02-26T05:05:00+00:00,289.549,11.131
2026-02-26T05:10:00+00:00,291.764,11.102
2026-02-26T05:15:00+00:00,281.596,11.129
2026-02-26T05:20:00+00:00,279.115,11.148
2026-02-26T05:25:00+00:00,282.077,11.087
2026-02-26T05:30:00+00:00,284.502,11.068
2026-02-26T05:35:00+00:00,284.802,11.071
2026-02-26T05:40:00+00:00,285.937,11.096
2026-02-26T05:45:00+00:00,289.138,11.091
2026-02-26T05:50:00+00:00,295.591,11.067
2026-02-26T05:55:00+00:00,306.081,11.067
2026-02-26T06:00:00+00:00,306.632,11.066
2026-02-26T06:05:00+00:00,315.006,10.982
2026-02-26T06:10:00+00:00,320.334,11.079
2026-02-26T06:15:00+00:00,325.039,11.194
2026-02-26T06:20:00+00:00,333.302,11.169
2026-02-26T06:25:00+00:00,345.175,11.124
2026-02-26T06:30:00+00:00,362.792,11.117
2026-02-26T06:35:00+00:00,365.264,11.08
2026-02-26T06:40:00+00:00,380.18,11.065
2026-02-26T06:45:00+00:00,392.415,11.12
2026-02-26T06:50:00+00:00,390.387,11.125
2026-02-26T06:55:00+00:00,400.682,11.096
2026-02-26T07:00:00+00:00,403.808,11.066
2026-02-26T07:05:00+00:00,407.848,11.044
2026-02-26T07:10:00+00:00,426.342,11.019
2026-02-26T07:15:00+00:00,417.824,11.004
2026-02-26T07:20:00+00:00,431.924,11.04
2026-02-26T07:25:00+00:00,437.701,11.025
2026-02-26T07:30:00+00:00,435.312,10.997
2026-02-26T07:35:00+00:00,438.523,11.004
2026-02-26T07:40:00+00:00,447.381,11.004
2026-02-26T07:45:00+00:00,453.771,11.007
2026-02-26T07:50:00+00:00,452.821,11.011
2026-02-26T07:55:00+00:00,457.904,11.003
2026-02-26T08:00:00+00:00,467.177,11.05
2026-02-26T08:05:00+00:00,465.087,11.094
2026-02-26T08:10:00+00:00,482.279,11.1
2026-02-26T08:15:00+00:00,486.641,11.14
