Date,Settlement Period,EBCA (£),EBVA (MWh),ESCA (£),ESVA (MWh),SBVA (MWh),SSVA (MWh),BPA (£/MWh),SPA (£/MWh)
01/04/2014,1,0,0,0,0,0,0,0,0
01/04/2014,2,0,0,0,0,0,0,0,0
01/04/2014,3,0,0,0,0,0,0,0,0
01/04/2014,4,0,0,0,0,0,0,0,0
01/04/2014,5,0,0,0,0,0,0,0,0
01/04/2014,6,0,0,0,0,0,0,0,0
01/04/2014,7,0,0,0,0,0,0,0,0
01/04/2014,8,0,0,0,0,0,0,0,0
01/04/2014,9,0,0,0,0,0,0,0,0
01/04/2014,10,0,0,0,0,0,0,0,0
01/04/2014,11,0,0,0,0,0,0,0,0
01/04/2014,12,0,0,0,0,0,0,0,0
01/04/2014,13,0,0,0,0,0,0,0,0
01/04/2014,14,0,0,0,0,0,0,0,0
01/04/2014,15,0,0,0,0,0,0,4.16,0
01/04/2014,16,0,0,0,0,0,0,8.17,0
01/04/2014,17,0,0,0,0,0,0,9.53,0
01/04/2014,18,0,0,0,0,0,0,8.91,0
01/04/2014,19,0,0,0,0,0,0,8.82,0
01/04/2014,20,0,0,0,0,0,0,7.31,0
01/04/2014,21,0,0,0,0,0,0,5.81,0
01/04/2014,22,0,0,0,0,0,0,4.87,0
01/04/2014,23,0,0,0,0,0,0,4.15,0
01/04/2014,24,0,0,0,0,0,0,2.39,0
01/04/2014,25,0,0,0,0,0,0,1.99,0
01/04/2014,26,0,0,0,0,0,0,0.54,0
01/04/2014,27,0,0,0,0,0,0,0,0
01/04/2014,28,0,0,0,0,0,0,0,0
01/04/2014,29,0,0,0,0,0,0,0,0
01/04/2014,30,0,0,0,0,0,0,0,0
01/04/2014,31,0,0,0,0,0,0,0,0
01/04/2014,32,0,0,0,0,0,0,0,0
01/04/2014,33,0,0,0,0,0,0,0,0
01/04/2014,34,0,0,0,0,0,0,0,0
01/04/2014,35,0,0,0,0,0,0,0,0
01/04/2014,36,0,0,0,0,0,0,0,0
01/04/2014,37,0,0,0,0,0,0,0,0
01/04/2014,38,0,0,0,0,0,0,0,0
01/04/2014,39,0,0,0,0,0,0,2.05,0
01/04/2014,40,0,0,0,0,0,0,3.53,0
01/04/2014,41,0,0,0,0,0,0,5.64,0
01/04/2014,42,0,0,0,0,0,0,8.55,0
01/04/2014,43,0,0,0,0,0,0,7.1,0
01/04/2014,44,0,0,0,0,0,0,2.6,0
01/04/2014,45,0,0,0,0,0,0,0,0
01/04/2014,46,0,0,0,0,0,0,0,0
01/04/2014,47,0,0,0,0,0,0,0,0
01/04/2014,48,0,0,0,0,0,0,0,0
02/04/2014,1,0,0,0,0,0,0,0,0
02/04/2014,2,0,0,0,0,0,0,0,0
02/04/2014,3,0,0,0,0,0,0,0,0
02/04/2014,4,0,0,0,0,0,0,0,0
02/04/2014,5,0,0,0,0,0,0,0,0
02/04/2014,6,0,0,0,0,0,0,0,0
02/04/2014,7,0,0,0,0,0,0,0,0
02/04/2014,8,0,0,0,0,0,0,0,0
02/04/2014,9,0,0,0,0,0,0,0,0
02/04/2014,10,0,0,0,0,0,0,0,0
02/04/2014,11,0,0,0,0,0,0,0,0
02/04/2014,12,0,0,0,0,0,0,0,0
02/04/2014,13,0,0,0,0,0,0,0,0
02/04/2014,14,0,0,0,0,0,0,0,0
02/04/2014,15,0,0,0,0,0,0,4.16,0
02/04/2014,16,0,0,0,0,0,0,8.17,0
02/04/2014,17,0,0,0,0,0,0,9.53,0
02/04/2014,18,0,0,0,0,0,0,8.91,0
02/04/2014,19,0,0,0,0,0,0,8.82,0
02/04/2014,20,0,0,0,0,0,0,7.31,0
02/04/2014,21,0,0,0,0,0,0,5.81,0
02/04/2014,22,0,0,0,0,0,0,4.87,0
02/04/2014,23,0,0,0,0,0,0,4.15,0
02/04/2014,24,0,0,0,0,0,0,2.39,0
02/04/2014,25,0,0,0,0,0,0,1.99,0
02/04/2014,26,0,0,0,0,0,0,0.54,0
02/04/2014,27,0,0,0,0,0,0,0,0
02/04/2014,28,0,0,0,0,0,0,0,0
02/04/2014,29,0,0,0,0,0,0,0,0
02/04/2014,30,0,0,0,0,0,0,0,0
02/04/2014,31,0,0,0,0,0,0,0,0
02/04/2014,32,0,0,0,0,0,0,0,0
02/04/2014,33,0,0,0,0,0,0,0,0
02/04/2014,34,0,0,0,0,0,0,0,0
02/04/2014,35,0,0,0,0,0,0,0,0
02/04/2014,36,0,0,0,0,0,0,0,0
02/04/2014,37,0,0,0,0,0,0,0,0
02/04/2014,38,0,0,0,0,0,0,0,0
02/04/2014,39,0,0,0,0,0,0,2.05,0
02/04/2014,40,0,0,0,0,0,0,3.53,0
02/04/2014,41,0,0,0,0,0,0,5.64,0
02/04/2014,42,0,0,0,0,0,0,8.55,0
02/04/2014,43,0,0,0,0,0,0,7.1,0
02/04/2014,44,0,0,0,0,0,0,2.6,0
02/04/2014,45,0,0,0,0,0,0,0,0
02/04/2014,46,0,0,0,0,0,0,0,0
02/04/2014,47,0,0,0,0,0,0,0,0
02/04/2014,48,0,0,0,0,0,0,0,0
03/04/2014,1,0,0,0,0,0,0,0,0
03/04/2014,2,0,0,0,0,0,0,0,0
03/04/2014,3,0,0,0,0,0,0,0,0
03/04/2014,4,0,0,0,0,0,0,0,0
03/04/2014,5,0,0,0,0,0,0,0,0
03/04/2014,6,0,0,0,0,0,0,0,0
03/04/2014,7,0,0,0,0,0,0,0,0
03/04/2014,8,0,0,0,0,0,0,0,0
03/04/2014,9,0,0,0,0,0,0,0,0
03/04/2014,10,0,0,0,0,0,0,0,0
03/04/2014,11,0,0,0,0,0,0,0,0
03/04/2014,12,0,0,0,0,0,0,0,0
03/04/2014,13,0,0,0,0,0,0,0,0
03/04/2014,14,0,0,0,0,0,0,0,0
03/04/2014,15,0,0,0,0,0,0,4.08,0
03/04/2014,16,0,0,0,0,0,0,8.01,0
03/04/2014,17,0,0,0,0,0,0,9.35,0
03/04/2014,18,0,0,0,0,0,0,8.74,0
03/04/2014,19,0,0,0,0,0,0,8.65,0
03/04/2014,20,0,0,0,0,0,0,7.17,0
03/04/2014,21,0,0,0,0,0,0,5.7,0
03/04/2014,22,0,0,0,0,0,0,4.78,0
03/04/2014,23,0,0,0,0,0,0,4.07,0
03/04/2014,24,0,0,0,0,0,0,2.35,0
03/04/2014,25,0,0,0,0,0,0,1.95,0
03/04/2014,26,0,0,0,0,0,0,0.53,0
03/04/2014,27,0,0,0,0,0,0,0,0
03/04/2014,28,0,0,0,0,0,0,0,0
03/04/2014,29,0,0,0,0,0,0,0,0
03/04/2014,30,0,0,0,0,0,0,0,0
03/04/2014,31,0,0,0,0,0,0,0,0
03/04/2014,32,0,0,0,0,0,0,0,0
03/04/2014,33,0,0,0,0,0,0,0,0
03/04/2014,34,0,0,0,0,0,0,0,0
03/04/2014,35,0,0,0,0,0,0,0,0
03/04/2014,36,0,0,0,0,0,0,0,0
03/04/2014,37,0,0,0,0,0,0,0,0
03/04/2014,38,0,0,0,0,0,0,0,0
03/04/2014,39,0,0,0,0,0,0,2.02,0
03/04/2014,40,0,0,0,0,0,0,3.46,0
03/04/2014,41,0,0,0,0,0,0,5.54,0
03/04/2014,42,0,0,0,0,0,0,8.39,0
03/04/2014,43,0,0,0,0,0,0,6.97,0
03/04/2014,44,0,0,0,0,0,0,2.55,0
03/04/2014,45,0,0,0,0,0,0,0,0
03/04/2014,46,0,0,0,0,0,0,0,0
03/04/2014,47,0,0,0,0,0,0,0,0
03/04/2014,48,0,0,0,0,0,0,0,0
04/04/2014,1,0,0,0,0,0,0,0,0
04/04/2014,2,0,0,0,0,0,0,0,0
04/04/2014,3,0,0,0,0,0,0,0,0
04/04/2014,4,0,0,0,0,0,0,0,0
04/04/2014,5,0,0,0,0,0,0,0,0
04/04/2014,6,0,0,0,0,0,0,0,0
04/04/2014,7,0,0,0,0,0,0,0,0
04/04/2014,8,0,0,0,0,0,0,0,0
04/04/2014,9,0,0,0,0,0,0,0,0
04/04/2014,10,0,0,0,0,0,0,0,0
04/04/2014,11,0,0,0,0,0,0,0,0
04/04/2014,12,0,0,0,0,0,0,0,0
04/04/2014,13,0,0,0,0,0,0,0,0
04/04/2014,14,0,0,0,0,0,0,0,0
04/04/2014,15,0,0,0,0,0,0,4.12,0
04/04/2014,16,0,0,0,0,0,0,8.1,0
04/04/2014,17,0,0,0,0,0,0,9.46,0
04/04/2014,18,0,0,0,0,0,0,8.84,0
04/04/2014,19,0,0,0,0,0,0,8.75,0
04/04/2014,20,0,0,0,0,0,0,7.25,0
04/04/2014,21,0,0,0,0,0,0,5.76,0
04/04/2014,22,0,0,0,0,0,0,4.83,0
04/04/2014,23,0,0,0,0,0,0,4.12,0
04/04/2014,24,0,0,0,0,0,0,2.37,0
04/04/2014,25,0,0,0,0,0,0,1.98,0
04/04/2014,26,0,0,0,0,0,0,0.54,0
04/04/2014,27,0,0,0,0,0,0,0,0
04/04/2014,28,0,0,0,0,0,0,0,0
04/04/2014,29,0,0,0,0,0,0,0,0
04/04/2014,30,0,0,0,0,0,0,0,0
04/04/2014,31,0,0,0,0,0,0,0,0
04/04/2014,32,0,0,0,0,0,0,0,0
04/04/2014,33,0,0,0,0,0,0,0,0
04/04/2014,34,0,0,0,0,0,0,0,0
04/04/2014,35,0,0,0,0,0,0,0,0
04/04/2014,36,0,0,0,0,0,0,0,0
04/04/2014,37,0,0,0,0,0,0,0,0
04/04/2014,38,0,0,0,0,0,0,0,0
04/04/2014,39,0,0,0,0,0,0,2.04,0
04/04/2014,40,0,0,0,0,0,0,3.5,0
04/04/2014,41,0,0,0,0,0,0,5.6,0
04/04/2014,42,0,0,0,0,0,0,8.49,0
04/04/2014,43,0,0,0,0,0,0,7.05,0
04/04/2014,44,0,0,0,0,0,0,2.58,0
04/04/2014,45,0,0,0,0,0,0,0,0
04/04/2014,46,0,0,0,0,0,0,0,0
04/04/2014,47,0,0,0,0,0,0,0,0
04/04/2014,48,0,0,0,0,0,0,0,0
05/04/2014,1,0,0,0,0,0,0,0,0
05/04/2014,2,0,0,0,0,0,0,0,0
05/04/2014,3,0,0,0,0,0,0,0,0
