Geo Point,Geo Shape,Voltage,DNO,Class,local_authority
"52.598713268595404, -0.26799182288785994","{""coordinates"": [[-0.268063710715495, 52.59869283564945], [-0.267919935060225, 52.598733701541356]], ""type"": ""LineString""}",132kV,EPN,EHV 132kV Overhead Line,Peterborough
"51.73063693647759, -0.15138384435998062","{""coordinates"": [[-0.120522534108203, 51.7229013812932], [-0.123313803264428, 51.72291346870879], [-0.126365802290507, 51.723879573335395], [-0.129108766090055, 51.724747754882294], [-0.132396343044518, 51.72578821023403], [-0.136036686323161, 51.72694015544074], [-0.138799734578331, 51.72781437794874], [-0.141193840732387, 51.72901306680829], [-0.14342984499871, 51.73013248991687], [-0.145681759071122, 51.731259771768975], [-0.149414797574583, 51.731710964037916], [-0.152942638373188, 51.73213724967574], [-0.155449432162536, 51.73244008780886], [-0.15894097484489, 51.73286179115658], [-0.163086732899417, 51.733362363680854], [-0.166063574845715, 51.733721708231556], [-0.169170249426766, 51.734096642486364], [-0.171867205586589, 51.734422050631714], [-0.175178096260887, 51.73527410464167], [-0.178971382366122, 51.73625014089816], [-0.182642771744558, 51.73719466104248]], ""type"": ""LineString""}",132kV,EPN,EHV 132kV Overhead Line,Hertfordshire
"51.74144039116905, 0.6623886897715708","{""coordinates"": [[0.691202465300826, 51.75545403691553], [0.687334666227242, 51.75411431514198], [0.683376094035446, 51.75276182790067], [0.679444711387646, 51.75141143005844], [0.675278653507704, 51.74998085172412], [0.671582964067683, 51.748705379305875], [0.667791691211565, 51.747402112920874], [0.664744984934218, 51.7463553177506], [0.660791936284493, 51.74498457695147], [0.658491093230322, 51.74257692430472], [0.656193162086539, 51.7402068948965], [0.653748206098043, 51.73765774818484], [0.651494939496841, 51.735300248665844], [0.649230662754799, 51.73294810935578], [0.647019896715905, 51.730630222270946], [0.644675481557753, 51.72819144588748], [0.64239126293624, 51.725794574429955], [0.640051124748816, 51.723371190896145], [0.637721467098061, 51.720940124134174]], ""type"": ""LineString""}",132kV,EPN,EHV 132kV Overhead Line,Essex
"51.84428336391008, -0.4203531160278593","{""coordinates"": [[-0.420473682725422, 51.84533886422314], [-0.420232549330296, 51.84322786359702]], ""type"": ""LineString""}",132kV,EPN,EHV 132kV Overhead Line,Hertfordshire
"51.83967299459174, -0.4197367393273521","{""coordinates"": [[-0.419952850033739, 51.84083670465585], [-0.419520628620965, 51.838509284527625]], ""type"": ""LineString""}",132kV,EPN,EHV 132kV Overhead Line,Hertfordshire
"51.83967720280319, -0.4196645068118036","{""coordinates"": [[-0.419448538692076, 51.83851444765096], [-0.419880474931531, 51.840839957955424]], ""type"": ""LineString""}",132kV,EPN,EHV 132kV Overhead Line,Hertfordshire
"51.842035519511505, -0.420020323250646","{""coordinates"": [[-0.419880474931531, 51.840839957955424], [-0.420160171569761, 51.843231081067586]], ""type"": ""LineString""}",132kV,EPN,EHV 132kV Overhead Line,Hertfordshire
"51.84950835732745, -0.420885710250991","{""coordinates"": [[-0.420725462808188, 51.84811850497691], [-0.421045957693793, 51.850898209678]], ""type"": ""LineString""}",132kV,EPN,EHV 132kV Overhead Line,"Central Bedfordshire, Hertfordshire"
"51.72218543581184, -0.5901414688628309","{""coordinates"": [[-0.59006203737141, 51.72209380295858], [-0.590220900354252, 51.7222770686651]], ""type"": ""LineString""}",132kV,EPN,EHV 132kV Overhead Line,Buckinghamshire
"51.4584831530986, 0.2230305254955211","{""coordinates"": [[0.216644577500124, 51.45522875296427], [0.218287217011861, 51.45722896510519], [0.218912994164535, 51.458784323182186], [0.223742630046425, 51.45898662071692], [0.228137962765485, 51.45916786762884], [0.230810595831925, 51.45934798676513]], ""type"": ""LineString""}",132kV,LPN,EHV 132kV Overhead Line,Kent
