Year,DNO,Import Unique Identifier,LLFC,Import MPANs/MSIDs,Export Unique Identifier,LLFC,Export MPANs/MSIDs,Name,Residual Charging Band,Import Super Red unit charge (p/kWh),Import fixed charge (p/day),Import capacity charge (p/kVA/day),Import exceeded capacity charge (p/kVA/day),Export Super Red unit charge (p/kWh),Export fixed charge (p/day),Export capacity charge (p/kVA/day),Export exceeded capacity charge (p/kVA/day),Strike
2024/25,East of England Electricity Network,VXHALL,,1014571158953;1014571159186;1014571159414,,,,VXHALL,3.0,0.247,56333.21,3.69,3.69,,,,,
2024/25,East of England Electricity Network,WILLIA,,1030027859903,,,,WILLIA,1.0,0.959,5507.29,2.93,2.93,,,,,True
2024/25,East of England Electricity Network,ABSRSF,744,1050000574685,ABSRSF,744,1050000574694,ABSRSF,,3.213,30.71,3.72,3.72,,6141.83,0.05,0.05,
2024/25,East of England Electricity Network,ASTONC,780,1050000834246,ASTONC,780,1050000834255,ASTONC,,2.693,4.33,2.97,2.97,,865.72,0.05,0.05,
2024/25,East of England Electricity Network,AVENUE,781,1050000774970,AVENUE,781,1050000774980,AVENUE,,,24.72,2.34,2.34,,1606.67,0.05,0.05,
2024/25,East of England Electricity Network,BAYFMS,745,1050000579318,BAYFMS,745,1050000579327,BAYFMS,1.0,,3580.69,6.7,6.7,,4482.7,0.05,0.05,True
2024/25,East of England Electricity Network,BMPFM2,407,1050001658120,BMPFM2,407,1050001658148,BMPFM2,,1.453,301.97,1.44,1.44,,785.11,0.05,0.05,
2024/25,East of England Electricity Network,BRCHGP,457,1050000961956,BRCHGP,457,1050000961965,BRCHGP,,1.256,59.65,5.24,5.24,,3668.6,0.05,0.05,
2024/25,East of England Electricity Network,BREFC1,409,1050002055530,BREFC1,409,1050002055549,BREFC1,,,137.08,2.5,2.5,-1.478,164.42,0.05,0.05,
2024/25,East of England Electricity Network,BROXSF,747,1050000521610,BROXSF,747,1030085039971,BROXSF,,8.863,19.5,8.9,8.9,,4485.38,0.05,0.05,
2024/25,East of England Electricity Network,BRTHS2,785,1050000782944,BRTHS2,785,1050000773842,BRTHS2,,0.248,2.14,2.68,2.68,,427.24,0.05,0.05,
2024/25,East of England Electricity Network,BS_BUR,700,1023485782314;1050000914910,BS_BUR,700,1023485782546;1050000914900,BS_BUR,2.0,2.61,19704.91,1.44,1.44,-2.61,1130.26,0.05,0.05,
2024/25,East of England Electricity Network,CANTSF,749,1030082355419,CANTSF,749,1030081926920,CANTSF,,,38.97,2.47,2.47,,1948.35,0.05,0.05,
2024/25,East of England Electricity Network,CAVDRD,773,1050001791569,CAVDRD,773,1050001791578,CAVDRD,1.0,1.103,3576.57,1.44,1.44,-1.103,1310.02,0.05,0.05,True
2024/25,East of England Electricity Network,CLDECT,656,1050000714173,CLDECT,656,1050000714182,CLDECT,,,19.58,3.16,3.16,,4306.99,0.05,0.05,
2024/25,East of England Electricity Network,COLDHA,715,1030017556367;1050003019620,COLDHA,715,1030017556135;1050003019630,COLDHA,1.0,0.062,3612.39,1.55,1.55,,,,,
2024/25,East of England Electricity Network,DBLANE,752,1050000612950,DBLANE,752,1050000612940,DBLANE,,,12.9,7.3,7.3,,2321.67,0.05,0.05,
2024/25,East of England Electricity Network,DRAYTN,658,1050001047272,DRAYTN,658,1050001047263,DRAYTN,,2.693,19.61,2.29,2.29,,882.55,0.05,0.05,
2024/25,East of England Electricity Network,ELSAGE,659,1050000923668,ELSAGE,659,1050000923677,ELSAGE,,,26.6,8.56,8.56,,1596.11,0.05,0.05,
2024/25,East of England Electricity Network,EPRSUT,705,1023494988750,EPRSUT,705,1023503165023,EPRSUT,,2.359,425.84,1.46,1.46,-2.273,3236.38,0.05,0.05,
2024/25,East of England Electricity Network,EUSTSF,756,1050000628160,EUSTSF,756,1050000628170,EUSTSF,1.0,0.728,3609.36,2.68,2.68,,2032.84,0.05,0.05,True
2024/25,East of England Electricity Network,EYEWFM,757,1030085019966,EYEWFM,757,1030085020190,EYEWFM,,1.616,15.34,1.52,1.52,,1043.42,0.05,0.05,
2024/25,East of England Electricity Network,FENLND,789,1050000774163,FENLND,789,1050000774172,FENLND,1.0,2.595,3586.83,2.09,2.09,,6217.67,0.05,0.05,True
2024/25,East of England Electricity Network,FLYFRM,790,1050000822463,FLYFRM,790,1050000822472,FLYFRM,1.0,2.711,3537.24,2.61,2.61,,1887.92,0.05,0.05,
2024/25,East of England Electricity Network,FWINDS,766,1050000709721,FWINDS,766,1050000709730,FWINDS,,,13.61,2.88,2.88,,1361.34,0.05,0.05,
2024/25,East of England Electricity Network,GLASM2,738,1030083962424,GLASM2,738,1030083962656,GLASM2,,,74.17,4.87,4.87,,3649.39,0.05,0.05,
2024/25,East of England Electricity Network,GOOSFM,442,1050001727953,GOOSFM,442,1050001727962,GOOSFM,,,20.35,2.22,2.22,,3561.37,0.05,0.05,
2024/25,East of England Electricity Network,GREYSH,443,1050001391466,GREYSH,443,1050001391475,GREYSH,,11.856,181.41,1.57,1.57,-11.547,3537.48,0.05,0.05,
2024/25,East of England Electricity Network,GRTYAR,,MSID: 7111,GRTYAR,,MSID: 7111,GRTYAR,3.0,,48391.78,1.46,1.46,,,,,True
2024/25,East of England Electricity Network,GUNFL3,,MSID: 7277,GUNFL3,,MSID: 7277,GUNFL3,1.0,1.085,3629.35,1.46,1.46,,337.01,0.05,0.05,
2024/25,East of England Electricity Network,GUNFLT,,MSID: 7243,GUNFLT,,MSID: 7243,GUNFLT,3.0,,48371.11,1.72,1.72,,,,,
2024/25,East of England Electricity Network,HDATTP,444,1050001197873,HDATTP,444,1050001197864,HDATTP,,,308.74,2.37,2.37,-0.489,1543.68,0.05,0.05,
2024/25,East of England Electricity Network,HGHFLD,759,1050000563150,HGHFLD,759,1050000563169,HGHFLD,,2.534,10.67,7.02,7.02,,3365.64,0.05,0.05,
2024/25,East of England Electricity Network,HHFARM,687,1050001231451,HHFARM,687,1050001231460,HHFARM,,1.218,15.79,2.23,2.23,,947.15,0.05,0.05,
2024/25,East of England Electricity Network,HOLTON,662,1050000769118,HOLTON,662,1050000769127,HOLTON,,6.207,18.94,2.02,2.02,,757.69,0.05,0.05,
2024/25,East of England Electricity Network,HONYSM,663,1050001036670,HONYSM,663,1050001036689,HONYSM,,0.147,18.88,1.62,1.62,,944.05,0.05,0.05,
2024/25,East of England Electricity Network,HRMT_B,445,1050001324390,HRMT_B,445,1050001324405,HRMT_B,,,247.24,1.72,1.72,-0.352,247.24,0.05,0.05,
2024/25,East of England Electricity Network,HRMT_P,686,1050001324414,HRMT_P,686,1050001324423,HRMT_P,,,9.7,1.91,1.91,,484.79,0.05,0.05,
2024/25,East of England Electricity Network,HYDESF,450,1050000759713,HYDESF,450,1050000759722,HYDESF,,0.834,19.93,2.83,2.83,,1793.76,0.05,0.05,
2024/25,East of England Electricity Network,JKSLNE,451,1050000556055,JKSLNE,451,1050000556046,JKSLNE,,0.365,44.21,1.6,1.6,,6630.98,0.05,0.05,
2024/25,East of England Electricity Network,KNGSLN,,MSID: 7044,KNGSLN,,MSID: 7044,KNGSLN,,,43.42,1.56,1.56,-0.174,1007.52,0.05,0.05,
2024/25,East of England Electricity Network,LDAHSF,468,1030083806024,LDAHSF,468,1030083805795,LDAHSF,,0.048,9.74,2.68,2.68,,927.15,0.05,0.05,
2024/25,East of England Electricity Network,LIMKLN,412,1050002012030,LIMKLN,412,1050002012049,LIMKLN,,,15.15,2.35,2.35,,1446.61,0.05,0.05,
2024/25,East of England Electricity Network,LNGHOE,454,1050000774109,LNGHOE,454,1050000774118,LNGHOE,1.0,4.573,3581.59,2.44,2.44,,1669.95,0.05,0.05,True
2024/25,East of England Electricity Network,LONWST,704,1023497360519,LONWST,704,1023479109093,LONWST,1.0,,3795.36,1.52,1.52,-0.285,4060.55,0.05,0.05,
2024/25,East of England Electricity Network,LWRNCE,667,1050001008645,LWRNCE,667,1050001008636,LWRNCE,,,29.99,3.13,3.13,,2999.08,0.05,0.05,
2024/25,East of England Electricity Network,MDWFRM,765,1050000589956,MDWFRM,765,1050000579266,MDWFRM,,0.053,5.97,2.16,2.16,,597.03,0.05,0.05,
2024/25,East of England Electricity Network,MILLFM,691,1050001261465,MILLFM,691,1050001261429,MILLFM,,,22.14,6.25,6.25,,1771.58,0.05,0.05,
2024/25,East of England Electricity Network,MLLFLD,669,1050001060050,MLLFLD,669,1050001060060,MLLFLD,,,4.14,10.63,10.63,,1032.93,0.05,0.05,
2024/25,East of England Electricity Network,NVASCT,764,1050000588206,NVASCT,764,1050000588215,NVASCT,,1.739,46.87,1.58,1.58,,855.3,0.05,0.05,
2024/25,East of England Electricity Network,OLDAIR,457,1050000890756,OLDAIR,457,1050000890765,OLDAIR,1.0,1.343,3546.49,5.19,5.19,,407.55,0.05,0.05,True
2024/25,East of England Electricity Network,OULTON,671,1050001028544,OULTON,671,1050001028553,OULTON,,,3.83,2.36,2.36,,425.55,0.05,0.05,
2024/25,East of England Electricity Network,OUTWD2,739,1050002380321,OUTWD2,739,1050002380330,OUTWD2,,2.974,10.6,2.41,2.41,,848.16,0.05,0.05,
2024/25,East of England Electricity Network,PARKFM,414,1050001523760,PARKFM,414,1050002018468,PARKFM,2.0,1.553,19885.21,1.54,1.54,-1.483,91.2,0.05,0.05,
2024/25,East of England Electricity Network,PLYTRS,693,1050000903165,PLYTRS,693,1050000903174,PLYTRS,,5.137,38.54,4.26,4.26,,3853.97,0.05,0.05,
2024/25,East of England Electricity Network,QRRNDN,458,1050000768550,QRRNDN,458,1050000768693,QRRNDN,,,57.11,6.16,6.16,,1713.18,0.05,0.05,
2024/25,East of England Electricity Network,RAINHM,703,1023487352751;1023487353212,RAINHM,703,1023487353444;1023525149808,RAINHM,1.0,0.298,3563.35,2.03,2.03,,,,,
2024/25,East of England Electricity Network,RANSON,714,1030034117745,RANSON,714,1030034117513,RANSON,,0.249,4.17,1.6,1.6,,,,,
2024/25,East of England Electricity Network,REDTI1,708,1030037258165;1030037720697,REDTI1,708,1030037258397;1030037258625,REDTI1,,8.581,258.2,2.04,2.04,,13453.99,0.05,0.05,
