Geo Point,Geo Shape,PROJ_REF,PERMIT_REF,WORK_STREAM,OP_ZONE,ACTUAL_START_DATE,HIGHWAY_AUTHORITY,LOCATION,WORKS_DESCRIPTION,PERMIT_STATUS,DNO,DATAREFRESHDATE,EST_END_DATE,DATAREFRESHTIME,what3words
"51.36199648809318, -0.10051827857685619","{""coordinates"": [[-0.102147177265366, 51.36285436396587], [-0.101927990269213, 51.36221582692098], [-0.101830604839383, 51.36204936629011], [-0.101547663503133, 51.36180006407059], [-0.101273330775329, 51.36171747428953], [-0.100851372979447, 51.36168161843503], [-0.100621966152618, 51.3616730053401], [-0.100341408532926, 51.36175253692466], [-0.099839508586923, 51.361916062298526], [-0.098960300848425, 51.36208064953659], [-0.098406040204084, 51.36216557912066]], ""type"": ""LineString""}",000260009958,KZ50022809002-03,Connections (Major conn.),Croydon,2026-02-02,CROYDON,"NOTTINGHAM ROAD, CROYDON",New Service Connection,granted,SPN,18/02/2026 18:55:03,2026-03-24,18:55:03,jukebox.hoot.rings
"51.48529463193785, -0.05698826787683001","{""coordinates"": [[-0.057134081590691, 51.48530537539788], [-0.056842454162969, 51.485283888477824]], ""type"": ""LineString""}",000260007567,EC40023648393-02,Capital Programmes,South London,2026-01-06,LONDON BOROUGH OF SOUTHWARK,"VARCOE ROAD, LONDON",Statutory Infrastructure Works,granted,LPN,18/02/2026 18:55:03,2026-03-25,18:55:03,wage.agreed.vest
"51.35438132008754, -0.07062904096121422","{""coordinates"": [[-0.073918856851484, 51.356525999561846], [-0.073318889392723, 51.35621387627632], [-0.072720901453331, 51.355842558975326], [-0.071880076054763, 51.35519813285869], [-0.070957906110089, 51.354398547929826], [-0.070377863701272, 51.35387476901578], [-0.07029041138092, 51.35387203508399], [-0.070209261011819, 51.353749433348405], [-0.070060729533279, 51.3538016034479], [-0.068311713321533, 51.35302631878556], [-0.067271630720782, 51.352610236223434], [-0.067339579732757, 51.35252128409306]], ""type"": ""LineString""}",000260009957,KZ50070630743-02,Connections (Major conn.),Croydon,2026-01-06,CROYDON,"CROHAM VALLEY ROAD, CROYDON",New Service Connection,granted,SPN,18/02/2026 18:55:03,2026-04-02,18:55:03,waving.groups.arts
"51.27846032007106, -0.4997272996786674","{""coordinates"": [[-0.491782738936362, 51.277614392918515], [-0.491956605480488, 51.27766757628922], [-0.495456240349452, 51.2778998660072], [-0.496790667299883, 51.27798280214199], [-0.497160989178572, 51.278024885741715], [-0.497854632922641, 51.27836831811497], [-0.498245286490476, 51.27845220053659], [-0.500928383047488, 51.27852171449346], [-0.50301924807221, 51.278935264034224], [-0.505924605732774, 51.27912905286705], [-0.506949120304666, 51.27925576135816], [-0.507235814549676, 51.27923174880595], [-0.507537204699539, 51.2791435152194], [-0.507670224437819, 51.27910074338493]], ""type"": ""LineString""}",000150083863,KZ50056853582-02,Connections Projects,West Sussex,2026-01-12,SURREY COUNTY COUNCIL,"TITHEBARNS LANE, WEST CLANDON",New Service Connection,granted,SPN,18/02/2026 18:55:03,2026-04-10,18:55:03,aims.tonic.pram
"51.5007953981107, -0.04669013950657425","{""coordinates"": [[-0.046868511387581, 51.50060117171165], [-0.046625832944977, 51.5008352398709], [-0.046558917482027, 51.50102019954187]], ""type"": ""LineString""}",000260007567,EC40015306320-02,Capital Programmes,South London,2026-02-09,LONDON BOROUGH OF SOUTHWARK,"NEEDLEMAN STREET, LONDON",Statutory Infrastructure Works,granted,LPN,18/02/2026 18:55:03,2026-04-17,18:55:03,agents.bronze.events
"51.493620965549496, -0.0576199404592145","{""coordinates"": [[-0.057689676920835, 51.493400704472776], [-0.057550203997594, 51.493841226626216]], ""type"": ""LineString""}",000260007567,EC40065933993-02,Capital Programmes,South London,2026-01-26,LONDON BOROUGH OF SOUTHWARK,"SOUTHWARK PARK ROAD, LONDON",Statutory Infrastructure Works,granted,LPN,18/02/2026 18:55:03,2026-04-20,18:55:03,surely.chef.fats
"51.513094644585145, -0.151118506191406","{""coordinates"": [[-0.151223276101929, 51.51307488690955], [-0.151013736280883, 51.51311440226074]], ""type"": ""LineString""}",000260012041,EC40046956768-02,Capital Programmes,Central London,2026-01-07,CITY OF WESTMINSTER,"BROWN HART GARDENS, WEST END, LONDON",Statutory Infrastructure Works,granted,LPN,18/02/2026 18:55:03,2026-05-01,18:55:03,bliss.tides.clips
"51.515745472384765, -0.10513534601826387","{""coordinates"": [[[-0.105305239983661, 51.51575993784718], [-0.105305078225132, 51.51573767563023], [-0.105325206524094, 51.515779670361056], [-0.104980506169959, 51.51581032843909], [-0.104955982483668, 51.5157089791039], [-0.105288806611943, 51.515680828267755], [-0.105305239983661, 51.51575993784718]]], ""type"": ""Polygon""}",000250000491,EC40067220190-02,Connections Projects,Central London,2026-01-21,CITY OF LONDON,"STONECUTTER STREET, LONDON",Utility Asset Works,granted,LPN,18/02/2026 18:55:03,2026-02-24,18:55:03,wallet.armed.sailor
"52.23729795877839, 0.9087390538570694","{""coordinates"": [[[0.907518547841954, 52.23742348911586], [0.907946989550573, 52.23737338163542], [0.908223760766549, 52.23732417758072], [0.908678518833508, 52.23730561260032], [0.908904786225634, 52.23732803815128], [0.909137131260132, 52.23732665039354], [0.909785038117464, 52.237277206361405], [0.909777547067643, 52.237211865603825], [0.90926154016399, 52.23723476357065], [0.90876483222914, 52.23725358135727], [0.908574375717072, 52.23725075556002], [0.907475719161927, 52.237368265730524], [0.907518547841954, 52.23742348911586]]], ""type"": ""Polygon""}",000150096302,EC30013804168-03,Connections Projects,Bury/Ipswich,2026-02-14,SUFFOLK COUNTY COUNCIL,"SCHOOL ROAD, ELMSWELL",New Service Connection,granted,EPN,18/02/2026 18:55:03,2026-02-27,18:55:03,wallet.opened.swells
"51.65175199904818, -0.05671002057747772","{""coordinates"": [[[-0.056745033705659, 51.65186598659105], [-0.056668821470232, 51.65184989243162], [-0.056669928350989, 51.651642750028145], [-0.05675564519873, 51.65165734207967], [-0.056745033705659, 51.65186598659105]]], ""type"": ""Polygon""}",000260011222,EC30052656559-02,Connections (Major conn.),Lea Valley,2025-10-24,LONDON BOROUGH OF ENFIELD,"BAIRD ROAD, ENFIELD",New Service Connection,granted,EPN,18/02/2026 18:55:03,2026-03-31,18:55:03,above.cried.goal
