Date,Settlement Period,BCA (£),BSA (MWh),BVA (MWh),SCA (£),SSA (MWh),SVA (MWh)
01/04/2019,1,0,422.5,0,0,422.5,0
01/04/2019,2,0,422.5,0,0,422.5,0
01/04/2019,3,0,507.5,0,0,507.5,0
01/04/2019,4,0,507.5,0,0,507.5,0
01/04/2019,5,0,462.5,0,0,462.5,0
01/04/2019,6,0,462.5,0,0,462.5,0
01/04/2019,7,0,462.5,0,0,462.5,0
01/04/2019,8,0,462.5,0,0,462.5,0
01/04/2019,9,0,327.5,0,0,327.5,0
01/04/2019,10,0,327.5,0,0,327.5,0
01/04/2019,11,0,222.5,0,0,222.5,0
01/04/2019,12,0,222.5,0,0,222.5,0
01/04/2019,13,0,177.5,0,0,177.5,0
01/04/2019,14,0,177.5,0,0,177.5,0
01/04/2019,15,0,0,0,0,0,0
01/04/2019,16,0,0,0,0,0,0
01/04/2019,17,0,0,0,0,0,0
01/04/2019,18,0,0,0,0,0,0
01/04/2019,19,0,0,0,0,0,0
01/04/2019,20,0,0,0,0,0,0
01/04/2019,21,0,0,0,0,0,0
01/04/2019,22,0,0,0,0,0,0
01/04/2019,23,0,0,0,0,0,0
01/04/2019,24,0,0,0,0,0,0
01/04/2019,25,0,0,0,0,0,0
01/04/2019,26,0,0,0,0,0,0
01/04/2019,27,0,0,0,0,0,0
01/04/2019,28,0,0,0,0,0,0
01/04/2019,29,0,0,0,0,0,0
01/04/2019,30,0,0,0,0,0,0
01/04/2019,31,0,0,0,0,0,0
01/04/2019,32,0,0,0,0,0,0
01/04/2019,33,0,0,0,0,0,0
01/04/2019,34,0,0,0,0,0,0
01/04/2019,35,0,0,0,0,0,0
01/04/2019,36,0,0,0,0,0,0
01/04/2019,37,0,0,0,0,0,0
01/04/2019,38,0,0,0,0,0,0
01/04/2019,39,0,0,0,0,0,0
01/04/2019,40,0,0,0,0,0,0
01/04/2019,41,0,0,0,0,0,0
01/04/2019,42,0,0,0,0,0,0
01/04/2019,43,0,0,0,0,197.66,0
01/04/2019,44,0,0,0,0,194.572,0
01/04/2019,45,0,0,0,0,0,0
01/04/2019,46,0,138,0,0,138,0
01/04/2019,47,1275,163,50,1275,163,50
01/04/2019,48,1275,163,50,1275,163,50
02/04/2019,1,1205,193,50,1205,193,50
02/04/2019,2,1205,193,50,1205,193,50
02/04/2019,3,1165,193,50,1165,193,50
02/04/2019,4,1165,193,50,1165,193,50
02/04/2019,5,1090,193,50,1090,193,50
02/04/2019,6,1090,193,50,1090,193,50
02/04/2019,7,1170,193,50,1170,193,50
02/04/2019,8,1170,193,50,1170,193,50
02/04/2019,9,1295,193,50,1295,193,50
02/04/2019,10,1295,193,50,1295,193,50
02/04/2019,11,0,138,0,0,138,0
02/04/2019,12,0,0,0,0,0,0
02/04/2019,13,0,0,0,0,0,0
02/04/2019,14,0,0,0,0,0,0
02/04/2019,15,0,0,0,0,0,0
02/04/2019,16,0,0,0,0,0,0
02/04/2019,17,0,0,0,0,0,0
02/04/2019,18,0,0,0,0,0,0
02/04/2019,19,0,0,0,0,0,0
02/04/2019,20,0,0,0,0,0,0
02/04/2019,21,0,0,0,0,0,0
02/04/2019,22,0,0,0,0,0,0
02/04/2019,23,0,0,0,0,0,0
02/04/2019,24,0,0,0,0,0,0
02/04/2019,25,0,0,0,0,0,0
02/04/2019,26,0,0,0,0,0,0
02/04/2019,27,0,0,0,0,0,0
02/04/2019,28,0,0,0,0,0,0
02/04/2019,29,0,0,0,0,0,0
02/04/2019,30,0,0,0,0,0,0
02/04/2019,31,0,0,0,0,0,0
02/04/2019,32,0,0,0,0,0,0
02/04/2019,33,0,0,0,0,0,0
02/04/2019,34,0,0,0,0,0,0
02/04/2019,35,0,0,0,0,0,0
02/04/2019,36,0,0,0,0,0,0
02/04/2019,37,0,0,0,0,0,0
02/04/2019,38,0,0,0,0,0,0
02/04/2019,39,0,0,0,0,0,0
02/04/2019,40,0,0,0,0,0,0
02/04/2019,41,0,0,0,0,0,0
02/04/2019,42,0,0,0,0,0,0
02/04/2019,43,0,0,0,0,0,0
02/04/2019,44,0,0,0,0,0,0
02/04/2019,45,0,0,0,0,0,0
02/04/2019,46,0,0,0,0,0,0
02/04/2019,47,0,147,0,0,147,0
02/04/2019,48,0,147,0,0,147,0
03/04/2019,1,0,277,0,0,277,0
03/04/2019,2,0,277,0,0,277,0
03/04/2019,3,0,277,0,0,277,0
03/04/2019,4,0,277,0,0,277,0
03/04/2019,5,0,277,0,0,277,0
03/04/2019,6,0,277,0,0,277,0
03/04/2019,7,0,277,0,0,277,0
03/04/2019,8,0,277,0,0,277,0
03/04/2019,9,0,197,0,0,197,0
03/04/2019,10,0,197,0,0,197,0
03/04/2019,11,0,147,0,0,147,0
03/04/2019,12,0,147,0,0,147,0
