Date,Settlement Period,BCA (£),BSA (MWh),BVA (MWh),SCA (£),SSA (MWh),SVA (MWh)
28/02/2018,37,0,0,0,0,0,0
28/02/2018,38,0,0,0,0,0,0
28/02/2018,39,0,0,0,0,0,0
28/02/2018,40,0,0,0,0,0,0
28/02/2018,41,0,0,0,0,0,0
28/02/2018,42,0,0,0,0,0,0
28/02/2018,43,0,0,0,0,0,0
28/02/2018,44,0,0,0,0,0,0
28/02/2018,45,12664.41,0,173.621,0,0,0
28/02/2018,46,9820.67,0,128.479,0,0,0
28/02/2018,47,0,0,0,0,37.5,0
28/02/2018,48,0,0,0,0,37.5,0
01/03/2018,1,0,0,0,0,37.5,0
01/03/2018,2,0,0,0,0,37.5,0
01/03/2018,3,0,0,0,0,12.5,0
01/03/2018,4,0,0,0,0,12.5,0
01/03/2018,5,0,0,0,0,12.5,0
01/03/2018,6,0,0,0,0,12.5,0
01/03/2018,7,0,0,0,0,12.5,0
01/03/2018,8,0,0,0,0,12.5,0
01/03/2018,9,0,0,0,0,12.5,0
01/03/2018,10,0,0,0,0,12.5,0
01/03/2018,11,0,0,0,0,12.5,0
01/03/2018,12,0,0,0,0,12.5,0
01/03/2018,13,0,0,0,0,0,0
01/03/2018,14,0,0,0,0,0,0
01/03/2018,15,0,0,0,0,0,0
01/03/2018,16,0,0,0,0,0,0
01/03/2018,17,0,0,0,0,0,0
01/03/2018,18,0,0,0,0,0,0
01/03/2018,19,0,0,0,0,0,0
01/03/2018,20,0,0,0,0,0,0
01/03/2018,21,0,0,0,0,0,0
01/03/2018,22,0,0,0,0,0,0
01/03/2018,23,0,0,0,0,0,0
01/03/2018,24,0,0,0,0,0,0
01/03/2018,25,0,0,0,0,197.21,0
01/03/2018,26,0,0,0,0,194.448,0
01/03/2018,27,0,0,0,0,0,0
01/03/2018,28,0,0,0,0,0,0
01/03/2018,29,0,0,0,0,0,0
01/03/2018,30,0,0,0,0,0,0
01/03/2018,31,0,0,0,0,0,0
01/03/2018,32,0,0,0,0,0,0
01/03/2018,33,0,0,0,0,0,0
01/03/2018,34,0,0,0,0,0,0
01/03/2018,35,0,0,0,0,0,0
01/03/2018,36,0,0,0,0,0,0
01/03/2018,37,0,0,0,0,0,0
01/03/2018,38,0,0,0,0,0,0
01/03/2018,39,0,0,0,0,0,0
01/03/2018,40,0,0,0,0,0,0
01/03/2018,41,0,0,0,0,0,0
01/03/2018,42,0,0,0,0,0,0
01/03/2018,43,0,0,0,0,0,0
01/03/2018,44,0,0,0,0,0,0
01/03/2018,45,0,0,0,0,0,0
01/03/2018,46,0,0,0,0,0,0
01/03/2018,47,0,0,0,0,72.161,0
01/03/2018,48,0,0,0,0,72.933,0
02/03/2018,1,0,0,0,0,33.534,0
02/03/2018,2,0,0,0,0,25,0
02/03/2018,3,0,0,0,0,75,0
02/03/2018,4,0,0,0,0,75,0
02/03/2018,5,0,0,0,0,75,0
02/03/2018,6,0,0,0,0,75,0
02/03/2018,7,0,0,0,0,75,0
02/03/2018,8,0,0,0,0,75,0
02/03/2018,9,0,0,0,0,50,0
02/03/2018,10,0,0,0,0,50,0
02/03/2018,11,18379.26,0,216.081,0,0,0
02/03/2018,12,21015.54,0,247.075,0,0,0
02/03/2018,13,7700.53,0,24.244,0,0,0
02/03/2018,14,0,0,0,0,0,0
02/03/2018,15,17365.56,0,162.864,0,0,0
02/03/2018,16,18441.27,0,172.953,0,0,0
02/03/2018,17,0,0,0,0,0,0
02/03/2018,18,0,0,0,0,0,0
02/03/2018,19,0,0,0,0,0,0
02/03/2018,20,0,0,0,0,0,0
02/03/2018,21,0,0,0,0,0,0
02/03/2018,22,0,0,0,0,0,0
02/03/2018,23,0,0,0,0,0,0
02/03/2018,24,0,0,0,0,0,0
02/03/2018,25,0,0,0,0,0,0
02/03/2018,26,0,0,0,0,0,0
02/03/2018,27,0,0,0,0,0,0
02/03/2018,28,0,0,0,0,0,0
02/03/2018,29,0,0,0,0,0,0
02/03/2018,30,0,0,0,0,0,0
02/03/2018,31,0,0,0,0,0,0
02/03/2018,32,0,0,0,0,0,0
02/03/2018,33,0,0,0,0,0,0
02/03/2018,34,0,0,0,0,0,0
02/03/2018,35,0,0,0,0,0,0
02/03/2018,36,0,0,0,0,0,0
02/03/2018,37,0,0,0,0,0,0
02/03/2018,38,0,0,0,0,0,0
02/03/2018,39,0,0,0,0,0,0
02/03/2018,40,0,0,0,0,0,0
02/03/2018,41,0,0,0,0,0,0
02/03/2018,42,0,0,0,0,0,0
02/03/2018,43,0,0,0,0,0,0
02/03/2018,44,0,0,0,0,0,0
02/03/2018,45,0,0,0,0,0,0
02/03/2018,46,0,0,0,0,0,0
02/03/2018,47,0,0,0,0,0,0
02/03/2018,48,0,0,0,0,0,0
03/03/2018,1,0,0,0,0,0,0
03/03/2018,2,0,0,0,0,0,0
03/03/2018,3,0,0,0,0,0,0
03/03/2018,4,0,0,0,0,0,0
03/03/2018,5,0,0,0,0,0,0
03/03/2018,6,0,0,0,0,0,0
03/03/2018,7,0,0,0,0,0,0
03/03/2018,8,0,0,0,0,0,0
03/03/2018,9,0,0,0,0,0,0
03/03/2018,10,0,0,0,0,0,0
03/03/2018,11,0,0,0,0,0,0
03/03/2018,12,0,0,0,0,0,0
03/03/2018,13,0,0,0,0,0,0
03/03/2018,14,0,0,0,0,0,0
03/03/2018,15,0,0,0,0,0,0
03/03/2018,16,0,0,0,0,0,0
03/03/2018,17,0,0,0,0,0,0
03/03/2018,18,0,0,0,0,0,0
03/03/2018,19,0,0,0,0,0,0
03/03/2018,20,0,0,0,0,0,0
03/03/2018,21,0,0,0,0,0,0
03/03/2018,22,0,0,0,0,0,0
03/03/2018,23,0,0,0,0,0,0
03/03/2018,24,0,0,0,0,0,0
03/03/2018,25,0,0,0,0,0,0
03/03/2018,26,0,0,0,0,0,0
03/03/2018,27,0,0,0,0,0,0
03/03/2018,28,0,0,0,0,0,0
03/03/2018,29,0,0,0,0,0,0
03/03/2018,30,0,0,0,0,0,0
03/03/2018,31,0,0,0,0,0,0
03/03/2018,32,0,0,0,0,0,0
03/03/2018,33,0,0,0,0,0,0
03/03/2018,34,0,0,0,0,0,0
03/03/2018,35,0,0,0,0,0,0
03/03/2018,36,0,0,0,0,0,0
03/03/2018,37,0,0,0,0,0,0
03/03/2018,38,0,0,0,0,0,0
03/03/2018,39,0,0,0,0,0,0
03/03/2018,40,0,0,0,0,0,0
03/03/2018,41,0,0,0,0,0,0
03/03/2018,42,0,0,0,0,0,0
03/03/2018,43,0,0,0,0,0,0
03/03/2018,44,0,0,0,0,0,0
03/03/2018,45,0,0,0,0,0,0
03/03/2018,46,0,0,0,0,0,0
03/03/2018,47,0,0,0,0,75,0
03/03/2018,48,0,0,0,0,75,0
04/03/2018,1,0,0,0,0,75,0
04/03/2018,2,0,0,0,0,75,0
04/03/2018,3,0,0,0,0,75,0
04/03/2018,4,0,0,0,0,75,0
04/03/2018,5,0,0,0,0,75,0
04/03/2018,6,0,0,0,0,75,0
04/03/2018,7,0,0,0,0,150,0
04/03/2018,8,0,0,0,0,150,0
04/03/2018,9,0,0,0,0,150,0
04/03/2018,10,0,0,0,0,150,0
04/03/2018,11,0,0,0,0,150,0
04/03/2018,12,0,0,0,0,150,0
04/03/2018,13,0,0,0,0,75,0
04/03/2018,14,0,0,0,0,75,0
04/03/2018,15,0,0,0,0,0,0
04/03/2018,16,0,0,0,0,0,0
04/03/2018,17,27663.75,0,250,0,0,0
04/03/2018,18,27663.75,0,250,0,0,0
04/03/2018,19,27663.75,0,250,0,0,0
04/03/2018,20,27663.75,0,250,0,0,0
04/03/2018,21,0,0,0,0,0,0
04/03/2018,22,0,0,0,0,0,0
04/03/2018,23,0,0,0,0,0,0
04/03/2018,24,0,0,0,0,0,0
04/03/2018,25,0,0,0,0,0,0
04/03/2018,26,0,0,0,0,0,0
04/03/2018,27,0,0,0,0,0,0
04/03/2018,28,0,0,0,0,0,0
04/03/2018,29,0,0,0,0,0,0
04/03/2018,30,0,0,0,0,0,0
04/03/2018,31,0,0,0,0,0,0
04/03/2018,32,0,0,0,0,0,0
04/03/2018,33,0,0,0,0,0,0
04/03/2018,34,0,0,0,0,0,0
04/03/2018,35,0,0,0,0,0,0
