upload_date,licence_area,fault_id,confirmed_off,predicted_off,restored,status,planned,category,resource_status,planned_outage_start_date,planned_outage_end_date,planned_outage_off,planned_outage_reason,date_of_reported_fault,last_updated,date_of_restoration,date_of_completion,etr,voltage,number_of_psr_customers,number_of_psr_critical_customers,location_latitude,location_longitude,postcode
2026-03-05T11:13:00,South West,INCD-41678-v,14,0,0,In Progress,true,HV PLANNED,ASSN,2026-03-05T09:00:00,2026-03-05T16:00:00,14,7a,2026-03-05T09:00:00,2026-03-05T09:05:00,,,,HV,4,0,50.27446,-3.754253,"TQ7 2AD, TQ7 2BJ, TQ7 2BL, TQ7 2BA"
2026-03-05T11:13:00,South West,INCD-20927-t,13,0,0,In Progress,true,LV PLANNED,ONS,2026-03-05T11:00:00,2026-03-05T13:00:00,13,2b,2026-03-05T11:00:00,2026-03-05T11:06:00,,,2026-03-05T13:00:00,LV,3,0,50.60012,-3.604948,TQ13 0JJ
2026-03-05T11:13:00,South West,INCD-41709-v,3,0,97,In Progress,true,HV PLANNED,UNASSIGNED,2026-03-05T07:00:00,2026-03-05T18:00:00,100,2b,2026-03-05T07:00:00,2026-03-05T08:57:00,,,,HV,1,0,50.256,-3.839894,TQ7 3EL
2026-03-05T11:13:00,South West,INCD-41668-v,32,0,0,In Progress,true,HV PLANNED,ASSN,2026-03-05T09:30:00,2026-03-05T16:00:00,32,4b,2026-03-05T09:30:00,2026-03-05T09:32:00,,,,HV,10,2,50.34651,-5.138809,"TR6 0AJ, TR6 0AB, TR6 0AD, TR6 0AA, TR6 0DB"
2026-03-05T11:13:00,South West,INCD-41649-v,1,0,0,In Progress,true,HV PLANNED,ASSN,2026-03-05T09:00:00,2026-03-05T16:30:00,1,6a,2026-03-05T09:00:00,2026-03-05T09:14:00,,,,HV,0,0,50.50421,-4.320067,PL17 8QQ
2026-03-05T11:13:00,South West,INCD-41799-v,6,0,0,In Progress,true,LV PLANNED,ONS,2026-03-05T09:00:00,2026-03-05T16:00:00,6,2a,2026-03-05T09:00:00,2026-03-05T09:17:00,,,,LV,1,0,50.27101,-3.828363,"TQ7 3JQ, TQ7 3NJ"
2026-03-05T11:13:00,South West,INCD-41589-v,6,0,0,In Progress,true,LV PLANNED,ONS,2026-03-05T09:30:00,2026-03-05T15:30:00,6,5b,2026-03-05T09:30:00,2026-03-05T10:12:00,,,,LV,3,0,50.0301,-5.237005,TR12 7DS
2026-03-05T11:13:00,South West,INCD-12467-u,1,0,0,In Progress,true,HV PLANNED,UNASSIGNED,2026-03-05T08:00:00,2026-03-05T13:00:00,1,5b,2026-03-05T08:00:00,2026-03-05T10:56:00,,,,HV,0,0,51.38342,-2.665781,BS40 8BJ
2026-03-05T11:13:00,South West,INCD-41626-v,2,0,0,In Progress,true,LV PLANNED,ONS,2026-03-05T08:30:00,2026-03-05T16:00:00,2,7a,2026-03-05T08:30:00,2026-03-05T09:41:00,,,,LV,0,0,50.82222,-4.421918,EX22 7JT
2026-03-05T11:13:00,South West,INCD-20871-t,5,0,0,In Progress,true,HV PLANNED,UNASSIGNED,2026-03-05T09:00:00,2026-03-05T15:30:00,5,6a,2026-03-05T09:00:00,2026-03-05T09:08:00,,,,HV,4,0,51.15876,-3.339894,"TA24 6QS, TA23 0LE"
2026-03-05T11:13:00,South West,INCD-41629-v,32,0,0,In Progress,true,LV PLANNED,LEFS,2026-03-05T09:30:00,2026-03-05T16:00:00,32,7a,2026-03-05T09:30:00,2026-03-05T09:40:00,,,,LV,8,1,50.1259,-5.431363,"TR20 9HD, TR20 9HE, TR20 9BD, TR20 9HF"
2026-03-05T11:13:00,South West,INCD-20863-t,8,0,0,In Progress,true,LV PLANNED,SENT,2026-03-05T10:00:00,2026-03-05T16:00:00,8,1d,2026-03-05T10:00:00,2026-03-05T10:25:00,,,,LV,0,0,51.01215,-4.029164,EX37 9EE
2026-03-05T11:13:00,South West,INCD-20801-t,3,0,0,In Progress,true,LV PLANNED,ONS,2026-03-05T09:00:00,2026-03-05T16:00:00,3,7a,2026-03-05T09:00:00,2026-03-05T09:53:00,,,,LV,2,0,50.92335,-3.706996,"EX16 8PU, EX16 8PX"
2026-03-05T11:13:00,South West,INCD-20888-t,9,0,0,In Progress,true,HV PLANNED,UNASSIGNED,2026-03-05T09:00:00,2026-03-05T16:00:00,9,6a,2026-03-05T09:00:00,2026-03-05T09:01:00,,,,HV,3,0,50.91949,-2.891054,"TA19 0PB, TA19 0NR, TA19 0RQ"
2026-03-05T11:13:00,South West,INCD-12220-u,11,0,0,In Progress,true,LV PLANNED,ONS,2026-03-05T09:00:00,2026-03-05T16:30:00,11,4b,2026-03-05T09:00:00,2026-03-05T09:26:00,,,,LV,6,1,51.4344,-2.850803,BS21 6HH
2026-03-05T11:13:00,South West,INCD-12750-u,1,38,0,In Progress,false,LV GENERIC,ONS,,,0,,2026-03-05T08:38:00,2026-03-05T11:11:00,,,2026-03-05T12:07:00,LV,5,0,51.3853,-2.359132,"BA1 5BD, BA1 5BE, BA1 5BG, BA1 5BX, BA1 5BN"
2026-03-05T11:13:00,South West,INCD-20816-t,50,0,0,In Progress,true,HV PLANNED,UNASSIGNED,2026-03-05T09:00:00,2026-03-05T16:00:00,50,6a,2026-03-05T09:00:00,2026-03-05T09:01:00,,,,HV,13,1,50.90905,-3.070269,"TA20 3RS, TA20 3HA, TA20 3SD, TA20 3RZ, TA20 3SA"
2026-03-05T11:13:00,South West,INCD-20798-t,4,0,0,In Progress,true,LV PLANNED,ONS,2026-03-05T09:00:00,2026-03-05T16:00:00,4,7a,2026-03-05T09:00:00,2026-03-05T09:25:00,,,,LV,0,0,51.21626,-3.771277,EX35 6PT
2026-03-05T11:13:00,South West,INCD-12749-u,1,0,23,In Progress,false,LV DAMAGE,COMP,,,0,,2026-03-05T08:34:00,2026-03-05T11:06:00,,,,LV,0,0,50.22438,-5.087717,TR3 6JE
2026-03-05T11:13:00,South West,INCD-12760-u,4,0,0,In Progress,false,HV ISOLATION,ONS,,,0,,2026-03-05T09:35:00,2026-03-05T09:40:00,,,2026-03-05T14:00:00,HV,0,0,50.41099,-4.774512,"PL30 5DP, PL26 8RP"
2026-03-05T11:13:00,South West,INCD-40233-v,19,0,40,In Progress,true,HV PLANNED,ASSN,2026-03-05T08:30:00,2026-03-05T18:00:00,59,6a,2026-03-05T08:30:00,2026-03-05T09:40:00,,,,HV,8,0,50.38873,-4.771424,"PL26 8RN, PL26 8RW"
2026-03-05T11:13:00,South West,INCD-20833-t,13,0,0,In Progress,true,LV PLANNED,ONS,2026-03-05T09:30:00,2026-03-05T15:30:00,13,5b,2026-03-05T09:30:00,2026-03-05T11:09:00,,,,LV,6,1,50.6997,-3.233321,"EX10 9NR, EX10 9NJ, EX10 9LW"
2026-03-05T11:13:00,South West,INCD-41628-v,24,0,0,In Progress,true,HV PLANNED,ASSN,2026-03-05T09:30:00,2026-03-05T14:30:00,24,2b,2026-03-05T09:30:00,2026-03-05T09:36:00,,,,HV,10,1,50.80978,-4.472008,"EX22 7HB, EX22 7HD, EX22 7EZ, EX23 9NP, EX22 7HA"
2026-03-05T11:13:00,South West,INCD-20898-t,2,0,0,In Progress,true,HV PLANNED,UNASSIGNED,2026-03-05T08:00:00,2026-03-05T12:00:00,2,1b,2026-03-05T08:00:00,2026-03-05T08:20:00,,,,HV,0,0,50.88243,-2.783804,TA18 7HE
2026-03-05T11:13:00,South West,INCD-41682-v,1,0,0,In Progress,true,HV PLANNED,ASSN,2026-03-05T09:00:00,2026-03-05T15:30:00,1,6a,2026-03-05T09:00:00,2026-03-05T09:32:00,,,,HV,0,0,50.2133,-5.290471,TR14 0PW
2026-03-05T11:13:00,South West,INCD-20767-t,13,0,0,In Progress,true,HV PLANNED,SENT,2026-03-05T07:30:00,2026-03-05T18:30:00,13,4b,2026-03-05T07:30:00,2026-03-05T07:40:00,,,,HV,1,0,50.71778,-3.86788,"TQ13 8EX, TQ13 8ES"
2026-03-05T11:13:00,South West,INCD-41630-v,23,0,0,In Progress,true,LV PLANNED,ONS,2026-03-05T10:00:00,2026-03-05T16:00:00,23,7a,2026-03-05T10:00:00,2026-03-05T10:01:00,,,,LV,7,1,50.12292,-5.420822,TR20 9HN
2026-03-05T11:13:00,South West,INCD-12221-u,7,0,0,In Progress,true,LV PLANNED,ONS,2026-03-05T08:30:00,2026-03-05T16:30:00,7,5b,2026-03-05T08:30:00,2026-03-05T09:47:00,,,,LV,3,0,51.27612,-2.47694,"BA3 4AS, BA3 4AT"
2026-03-05T11:13:00,South Wales,INCD-26939-e,1,0,1,In Progress,true,LV PLANNED,ONS,2026-03-05T09:30:00,2026-03-05T14:30:00,2,4b,2026-03-05T09:30:00,2026-03-05T10:53:00,,,,LV,1,0,52.07718,-3.123655,HR3 5BJ
2026-03-05T11:13:00,South Wales,INCD-5857-j,3,0,0,In Progress,false,LV UNDERGROUND,COMP,,,0,,2026-03-05T07:51:00,2026-03-05T11:04:00,,,2026-03-05T14:00:00,LV,3,0,51.52368,-3.230983,CF14 7BX
2026-03-05T11:13:00,South Wales,INCD-27686-e,2,0,0,In Progress,true,HV PLANNED,ASSN,2026-02-24T08:00:00,2026-03-06T16:00:00,2,4b,2026-02-24T08:00:00,2026-03-04T16:40:00,,,,HV,0,0,51.7418,-3.641095,SA4 8DX
2026-03-05T11:13:00,South Wales,INCD-27430-e,2,0,0,In Progress,true,LV PLANNED,ONS,2026-03-05T09:00:00,2026-03-05T14:00:00,2,0b,2026-03-05T09:00:00,2026-03-05T10:51:00,,,,LV,2,0,51.63252,-3.448626,CF40 2LN
2026-03-05T11:13:00,South Wales,INCD-27575-e,11,0,0,In Progress,true,LV PLANNED,CANC,2026-03-05T09:30:00,2026-03-05T14:30:00,11,4b,2026-03-05T09:30:00,2026-03-05T10:14:00,,,,LV,6,0,51.73791,-4.698643,"SA67 8JL, SA67 8LL"
2026-03-05T11:13:00,South Wales,INCD-27585-e,7,0,0,In Progress,true,HV PLANNED,ASSN,2026-03-05T09:30:00,2026-03-05T15:00:00,7,5b,2026-03-05T09:30:00,2026-03-05T09:30:00,,,,HV,2,1,51.76911,-4.243048,"SA32 8EE, SA17 5HH, SA32 8ED"
2026-03-05T11:13:00,South Wales,INCD-27459-e,2,0,15,In Progress,true,HV PLANNED,UNASSIGNED,2026-03-05T09:00:00,2026-03-05T14:00:00,17,4b,2026-03-05T09:00:00,2026-03-05T10:54:00,,,,HV,0,0,51.5993,-4.106239,SA2 7LQ
2026-03-05T11:13:00,South Wales,INCD-50363-f,12,0,0,In Progress,true,LV PLANNED,ONS,2026-03-05T09:30:00,2026-03-05T12:30:00,12,5b,2026-03-05T09:30:00,2026-03-05T09:39:00,,,,LV,4,0,51.79636,-3.234626,"NP23 5BU, NP23 5BT"
2026-03-05T11:13:00,South Wales,INCD-26877-e,1,0,0,In Progress,true,HV PLANNED,UNASSIGNED,2026-03-05T08:00:00,2026-03-05T16:00:00,1,0b,2026-03-05T08:00:00,2026-03-05T08:04:00,,,,HV,0,0,51.72889,-5.018903,SA73 3UW
2026-03-05T11:13:00,South Wales,INCD-27586-e,4,0,0,In Progress,true,LV PLANNED,ONS,2026-03-05T09:00:00,2026-03-05T13:00:00,4,4a,2026-03-05T09:00:00,2026-03-05T09:13:00,,,,LV,0,0,51.68796,-3.009745,NP4 0PN
2026-03-05T11:13:00,South Wales,INCD-27488-e,2,0,0,In Progress,true,HV PLANNED,UNASSIGNED,2026-03-05T09:30:00,2026-03-05T12:30:00,2,4b,2026-03-05T09:30:00,2026-03-05T09:31:00,,,,HV,0,0,51.78135,-5.101173,"SA62 3UD, SA62 3TY"
2026-03-05T11:13:00,South Wales,INCD-27634-e,3,0,302,In Progress,true,HV PLANNED,UNASSIGNED,2026-03-05T07:00:00,2026-03-05T17:00:00,304,4b,2026-03-05T07:00:00,2026-03-05T08:52:00,,,,HV,0,0,51.82925,-4.009164,"SA18 3JH, SA18 3AJ"
2026-03-05T11:13:00,West Midlands,INCD-360773-f,5,0,0,In Progress,true,HV PLANNED,UNASSIGNED,2026-03-05T09:30:00,2026-03-05T15:00:00,5,6a,2026-03-05T09:30:00,2026-03-05T10:36:00,,,,HV,3,1,52.22005,-3.005216,"HR5 3RH, HR5 3RZ, HR5 3RG"
2026-03-05T11:13:00,West Midlands,INCD-63059-p,1,0,0,In Progress,false,LV UNDERGROUND,COMP,,,0,,2026-03-05T07:29:00,2026-03-05T10:49:00,,,,LV,0,0,51.91552,-2.21101,GL2 9RH
2026-03-05T11:13:00,West Midlands,INCD-63060-p,2,0,0,In Progress,false,LV FUSE,COMP,,,0,,2026-03-05T07:39:00,2026-03-05T11:09:00,,,,LV,0,0,51.73283,-2.520875,GL15 5NN
2026-03-05T11:13:00,West Midlands,INCD-17963-l,23,0,0,In Progress,true,HV PLANNED,UNASSIGNED,2026-03-05T09:00:00,2026-03-05T16:00:00,23,4b,2026-03-05T09:00:00,2026-03-05T10:18:00,,,,HV,2,0,51.93586,-1.860798,"GL54 5UF, GL54 5UG, GL54 5UZ, GL54 5FN"
2026-03-05T11:13:00,West Midlands,INCD-18055-l,21,0,0,In Progress,true,HV PLANNED,UNASSIGNED,2026-03-05T09:00:00,2026-03-05T16:00:00,21,4b,2026-03-05T09:00:00,2026-03-05T09:25:00,,,,HV,4,0,52.37473,-2.108243,"DY9 0AD, DY9 0AA, DY9 0AE, DY9 0AB, DY9 0AG"
2026-03-05T11:13:00,West Midlands,INCD-360915-f,1,0,0,In Progress,true,HV PLANNED,UNASSIGNED,2026-03-05T09:00:00,2026-03-05T15:00:00,1,7a,2026-03-05T09:00:00,2026-03-05T09:42:00,,,,HV,1,0,52.46952,-2.579523,WV16 6QH
2026-03-05T11:13:00,West Midlands,INCD-360934-f,16,0,0,In Progress,true,HV PLANNED,UNASSIGNED,2026-03-05T08:30:00,2026-03-05T15:30:00,45,5b,2026-03-05T08:30:00,2026-03-05T09:44:00,,,,HV,11,1,52.35869,-2.87629,"SY7 0LS, SY7 0LW, SY7 0NB, SY7 0LZ, SY7 0JZ, SY7 0JX, SY7 0LP, HR5 3LH, SY7 0LA"
2026-03-05T11:13:00,West Midlands,INCD-361112-f,16,0,53,In Progress,true,HV PLANNED,UNASSIGNED,2026-03-05T07:00:00,2026-03-05T19:00:00,69,6a,2026-03-05T07:00:00,2026-03-05T08:10:00,,,,HV,4,0,52.34025,-2.458163,"DY14 9JN, DY14 9JL, DY14 9JY, DY14 9JW"
2026-03-05T11:13:00,West Midlands,INCD-361048-f,27,0,0,In Progress,true,LV PLANNED,ASSN,2026-03-05T08:30:00,2026-03-05T16:00:00,27,7a,2026-03-05T08:30:00,2026-03-05T08:57:00,,,,LV,7,0,51.91497,-2.513225,"HR9 7PJ, HR9 7PL, HR9 7WF, HR9 7PN"
2026-03-05T11:13:00,West Midlands,INCD-17989-l,5,0,0,In Progress,true,HV PLANNED,UNASSIGNED,2026-03-05T09:00:00,2026-03-05T16:00:00,5,6a,2026-03-05T09:00:00,2026-03-05T09:08:00,,,,HV,1,0,51.55109,-2.365124,"BS37 6PX, BS37 6QD"
