ValueDate,Amps,MVA,Volts
2026-02-24T00:05:00+00:00,68.571,1.357,11.378
2026-02-24T00:10:00+00:00,69.716,1.38,11.326
2026-02-24T00:15:00+00:00,68.764,1.353,11.324
2026-02-24T00:20:00+00:00,71.254,1.398,11.39
2026-02-24T00:25:00+00:00,71.867,1.406,11.4
2026-02-24T00:30:00+00:00,71.624,1.404,11.4
2026-02-24T00:35:00+00:00,72.429,1.418,11.311
2026-02-24T00:40:00+00:00,76.914,1.5,11.24
2026-02-24T00:45:00+00:00,71.866,1.41,11.287
2026-02-24T00:50:00+00:00,70.456,1.392,11.3
2026-02-24T00:55:00+00:00,72.78,1.418,11.3
2026-02-24T01:00:00+00:00,74.064,1.436,11.3
2026-02-24T01:05:00+00:00,73.218,1.42,11.3
2026-02-24T01:10:00+00:00,74.376,1.44,11.3
2026-02-24T01:15:00+00:00,71.85,1.407,11.302
2026-02-24T01:20:00+00:00,71.461,1.404,11.338
2026-02-24T01:25:00+00:00,72.409,1.426,11.378
2026-02-24T01:30:00+00:00,73.198,1.457,11.394
2026-02-24T01:35:00+00:00,70.893,1.402,11.343
2026-02-24T01:40:00+00:00,71.132,1.401,11.343
2026-02-24T01:45:00+00:00,69.43,1.376,11.348
2026-02-24T01:50:00+00:00,68.593,1.364,11.38
2026-02-24T01:55:00+00:00,69.265,1.378,11.4
2026-02-24T02:00:00+00:00,70.432,1.404,11.388
2026-02-24T02:05:00+00:00,70.574,1.398,11.358
2026-02-24T02:10:00+00:00,69.054,1.37,11.36
2026-02-24T02:15:00+00:00,66.841,1.324,11.392
2026-02-24T02:20:00+00:00,66.785,1.32,11.4
2026-02-24T02:25:00+00:00,67.684,1.34,11.4
2026-02-24T02:30:00+00:00,64.601,1.264,11.4
2026-02-24T02:35:00+00:00,62.658,1.219,11.386
2026-02-24T02:40:00+00:00,66.17,1.304,11.374
2026-02-24T02:45:00+00:00,64.587,1.257,11.394
2026-02-24T02:50:00+00:00,65.852,1.293,11.4
2026-02-24T02:55:00+00:00,64.571,1.264,11.404
2026-02-24T03:00:00+00:00,64.3,1.254,11.408
2026-02-24T03:05:00+00:00,63.189,1.227,11.4
2026-02-24T03:10:00+00:00,64.17,1.252,11.4
2026-02-24T03:15:00+00:00,64.901,1.273,11.401
2026-02-24T03:20:00+00:00,62.558,1.22,11.43
2026-02-24T03:25:00+00:00,59.738,1.193,11.456
2026-02-24T03:30:00+00:00,59.979,1.194,11.486
2026-02-24T03:35:00+00:00,66.149,1.298,11.405
2026-02-24T03:40:00+00:00,67.052,1.327,11.4
2026-02-24T03:45:00+00:00,65.888,1.298,11.4
2026-02-24T03:50:00+00:00,64.829,1.287,11.407
2026-02-24T03:55:00+00:00,65.583,1.298,11.422
2026-02-24T04:00:00+00:00,66.51,1.314,11.41
2026-02-24T04:05:00+00:00,66.568,1.31,11.334
2026-02-24T04:10:00+00:00,65.864,1.3,11.304
2026-02-24T04:15:00+00:00,66.093,1.301,11.348
2026-02-24T04:20:00+00:00,66.155,1.302,11.367
2026-02-24T04:25:00+00:00,66.818,1.328,11.39
2026-02-24T04:30:00+00:00,64.574,1.263,11.4
2026-02-24T04:35:00+00:00,64.51,1.268,11.386
2026-02-24T04:40:00+00:00,65.126,1.284,11.374
2026-02-24T04:45:00+00:00,64.967,1.277,11.338
2026-02-24T04:50:00+00:00,63.538,1.25,11.386
2026-02-24T04:55:00+00:00,62.868,1.244,11.4
2026-02-24T05:00:00+00:00,62.934,1.245,11.36
2026-02-24T05:05:00+00:00,63.262,1.244,11.264
2026-02-24T05:10:00+00:00,54.63,1.068,11.302
2026-02-24T05:15:00+00:00,55.795,1.092,11.361
2026-02-24T05:20:00+00:00,55.48,1.088,11.352
2026-02-24T05:25:00+00:00,55.666,1.089,11.38
2026-02-24T05:30:00+00:00,56.4,1.102,11.344
2026-02-24T05:35:00+00:00,55.124,1.081,11.326
2026-02-24T05:40:00+00:00,58.098,1.128,11.342
2026-02-24T05:45:00+00:00,58.58,1.141,11.376
2026-02-24T05:50:00+00:00,57.056,1.114,11.366
2026-02-24T05:55:00+00:00,54.955,1.078,11.325
2026-02-24T06:00:00+00:00,56.3,1.098,11.298
2026-02-24T06:05:00+00:00,60.893,1.181,11.349
2026-02-24T06:10:00+00:00,64.486,1.26,11.288
2026-02-24T06:15:00+00:00,65.012,1.274,11.398
2026-02-24T06:20:00+00:00,63.64,1.235,11.4
2026-02-24T06:25:00+00:00,64.336,1.256,11.4
2026-02-24T06:30:00+00:00,65.601,1.29,11.4
2026-02-24T06:35:00+00:00,63.422,1.231,11.36
2026-02-24T06:40:00+00:00,67.86,1.344,11.369
2026-02-24T06:45:00+00:00,67.636,1.345,11.346
2026-02-24T06:50:00+00:00,67.954,1.352,11.38
2026-02-24T06:55:00+00:00,71.15,1.398,11.314
2026-02-24T07:00:00+00:00,74.008,1.442,11.318
2026-02-24T07:05:00+00:00,73.214,1.429,11.332
2026-02-24T07:10:00+00:00,74.766,1.452,11.234
2026-02-24T07:15:00+00:00,75.54,1.461,11.294
2026-02-24T07:20:00+00:00,76.696,1.503,11.365
2026-02-24T07:25:00+00:00,75.696,1.491,11.356
2026-02-24T07:30:00+00:00,76.122,1.5,11.368
2026-02-24T07:35:00+00:00,75.45,1.47,11.314
2026-02-24T07:40:00+00:00,77.818,1.51,11.305
2026-02-24T07:45:00+00:00,78.046,1.527,11.335
2026-02-24T07:50:00+00:00,78.366,1.534,11.36
2026-02-24T07:55:00+00:00,81.084,1.587,11.325
2026-02-24T08:00:00+00:00,81.11,1.602,11.4
2026-02-24T08:05:00+00:00,77.358,1.517,11.356
2026-02-24T08:10:00+00:00,76.992,1.506,11.342
2026-02-24T08:15:00+00:00,76.44,1.481,11.3
2026-02-24T08:20:00+00:00,78.208,1.515,11.3
2026-02-24T08:25:00+00:00,76.228,1.478,11.3
2026-02-24T08:30:00+00:00,77.177,1.498,11.313
2026-02-24T08:35:00+00:00,73.695,1.44,11.333
2026-02-24T08:40:00+00:00,73.07,1.416,11.313
2026-02-24T08:45:00+00:00,69.564,1.37,11.307
2026-02-24T08:50:00+00:00,63.41,1.234,11.327
2026-02-24T08:55:00+00:00,64.134,1.253,11.342
2026-02-24T09:00:00+00:00,64.058,1.25,11.396
2026-02-24T09:05:00+00:00,68.289,1.338,11.388
2026-02-24T09:10:00+00:00,72.84,1.432,11.323
2026-02-24T09:15:00+00:00,67.756,1.338,11.363
2026-02-24T09:20:00+00:00,65.03,1.28,11.389
2026-02-24T09:25:00+00:00,63.596,1.243,11.329
2026-02-24T09:30:00+00:00,61.385,1.206,11.303
2026-02-24T09:35:00+00:00,61.21,1.187,11.222
2026-02-24T09:40:00+00:00,61.549,1.186,11.206
2026-02-24T09:45:00+00:00,61.32,1.188,11.238
2026-02-24T09:50:00+00:00,54.892,1.066,11.241
2026-02-24T09:55:00+00:00,51.274,0.993,11.208
2026-02-24T10:00:00+00:00,56.519,1.098,11.277
2026-02-24T10:05:00+00:00,53.948,1.051,11.3
2026-02-24T10:10:00+00:00,52.793,1.029,11.3
2026-02-24T10:15:00+00:00,54.451,1.065,11.316
2026-02-24T10:20:00+00:00,50.066,0.982,11.364
2026-02-24T10:25:00+00:00,48.061,0.94,11.326
2026-02-24T10:30:00+00:00,49.061,0.962,11.326
2026-02-24T10:35:00+00:00,49.977,0.98,11.308
2026-02-24T10:40:00+00:00,49.451,0.968,11.3
2026-02-24T10:45:00+00:00,46.854,0.916,11.3
2026-02-24T10:50:00+00:00,47.639,0.93,11.3
2026-02-24T10:55:00+00:00,48.208,0.942,11.302
2026-02-24T11:00:00+00:00,47.015,0.918,11.359
2026-02-24T11:05:00+00:00,43.562,0.857,11.324
2026-02-24T11:10:00+00:00,45.542,0.903,11.317
2026-02-24T11:15:00+00:00,49.06,0.966,11.307
2026-02-24T11:20:00+00:00,46.849,0.913,11.328
2026-02-24T11:25:00+00:00,46.846,0.908,11.322
2026-02-24T11:30:00+00:00,45.892,0.907,11.373
2026-02-24T11:35:00+00:00,43.775,0.873,11.376
2026-02-24T11:40:00+00:00,45.03,0.894,11.394
2026-02-24T11:45:00+00:00,43.879,0.862,11.4
2026-02-24T11:50:00+00:00,49.942,0.986,11.434
2026-02-24T11:55:00+00:00,50.228,0.986,11.386
2026-02-24T12:00:00+00:00,52.772,1.026,11.32
2026-02-24T12:05:00+00:00,50.215,0.974,11.286
2026-02-24T12:10:00+00:00,54.604,1.068,11.293
