ValueDate,Amps,HH Val,MVA,MVAr,MW,Volts
2026-02-24T00:05:00+00:00,160.242,-0.236,3.102,-0.231,-3.088,11.198
2026-02-24T00:10:00+00:00,158.824,-0.229,3.076,-0.216,-3.062,11.18
2026-02-24T00:15:00+00:00,155.399,-0.222,3.007,-0.175,-2.997,11.177
2026-02-24T00:20:00+00:00,151.049,-0.215,2.932,-0.211,-2.912,11.199
2026-02-24T00:25:00+00:00,150.798,-0.208,2.924,-0.165,-2.91,11.219
2026-02-24T00:30:00+00:00,147.734,-0.201,2.867,-0.121,-2.849,11.216
2026-02-24T00:35:00+00:00,148.807,-0.197,2.878,-0.069,-2.869,11.185
2026-02-24T00:40:00+00:00,155.199,-0.195,2.992,-0.111,-2.977,11.176
2026-02-24T00:45:00+00:00,150.368,-0.193,2.93,-0.152,-2.914,11.296
2026-02-24T00:50:00+00:00,146.299,-0.191,2.839,-0.246,-2.818,11.267
2026-02-24T00:55:00+00:00,146.876,-0.189,2.852,-0.269,-2.83,11.266
2026-02-24T01:00:00+00:00,147.16,-0.187,2.852,-0.263,-2.835,11.25
2026-02-24T01:05:00+00:00,162.38,-0.194,3.15,-0.285,-3.125,11.214
2026-02-24T01:10:00+00:00,174.385,-0.211,3.385,-0.287,-3.345,11.233
2026-02-24T01:15:00+00:00,176.373,-0.228,3.421,-0.304,-3.396,11.233
2026-02-24T01:20:00+00:00,174.541,-0.246,3.389,-0.282,-3.368,11.233
2026-02-24T01:25:00+00:00,171.566,-0.263,3.329,-0.28,-3.314,11.21
2026-02-24T01:30:00+00:00,172.444,-0.28,3.34,-0.262,-3.315,11.192
2026-02-24T01:35:00+00:00,173.678,-0.288,3.345,-0.277,-3.323,11.143
2026-02-24T01:40:00+00:00,171.219,-0.286,3.3,-0.282,-3.278,11.146
2026-02-24T01:45:00+00:00,170.316,-0.285,3.285,-0.291,-3.261,11.144
2026-02-24T01:50:00+00:00,170.967,-0.283,3.297,-0.263,-3.277,11.155
2026-02-24T01:55:00+00:00,166.933,-0.282,3.221,-0.291,-3.211,11.166
2026-02-24T02:00:00+00:00,166.186,-0.281,3.208,-0.271,-3.191,11.153
2026-02-24T02:05:00+00:00,166.978,-0.279,3.213,-0.282,-3.198,11.136
2026-02-24T02:10:00+00:00,170.505,-0.276,3.285,-0.26,-3.265,11.136
2026-02-24T02:15:00+00:00,171.878,-0.274,3.31,-0.279,-3.291,11.143
2026-02-24T02:20:00+00:00,171.141,-0.272,3.301,-0.26,-3.29,11.155
2026-02-24T02:25:00+00:00,173.447,-0.269,3.354,-0.236,-3.338,11.192
2026-02-24T02:30:00+00:00,173.138,-0.267,3.35,-0.25,-3.337,11.186
2026-02-24T02:35:00+00:00,173.799,-0.262,3.349,-0.218,-3.351,11.166
2026-02-24T02:40:00+00:00,167.008,-0.256,3.235,-0.064,-3.221,11.186
2026-02-24T02:45:00+00:00,164.664,-0.25,3.192,-0.234,-3.182,11.196
2026-02-24T02:50:00+00:00,163.751,-0.244,3.178,-0.251,-3.162,11.2
2026-02-24T02:55:00+00:00,164.989,-0.239,3.195,-0.275,-3.196,11.208
2026-02-24T03:00:00+00:00,164.128,-0.233,3.181,-0.261,-3.164,11.202
2026-02-24T03:05:00+00:00,168.315,-0.234,3.252,-0.265,-3.231,11.155
2026-02-24T03:10:00+00:00,169.743,-0.241,3.275,-0.269,-3.257,11.155
2026-02-24T03:15:00+00:00,170.655,-0.249,3.298,-0.287,-3.284,11.173
2026-02-24T03:20:00+00:00,172.001,-0.257,3.327,-0.298,-3.308,11.178
2026-02-24T03:25:00+00:00,173.509,-0.264,3.349,-0.288,-3.347,11.177
2026-02-24T03:30:00+00:00,156.995,-0.272,3.04,-0.24,-3.02,11.204
2026-02-24T03:35:00+00:00,150.501,-0.273,2.918,-0.233,-2.903,11.212
2026-02-24T03:40:00+00:00,146.912,-0.267,2.845,-0.228,-2.831,11.222
2026-02-24T03:45:00+00:00,141.685,-0.261,2.746,-0.199,-2.738,11.235
2026-02-24T03:50:00+00:00,144.314,-0.255,2.799,-0.245,-2.785,11.236
2026-02-24T03:55:00+00:00,143.769,-0.25,2.791,-0.232,-2.775,11.25
2026-02-24T04:00:00+00:00,148.617,-0.244,2.884,-0.247,-2.873,11.215
2026-02-24T04:05:00+00:00,150.83,-0.237,2.907,-0.261,-2.894,11.158
2026-02-24T04:10:00+00:00,151.332,-0.229,2.912,-0.128,-2.893,11.164
2026-02-24T04:15:00+00:00,152.803,-0.22,2.942,-0.205,-2.921,11.163
2026-02-24T04:20:00+00:00,153.578,-0.212,2.955,-0.163,-2.93,11.167
2026-02-24T04:25:00+00:00,149.945,-0.204,2.889,-0.203,-2.875,11.167
2026-02-24T04:30:00+00:00,152.912,-0.196,2.949,-0.232,-2.935,11.166
2026-02-24T04:35:00+00:00,155.423,-0.19,2.994,-0.25,-2.975,11.165
2026-02-24T04:40:00+00:00,153.909,-0.186,2.968,-0.19,-2.949,11.167
2026-02-24T04:45:00+00:00,156.092,-0.182,3.012,-0.192,-2.995,11.166
2026-02-24T04:50:00+00:00,160.908,-0.178,3.112,-0.173,-3.093,11.185
2026-02-24T04:55:00+00:00,154.196,-0.174,2.991,-0.125,-2.974,11.195
2026-02-24T05:00:00+00:00,156.883,-0.17,3.033,-0.233,-3.006,11.178
2026-02-24T05:05:00+00:00,163.675,-0.177,3.133,-0.257,-3.112,11.093
