Company,Unit,Default/Market,Location,Oct 13 - LEAD,Oct 13  - LAG,Oct 13  - TOTAL,Nov 13 - LEAD,Nov 13 - LAG,Nov 13 - TOTAL,Dec 13 - LEAD,Dec 13 -LAG,Dec 13 - TOTAL,Jan 14 - LEAD,Jan 14 - LAG,Jan 14 - TOTAL,Feb 14 - LEAD,Feb 14- LAG,Feb 14 - TOTAL,Mar 14 - LEAD,Mar 14  - LAG,Mar 14 - TOTAL,Apr 14 - LEAD,Apr 14  - LAG,Apr 14   - TOTAL,May 14 - LEAD,May 14 - LAG,May 14 - TOTAL,Jun 14 - LEAD,Jun 14 -LAG,Jun 14 - TOTAL,Jul 14 - LEAD,Jul 14  - LAG,Jul 14  - TOTAL,Aug 14 - LEAD,Aug 14 - LAG,Aug 14  - TOTAL,Sep 14- LEAD,Sep 14  - LAG,Sep 14- TOTAL, Oct 14- LEAD,Oct 14- LAG,Oct 14   - TOTAL,Nov 14 - LEAD,Nov 14- LAG,Nov 14- TOTAL,Dec 14 - LEAD,Dec 14  -LAG,Dec 14  - TOTAL,Jan 15 - LEAD,Jan 15  - LAG,Jan 15 - TOTAL,Feb 15 - LEAD,Feb 15  - LAG,Feb 15 - TOTAL,Mar 15- LEAD,Mar 15  - LAG,Mar 15- TOTAL, Apr 15- LEAD, Apr 15- LAG, Apr 15  - TOTAL,May 15 - LEAD,May 15- LAG,May 15- TOTAL,Jun 15 - LEAD,Jun 15  -LAG,Jun 15  - TOTAL,Jul 15 - LEAD,Jul 15  - LAG,Jul 15  - TOTAL,Aug 15 - LEAD,Aug 15  - LAG,Aug 15  - TOTAL,Sep 15- LEAD,Sep 15 - LAG,Sep 15- TOTAL,Oct 15- LEAD, Oct 15- LAG,Oct 15  - TOTAL,Nov 15 - LEAD,Nov 15- LAG,Nov 15- TOTAL,Dec 15 - LEAD,Dec 15  -LAG,Dec 15  - TOTAL,Jan 16 - LEAD,Jan 16  - LAG,Jan 16   - TOTAL,Feb 16 - LEAD,Feb 16- LAG,Feb 16 - TOTAL,Mar 16 - LEAD,Mar 16  - LAG,Mar 16 - TOTAL, Apr 16 - LEAD, Apr 16  - LAG, Apr 16- TOTAL,May 16 - LEAD,May 16 - LAG,May 16 - TOTAL,Jun 16 - LEAD,Jun 16 -LAG,Jun 16- TOTAL,Jul 16 - LEAD,Jul 16 - LAG,Jul 16 - TOTAL,Aug 16 - LEAD,Aug 16- LAG,Aug 16 - TOTAL,Sep 16 - LEAD,Sep 16  - LAG,Sep 16  - TOTAL, Oct 16 - LEAD, Oct 16  - LAG, Oct 16 - TOTAL,Nov 16 - LEAD,Nov 16 - LAG,Nov 16 - TOTAL,Dec 16 - LEAD,Dec 16 -LAG,Dec 16 - TOTAL,Jan 17 - LEAD,Jan 17 - LAG,Jan 17 - TOTAL,Feb 17 - LEAD,Feb 17 - LAG,Feb 17 - TOTAL,Mar 17- LEAD,Mar 17  - LAG,Mar 17 - TOTAL, Apr 17 - LEAD, Apr 17  - LAG, Apr 17 - TOTAL,May 17 - LEAD,May 17 - LAG,May 17 - TOTAL,Jun 17 - LEAD,Jun 17  -LAG,Jun 17  - TOTAL,Jul 17 - LEAD,Jul 17 - LAG,Jul 17- TOTAL,Aug 17 - LEAD,Aug 17 - LAG,Aug 17 - TOTAL,Sep 17- LEAD,Sep 17  - LAG,Sep 17 - TOTAL, Oct 17 - LEAD, Oct 17  - LAG,  Oct 17 - TOTAL,Nov 17 - LEAD,Nov 17 - LAG,Nov 17 - TOTAL,Dec 17 - LEAD,Dec 17  -LAG,Dec 17  - TOTAL,Jan 18 - LEAD,Jan 18  - LAG,Jan 18 - TOTAL,Feb 18 - LEAD,Feb 18 - LAG,Feb 18 - TOTAL,Mar 18 - LEAD,Mar 18  - LAG,Mar 18 - TOTAL, Apr 18 - LEAD,Apr 18  - LAG,  Apr 18 - TOTAL,May 18 - LEAD,May 18 - LAG,May 18 - TOTAL,Jun 18 - LEAD,Jun 18 -LAG,Jun 18  - TOTAL,Jul 18 - LEAD,Jul 18  - LAG,Jul 18 - TOTAL,Aug 18 - LEAD,Aug 18 - LAG,Aug 18 - TOTAL,Sep 18 - LEAD,Sep 18  - LAG,Sep 18 - TOTAL, Oct 18 - LEAD, Oct 18  - LAG, Oct 18 - TOTAL,Nov 18 - LEAD,Nov 18 - LAG,Nov 18 - TOTAL,Dec 18 - LEAD,Dec 18 -LAG,Dec 18  - TOTAL,Jan 19 - LEAD,Jan 19  - LAG,Jan 19 - TOTAL,Feb 19 - LEAD,Feb 19 - LAG,Feb 19- TOTAL,Mar 19 - LEAD,Mar 19  - LAG,Mar 19 - TOTAL,Apr 19 - LEAD,Apr 19 -LAG,Apr 19- TOTAL,May 19 - LEAD,May 19 -LAG,May 19- TOTAL,Jun 19 - LEAD,Jun 19 -LAG,Jun 19- TOTAL,Jul 19 - LEAD,Jul 19 -LAG,Jul 19- TOTAL,Aug 19 - LEAD, Aug 19 -LAG,Aug 19- TOTAL,Sep 19 - LEAD,Sep 19 -LAG,Sep 19- TOTAL,Oct 19 -LEAD,Oct 19 - LAG,Oct -19 TOTAL,Nov 19 -LEAD,Nov 19 - LAG,Nov -19 TOTAL,Dec 19 -LEAD,Dec 19 - LAG,Dec 19 - TOTAL,Jan 20 -LEAD,Jan 20 - LAG,Jan 20 - TOTAL,Feb 20 -LEAD,Feb 20 - LAG,Feb 20 - TOTAL,Mar 20 -LEAD,Mar 20 - LAG,Mar 20 - TOTAL
HUMR,HUMR_01Z,D,N,772,0,772,"8,921","4,121","13,041","16,626","5,629","22,255","16,904","4,554","21,458","11,482","1,926","13,408","21,287","5,056","26,342","35,659","1,868","37,527","43,727","2,476","46,202","51,210","3,362","54,572","51,316","4,246","55,562","55,933","3,915","59,848","33,821","4,717","38,537","15,568","7,702","23,270","19,455","10,268","29,723","20,665","9,398","30,063","18,333","8,395","26,728","9,032","7,951","16,983","18,322","5,788","24,110","34,512","3,970","38,482","39,230","2,766","41,996","42,842","1,706","44,548","34,275","2,503","36,777","41,328","3,587","44,915","38,026","3,739","41,765","33,814","4,613","38,427","33,683","4,605","38,288","33,683","4,605","38,288","25,919","6,780","32,699","37,978","3,582","41,560","38,698","5,775","44,473","43,731","3,611","47,341","63,123","1,402","64,525","61,936","1,389","63,325","84,529","1,892","86,421","75,293","1,306","76,599","69,949","2,605","72,554","57,733","4,106","61,839","39,152","4,086","43,238","42,986","2,267","45,253","36,847","3,528","40,375","39,545","2,534","42,079","56,762","1,241","58,003","41,335","2,216","43,551","62,997","1,548","64,545","68,426","1,532","69,958","57,328","3,042","60,370","58,174","1,894","60,068","47,222","2,981","50,202","50,994","3,176","54,170","30,675","5,022","35,696","34,248","5,204","39,452","50,105","5,627","55,732","34,455","3,819","38,274","3,726",643,"4,369","36,687","3,199","39,886","59,406","2,088","61,494","55,131","2,201","57,333","51,873","4,703","56,576","53,269","3,517","56,786","44,430","2,405","46,836","42,479","6,660","49,139","25,099","8,887","33,986","47,563","4,252","51,815",34852.46,4425.61,39278.07,27307.74,4324.34,"31,632",34963.998,5016.985,"39,981","51,887","2,068","53,955",58616.65,2674.92,61291.57,53377.66,2461.04,55838.7,38107.88,3599.31,41707.19,41680.73,1685.59,43366.32,50876.76,3566.36,54443.12,38350.37,3580.54,41930.91,27778.88,4022.29,31801.17,33925.6,3825.97,37751.57,19551.98,8754.75,28306.73,17587.12,4015.43,21602.55,31405.99,6351.36,37757.35
IRON,IRNPS01Z,D,M,"3,411",581,"3,991","1,008",757,"1,765","1,794","1,928","3,722","2,291","1,944","4,235",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IRON,IRNPS02Z,D,M,"5,944","1,275","7,220",933,887,"1,820",671,"1,334","2,005","2,156","1,385","3,541",0,0,0,"6,238","2,366","8,604","10,584","2,256","12,839","7,881",754,"8,635","13,853","2,698","16,551","9,059","2,190","11,248","8,058",579,"8,636","21,312","1,457","22,769","13,737","4,015","17,752","8,175","3,987","12,162","11,677","1,971","13,649","14,649","2,678","17,326","11,249","3,216","14,465","18,080","3,847","21,927","28,655","2,257","30,912","24,043","1,626","25,669","24,329","3,389","27,718","32,563","1,316","33,879","34,083","2,041","36,124","19,684","1,216","20,900","27,108","1,951","29,059",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JADL,COTPS01Z,D,N,"11,753","3,753","15,506","9,105","3,769","12,874","16,209","2,634","18,843","12,230","2,154","14,384","6,051","3,356","9,407","11,540","3,232","14,772","18,651","1,080","19,731","19,392","1,202","20,594","13,645",589,"14,234",0,0,0,"4,674",735,"5,409","24,671","2,040","26,712","15,760","6,036","21,796","11,627","4,610","16,237","14,053","8,372","22,425","13,550","6,219","19,769","9,265","6,761","16,026","11,103","3,503","14,605","21,671",683,"22,354","7,215",721,"7,936",0,0,0,0,0,0,0,0,0,0,0,0,"3,630",291,"3,921","4,379",994,"5,373","4,379",994,"5,373",906,"1,283","2,189","1,060","1,144","2,205",539,221,761,388,603,991,101,81,182,518,98,616,296,5,302,0,0,0,"3,098","1,960","5,058","1,921","2,515","4,436","3,092","1,618","4,711","1,382","4,891","6,273","11,291","2,641","13,931","6,936","1,154","8,090",4,0,4,881,64,945,850,117,967,0,0,0,0,0,0,0,0,0,551,326,877,609,734,"1,343","5,849","5,732","11,581","3,112","5,104","8,216",227,213,440,"5,949","1,279","7,228","12,362","3,852","16,215",333,318,652,0,0,0,183,95,278,0,0,0,284,393,677,746,803,"1,549",630,"1,523","2,152","2,054","4,400","6,454",797,"1,815","2,611",2945.61,3526.29,6471.9,1892.43,476.55,"2,369",735.3,779.94,"1,515","2,594","1,676","4,270",0,0,0,0,0,0,0,0,0,648.54,3607.2,4255.74,974.07,3665.7,4639.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JADL,COTPS02Z,D,N,"15,593","6,056","21,650","6,770","3,911","10,680","11,805","6,914","18,720","11,644","5,365","17,009","9,170","5,829","14,999","11,438","3,693","15,131","18,961","1,624","20,586","1,034",33,"1,067",0,0,0,0,0,0,0,0,0,0,0,0,660,403,"1,062","14,106","4,046","18,152",0,0,0,779,62,841,"4,369","3,133","7,502","5,712","1,157","6,869","14,486",754,"15,240","12,832",698,"13,530","14,836","1,342","16,178","24,753","1,320","26,072","39,547",809,"40,356","32,693",998,"33,690","24,445","1,874","26,319","7,110",775,"7,885","7,110",775,"7,885","2,917",593,"3,510","1,688",559,"2,247","1,874",294,"2,168",0,0,0,0,0,0,0,0,0,822,59,880,198,7,205,"2,925",50,"2,975","7,604",440,"8,044","7,935",733,"8,668","7,798",329,"8,128","9,640","1,208","10,848","12,315","2,418","14,734","5,858",140,"5,998",247,38,285,833,423,"1,256",558,267,825,"2,639",102,"2,741",0,0,0,"1,923",874,"2,797","5,245","2,276","7,522","7,361","7,638","14,999","3,751","4,558","8,309","5,424",911,"6,335","7,473","1,474","8,947","6,452","3,516","9,968",393,651,"1,044",0,0,0,0,0,0,0,0,0,0,0,0,"4,765",807,"5,572","1,046",799,"1,845",272,"21,416","21,688",30,"18,160","18,190",60.66,27629.01,27689.67,21.06,15825.24,"15,846",15.48,13715.82,"13,731",13,"14,577","14,590",0,0,0,0,0,0,0,0,0,15.21,10451.43,10466.64,23.85,1864.44,1888.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JADL,COTPS03Z,D,N,"9,435","4,895","14,330","7,604","2,519","10,123","10,049","7,317","17,366","11,061","5,256","16,317","6,323","3,558","9,881","13,320","3,902","17,222","18,997","2,925","21,923","26,487","1,501","27,988",0,0,0,0,0,0,"24,012","1,287","25,299","31,917","2,033","33,950","15,069","5,585","20,654","14,994","4,183","19,177","13,301","7,879","21,180","13,157","9,590","22,747","2,254","1,544","3,798",0,0,0,0,0,0,0,0,0,"10,360",919,"11,279","22,776","2,192","24,968","26,648","1,798","28,446","36,213","2,007","38,219","24,137","2,410","26,546","5,287","1,717","7,003","5,287","1,717","7,003","2,541",706,"3,247","2,806",145,"2,952","1,948",333,"2,281","1,102",173,"1,275","1,845",38,"1,883",0,0,0,385,2,387,206,197,404,"2,573",471,"3,045","4,221",753,"4,974","7,151","1,433","8,585","4,660",710,"5,370","10,433","2,314","12,747","7,028",677,"7,704",909,13,922,0,0,0,"1,259",69,"1,328",0,0,0,102,11,113,0,0,0,82,110,192,"2,797","1,263","4,060","3,701","5,567","9,269","3,059","4,559","7,618","3,298","2,156","5,454","5,651","2,503","8,153","3,944","2,166","6,110",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,700",94,"1,793","1,302",176,"1,478","3,705","3,440","7,145","3,457","1,129","4,586",1113.12,623.07,1736.19,3590.64,1347.93,"4,939",1848.06,2553.12,"4,401","1,707",703,"2,410",0,0,0,0,0,0,0,0,0,2239.11,1232.82,3471.93,71.01,190.62,261.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JADL,COTPS04Z,D,N,0,0,0,0,0,0,"4,622","3,871","8,494","12,638","4,720","17,358","9,295","4,997","14,291","9,661","3,737","13,398","21,590","2,274","23,864","28,214","1,282","29,496","12,367","1,028","13,395","7,805",791,"8,596","16,788","1,812","18,600","25,376","3,152","28,528","20,025","4,872","24,897","12,613","4,440","17,054","12,645","3,861","16,506","14,671","6,071","20,742","10,678","3,244","13,923","13,981","4,675","18,655","32,516","2,282","34,799","9,611","1,047","10,658",0,0,0,"8,029","2,141","10,170","20,943","1,522","22,465","22,138","1,690","23,828","19,131","2,307","21,438",281,457,738,281,457,738,913,"1,401","2,314",958,105,"1,064",216,158,374,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2,383","1,112","3,495","2,163",739,"2,902","6,744","1,413","8,158","5,342",884,"6,226",27,317,344,334,31,365,0,0,0,0,0,0,0,0,0,0,0,0,3,93,95,"1,599",861,"2,461","4,717","7,441","12,158","1,243","3,580","4,823","2,834","1,243","4,077","1,834","2,181","4,015","7,776","3,683","11,458","1,354",514,"1,868",0,0,0,0,0,0,0,0,0,"2,340",7,"2,348",119,583,702,587,865,"1,452","2,604","2,956","5,559",736,417,"1,153",1312.02,2967.93,4279.95,152.55,206.01,359,1074.15,2178.9,"3,253",257,88,345,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KEAD,KEAD_01Z,D,N,0,0,0,0,0,0,0,0,0,0,0,0,0,14,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"3,191","4,340","7,531","3,191","4,340","7,531","5,618","15,414","21,032","11,326","6,159","17,485","6,254","9,148","15,403",164,"1,293","1,456",406,467,872,"2,067","5,902","7,969","1,805","6,279","8,084","5,081","5,240","10,322","2,187","6,141","8,328","11,365","12,433","23,798","6,655","11,796","18,451","2,571","11,141","13,711","4,359","11,328","15,687","2,305","3,714","6,019","9,930","6,800","16,730","9,032","7,523","16,554","22,423","6,525","28,949","4,815","2,303","7,118","6,330","4,519","10,849","6,308","4,703","11,011","2,589","4,441","7,030","3,462","5,270","8,732","4,830","8,284","13,114","30,126","7,275","37,401","12,636","6,401","19,037","9,317","6,237","15,554","17,180","8,109","25,289","9,726","4,286","14,012","21,939","5,025","26,964","26,711","4,365","31,075","4,781","1,474","6,255","19,898","5,958","25,857","5,712","6,353","12,065","8,270","7,879","16,149","9,595","10,394","19,989","6,017","10,606","16,623",10548.2,8498.85,19047.05,11007.95,5150.25,"16,158",8571.95,7466.35,"16,038","3,600","4,661","8,261",0,0,0,0,0,0,5480.5,5277.4,10757.9,13063.65,6105.8,19169.45,9846.1,5096.1,14942.2,6089,5170.3,11259.3,2095.95,12884.2,14980.15,6032.25,10314.7,16346.95,1258.65,5035.9,6294.55,3342.65,6392.7,9735.35,18671.85,8867.6,27539.45
KILW,KILW_01Z,D,SC,"8,574",74,"8,648","8,811",8,"8,819","11,893",0,"11,893","11,551",25,"11,576","2,219",519,"2,738","1,805",581,"2,386",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LAKE,ROOS_01Z,D,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LINCS,LNCSW-3,D,N,"17,519","5,095","22,614","7,932","4,515","12,447","3,189","15,676","18,865","6,179","15,152","21,330","2,534","11,072","13,606","5,573","6,291","11,864","7,219","4,666","11,885","7,682","3,875","11,556","19,683",493,"20,176","16,972",228,"17,200","1,624","2,148","3,773","5,826","3,242","9,069","11,277",376,"11,653","4,908",690,"5,598",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MEDP,MEDP_01Z,D,S,"2,310",0,"2,310","4,621",0,"4,621","3,706",0,"3,706","2,676",0,"2,676","2,825",0,"2,825","2,427",0,"2,427","24,646",0,"24,646","20,175",0,"20,175","7,186",0,"7,186","26,973",0,"26,973","12,307",0,"12,307",607,0,607,"14,926","2,833","17,758","14,864","4,998","19,862","4,811","4,929","9,740","5,390","3,055","8,445","11,606","5,787","17,392","7,758","1,845","9,603","6,818","1,716","8,534","9,517","3,155","12,672","22,986","5,312","28,297","34,148","6,657","40,804","31,839","3,445","35,284",90,333,423,"11,677","3,523","15,200","4,412","6,168","10,581","4,412","6,168","10,581","8,456","5,631","14,087","13,049","5,748","18,797","12,072","7,563","19,635","6,824","7,924","14,749","6,946","5,934","12,881","4,648","6,466","11,115","13,650","5,280","18,930","6,909","6,666","13,575","1,020","1,734","2,753",0,0,0,"4,862","2,605","7,467","7,103","7,637","14,740","5,785","7,888","13,673","11,357","6,404","17,761","19,356","5,600","24,956","28,324","6,912","35,236","10,844","6,899","17,743",580,181,761,"30,932","5,911","36,843","10,665","4,632","15,297","7,972","7,782","15,753","12,260","9,803","22,063","7,536","7,162","14,698","5,949","5,719","11,668","5,009","6,308","11,316","4,707","4,717","9,424","7,022","7,441","14,462","11,603","7,164","18,768","3,439","1,218","4,657","2,118",366,"2,484","20,394","3,742","24,136","5,594","1,845","7,439","4,761","2,153","6,914","10,021","3,225","13,246","18,190","7,543","25,734","10,545","5,188","15,733",16302.27,5727.37,22029.64,6129.18,4089.18,"10,218",5736.978,4386.705,"10,124","7,397","4,125","11,522",20280.93,4276.17,24557.1,4861.17,1001.95,5863.12,11266.64,3881.68,15148.32,19904.57,2029.19,21933.76,27776.66,2332,30108.66,13747.67,4442.24,18189.91,11975.28,3538.62,15513.9,7847.92,2924.8,10772.72,5570.91,3010.6,8581.51,12827.62,3975.21,16802.83,4986.66,1024.18,6010.84
MILW,MILWW-1,D,SC,"7,251",27,"7,278","7,680",579,"8,259",1,"2,864","2,865",1,"2,202","2,203",49,"1,819","1,868",4,"2,242","2,246",4,"1,947","1,951","1,388",716,"2,104","2,554",64,"2,618","2,957",78,"3,036","2,148",161,"2,309","2,097",103,"2,200","2,314",257,"2,571","5,268",9,"5,277",883,816,"1,700","3,140",346,"3,486","2,847",198,"3,044","3,601",60,"3,661","3,078",64,"3,142","3,520",75,"3,595","3,893",119,"4,012","4,242",6,"4,248","5,650",1,"5,651","4,358",7,"4,364","4,938",7,"4,944","10,356",5,"10,361","10,356",5,"10,361","8,368",10,"8,379","1,965",194,"2,159","3,215",73,"3,288","1,199",369,"1,568","8,384",1,"8,385","2,114",0,"2,114","8,692",1,"8,693","5,570",1,"5,572","4,709",151,"4,860",848,171,"1,019",744,6,750,"4,601",75,"4,676","1,465",23,"1,487","1,950",87,"2,037","2,997",30,"3,027","4,639",5,"4,644","7,887",37,"7,924","5,393",27,"5,420","2,589",32,"2,621","3,077",31,"3,109","2,985",41,"3,026","3,018",38,"3,056","3,008",29,"3,037","3,052",30,"3,081","3,540",18,"3,559","3,208",15,"3,223","3,377",29,"3,406","3,121",22,"3,143","2,981",13,"2,994","1,990",44,"2,033","2,368",38,"2,405","2,913",21,"2,934","2,360",33,"2,393","3,555",18,"3,573","3,064",34,"3,098","3,008",37,"3,045",2755.99,29.08,2785.07,2932.87,24.97,"2,958",2978.861,27.452,"3,006","3,041",21,"3,062",2414.96,27.93,2442.89,2848.72,25.6,2874.32,2324.3,47.7,2372,2583.78,61.67,2645.45,2900.97,37.74,2938.71,3161.07,39.54,3200.61,2575.37,40.85,2616.22,3378.97,32.84,3411.81,4108.21,5.84,4114.05,2917.66,15.11,2932.77,3272.95,14.17,3287.12
MRWD,MRWD_01Z,D,S,"10,290","2,938","13,228","30,879","2,877","33,757","9,371","2,988","12,358","8,202","3,526","11,728","14,182","3,234","17,416","25,178","2,424","27,602","52,712","1,834","54,546","71,196","1,866","73,062","54,697","1,852","56,549","49,599","1,342","50,941","51,794","2,111","53,905","56,788","3,392","60,180","61,794","4,423","66,216","46,472","4,881","51,354","39,621","3,848","43,469","42,951","4,546","47,497","44,440","5,075","49,514","63,076","3,585","66,661","41,801","4,525","46,326","53,812","4,359","58,171","60,606","3,934","64,541","28,234","2,960","31,194","27,771","2,770","30,541",0,0,0,"1,807",344,"2,151",0,0,0,0,0,0,0,0,0,0,0,0,"16,482","1,897","18,379","40,749","3,051","43,799","39,053","3,658","42,710","55,047","3,144","58,191","38,713","5,321","44,034","51,850","3,043","54,893","61,790","2,824","64,613","54,123","4,609","58,732","19,509","5,376","24,885","53,134","5,170","58,304","33,834","4,611","38,445","34,279","6,938","41,218","64,705","5,117","69,822","65,253","2,493","67,746","64,073","4,720","68,793","51,391","3,828","55,219","67,165","2,729","69,894","47,956","4,035","51,991","26,397","4,809","31,206","32,954","5,006","37,960","32,539","5,724","38,262","25,271","6,091","31,362","21,860","4,437","26,297","16,841","4,022","20,863","14,852","1,561","16,413","36,284","4,586","40,870","56,494","3,054","59,548","64,826","2,681","67,506","32,889","2,780","35,670","29,573","2,558","32,131","46,178","4,081","50,259","30,909","5,292","36,200","25,335","6,972","32,307","35,221","6,798","42,020",40002.7,4513.9,44516.6,23791.8,4369.7,"28,162",20318.6,3952.7,"24,271","39,942","6,703","46,645",16088.9,996.1,17085,8156.2,802.2,8958.4,22243.6,2240.5,24484.1,0,0,0,3257.3,375.5,3632.8,18019.1,4891.7,22910.8,14191.1,3116.5,17307.6,16820.7,2159.1,18979.8,6086.3,2978.9,9065.2,5947.5,1797.6,7745.1,27581.7,3578.3,31160
NATP,ABTHB07Z,D,S,"15,430","3,939","19,369","14,206","4,296","18,503","5,703","4,126","9,829","11,884","4,844","16,728","10,537","3,535","14,072","17,934","2,588","20,522","20,367","2,295","22,662","16,279","3,242","19,521",0,0,0,0,0,0,0,0,0,"4,618","2,065","6,682","4,676","2,472","7,148","10,326","2,617","12,943","21,266","3,745","25,010","18,970","3,786","22,757","12,702","4,249","16,952","20,569","4,592","25,161","19,928","3,479","23,407","19,703","4,345","24,048","12,942","3,571","16,513","11,484","5,484","16,968","3,206","3,479","6,685","10,228","3,411","13,639","16,072","4,000","20,071","11,307","2,569","13,876","11,307","2,569","13,876","19,276","2,903","22,179","15,636","3,425","19,061","11,306","4,464","15,770","9,911","3,598","13,509",21,498,519,"7,825","3,009","10,834","1,625",450,"2,075",702,"2,536","3,238","1,450","3,486","4,936","8,199","3,493","11,692","9,473","3,519","12,993","8,101","2,567","10,668","9,429","5,065","14,494","4,284","4,797","9,080","10,694","2,754","13,448",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,138,173,355,415,770,13,868,881,179,140,319,"1,134","1,654","2,788","1,010",243,"1,253","2,272","1,226","3,498",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,459,329,788,356,161,516,142,129,271,237,19,256,1548.95,1591.75,3140.7,1629.6,868.65,"2,498",278.1,8.65,287,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,279.05,138.15,417.2,0,0,0,185.85,647.65,833.5,0,0,0,0,0,0,0,0,0,0,0,0
