id,Company,Unit,Default/Market,Location,Apr 20 -LEAD,Apr 20 - LAG,Apr 20 - TOTAL,May 20 -LEAD,May 20 - LAG,May 20 - TOTAL,Jun 20 -LEAD,Jun 20 - LAG,Jun 20 - TOTAL,Jul 20 -LEAD,Jul 20 - LAG,Jul 20 - TOTAL,Aug 20 -LEAD,Aug 20 - LAG,Aug 20 - TOTAL,Sep 20 -LEAD,Sep 20 - LAG,Sep 20 - TOTAL,Oct 20 -LEAD,Oct 20 - LAG,Oct 20 - TOTAL,Nov 20 -LEAD,Nov 20 - LAG,Nov 20 - TOTAL,Dec 20 -LEAD,Dec 20 - LAG,Dec 20 - TOTAL,Jan 21 -LEAD,Jan 21 - LAG,Jan 21 - TOTAL,Feb 21 -LEAD,Feb 21 - LAG,Feb 21 - TOTAL,Mar 21 -LEAD,Mar 21 - LAG,Mar 21 - TOTAL,Apr 21 -LEAD,Apr 21 - LAG,Apr 21 - TOTAL,May 21 -LEAD,May 21 - LAG,May 21 - TOTAL,Jun 21 -LEAD,Jun 21 - LAG,Jun 21 - TOTAL,Jul 21 -LEAD,Jul 21 - LAG,Jul 21 - TOTAL,Aug 21 -LEAD,Aug 21 - LAG,Aug 21 - TOTAL,Sep 21 -LEAD,Sep 21 - LAG,Sep 21 - TOTAL,Oct 21 -LEAD,Oct 21 - LAG,Oct 21 - TOTAL,Nov 21 -LEAD,Nov  21 - LAG,Nov  21 - TOTAL,Dec 21 - LEAD,Dec 21 - LAG,Dec 21 - Total,Jan 22 - LEAD,Jan 22 - LAG,Jan 22 - Total,Feb 22 - LEAD,Feb 22 - LAG,Feb 22 - Total,Mar 22 - LEAD,Mar 22 - LAG,Mar 22 - Total,Apr 22 - LEAD,Apr 22 - LAG,Apr 22 - Total,May 22 - LEAD,May 22 - LAG,May 22 - Total,Jun 22 - LEAD,Jun 22 - LAG,Jun 22 - Total,Jul 22 - LEAD,Jul 22 - LAG,Jul 22 - Total,Aug 22 - LEAD,Aug 22 - LAG,Aug 22 - Total,Sep 22 - LEAD,Sep 22 - LAG,Sep 22 - Total,Oct 22 - LEAD,Oct 22 - LAG,Oct 22 - Total,Nov 22 - LEAD,Nov 22 - LAG,Nov 22 - Total,Dec 22 - LEAD,Dec 22 - LAG,Dec 22 - Total,Jan 23 - LEAD,Jan 23 - LAG,Jan 23 - Total,Feb 23 - LEAD,Feb 23 - LAG,Feb 23 - Total,Mar 23 - LEAD,Mar 23 - LAG,Mar 23 - Total,Apr 23 - LEAD,Apr 23 - LAG,Apr 23 - Total,May 23 - LEAD,May 23 - LAG,May 23 - Total,June 23 - LEAD,June 23 - LAG,June 23 - Total,July 23 - LEAD,July 23 - LAG,July 23 - Total,Aug 23 - LEAD,Aug 23 - LAG,Aug 23 - Total,Sep 23 - LEAD,Sep 23 - LAG,Sep 23 - Total,Oct 23 - LEAD,Oct 23 - LAG,Oct 23 - Total,Nov 23 - LEAD,Nov 23 - LAG,Nov 23 - Total,Dec 23 - LEAD,Dec 23 - LAG,Dec 23 - Total,Jan 24 - LEAD,Jan 24 - LAG,Jan 24 - Total,Feb 24 - LEAD,Feb 24 - LAG,Feb 24 - Total,Mar 24 - LEAD,Mar 24 - LAG,Mar 24 - Total,Apr 24 - LEAD,Apr 24 - LAG,Apr 24 - Total,May 24 - LEAD,May 24 - LAG,May 24 - Total,June 24 - LEAD,June 24 - LAG,June 24 - Total,July 24 - LEAD,July 24 - LAG,July 24 - Total,Aug 24 - LEAD,Aug 24 - LAG,Aug 24 - Total,Sep 24 - LEAD,Sep 24 - LAG,Sep 24 - Total,Oct 24 - LEAD,Oct 24 - LAG,Oct 24 - Total,Nov 24 - LEAD,Nov 24 - LAG,Nov 24 - Total,Dec 24 - LEAD,Dec 24 - LAG,Dec 24 - Total
1,NATP,KLYNA01Z,D,M,4315.7,198,4513.7,3026.6,1316.9,4343.5,15097.4,369,15466.4,6853.3,746.4,7599.7,15163,1245.7,16408.7,6516.6,1592.6,8109.2,7394.8,1711,9105.8,14528.7,3738.5,18267.2,5969.2,1787.8,7757,9509.03,1005.41,10514.44,5793.07,758.57,6551.64,8235.47,526.13,8761.6,7566.52,3331.69,10898.21,5400.82,3307.84,8708.66,0,0,0,0,0,0,0,0,0,0,0,0,8169.81,794,8963.81,13202.14,1039.34,14241.48,12598.61,1191.84,13790.45,11008,1482.63,12490.63,4967.34,1140.77,6108.11,3725.14,236.58,3961.72,3660.2,1206.47,4866.67,14351.32,1543.07,15894.39,13728.15,474.89,14203.04,19940.96,2201.14,22142.1,14999.71,487.89,15487.6,7227.31,2481.74,9709.05,6660.09,1122.44,7782.53,2882.99,1072.18,3955.17,6799.88,1300.49,8100.37,3504.31,671.35,4175.66,3176.51,2158.19,5334.7,5543.79,902.25,6446.04,6512.53,438.77,6951.3,562.96,9.68,572.64,0,0,0,8429.63,3398.65,11828.28,11530.5,1399.06,12929.56,11062.7,138.82,11201.52,1449.08,167.65,1616.73,5893.99,567.12,6461.11,5070.07,859.7,5929.77,3023.95,196.28,3220.23,3079.2,1048.35,4127.55,5035.93,398.73,5434.66,1230.87,163.96,1394.83,2394.78,214.42,2609.2,2098.15,528.86,2627.01,0,0,0,0,0,0,487.55,39.33,526.88,2793.81,319.1,3112.91,8337.29,280.65,8617.94,0,0,0
2,CDCL,CDCL_01Z,D,N,34102.53,4038.75,38141.28,31981.14,4079.16,36060.3,27712.17,5464.26,33176.43,19238.04,2766.24,22004.28,27486.63,4244.94,31731.57,32759.55,3649.86,36409.41,18291.78,5268.6,23560.38,19220.67,4928.49,24149.16,16652.7,9774.63,26427.33,8795.16,7927.74,16722.9,11597.49,17085.06,28682.55,25619.67,5694.84,31314.51,38600.64,5756.49,44357.13,28638.54,3419.55,32058.09,35160.57,2768.22,37928.79,36334.44,1249.56,37584,69225.75,1533.42,70759.17,53596.71,1963.26,55559.97,19838.52,3867.3,23705.82,33002.46,4015.8,37018.26,30840.3,5945.85,36786.15,20944.17,6996.6,27940.77,14799.96,8539.02,23338.98,15908.31,1055.7,16964.01,28101.06,5078.61,33179.67,8509.14,5580.18,14089.32,11291.04,6444.81,17735.85,0,0,0,0,0,0,340.56,637.11,977.67,13456.53,12170.16,25626.69,8021.16,29177.73,37198.89,22060.17,17508.96,39569.13,18406.53,17310.87,35717.4,35417.61,6130.35,41547.96,28054.17,5946.66,34000.83,20488.32,11075.04,31563.36,51037.29,2479.59,53516.88,36486,1677.15,38163.15,53056.98,4066.92,57123.9,54080.01,3664.62,57744.63,33324.57,4606.02,37930.59,22609.35,3471.66,26081.01,27961.83,8757.72,36719.55,13341.06,8088.57,21429.63,11040.75,1221.12,12261.87,28717.65,5149.26,33866.91,23540.49,7918.47,31458.96,29438.19,5212.44,34650.63,60389.55,3304.17,63693.72,27797.49,2881.98,30679.47,29959.74,2548.89,32508.63,0,0,0,292.5,6088.32,6380.82,3567.42,3417.48,6984.9,82.08,6477.48,6559.56,4364.1,4637.88,9001.98
3,CLAN,LAGA_01Z,D,N,2210.4,466.7,2677.1,0,0,0,12231.5,1734.7,13966.2,8241.5,6193.1,14434.6,12485.3,5356.2,17841.5,10358.4,6223.8,16582.2,5965.2,6955.4,12920.6,6238.8,4564.9,10803.7,5474,8960.2,14434.2,5390,5133,10523,10681.8,7952.2,18634,10428.8,3531.7,13960.5,798,192.7,990.7,3355.6,3736.4,7092,18742.6,5293.7,24036.3,18832.5,5265.9,24098.4,7870.3,4014.6,11884.9,24747.3,5115.3,29862.6,12243.3,7951.4,20194.7,12436.3,7152.7,19589,7290.3,10526.1,17816.4,6274.1,12858.3,19132.4,6516.6,5079.2,11595.8,18869.1,5340.8,24209.9,14721,3651.8,18372.8,4398.1,7413.4,11811.5,0,0,0,6241.4,821.3,7062.7,48202.7,1752.3,49955,18020.9,6139,24159.9,61760.7,2329.4,64090.1,12964.6,975.7,13940.3,6.5,4.5,11,12.3,29.8,42.1,9925.6,880.7,10806.3,39741,3124.4,42865.4,43580,918.8,44498.8,4787.6,43.4,4831,0,0,0,0,0,0,4194.6,361.9,4556.5,4037.9,434,4471.9,35384.2,5420.2,40804.4,24684.5,3148.8,27833.3,33695.2,4533.3,38228.5,30228.7,1940.8,32169.5,34537.2,3202,37739.2,39102.2,5457.3,44559.5,54115.2,835.1,54950.3,6434.3,1766.1,8200.4,0,0,0,0,0,0,0,0,0,0,0,0,341.3,328.3,669.6,9854.8,2185.5,12040.3,11288.4,5213.7,16502.1
4,CORB,CORB_01Z,D,M,0,0,0,5.38,1.68,7.06,0,0,0,28.18,0,28.18,0,0,0,0,0,0,34.68,0.26,34.94,99.55,73.1,172.65,226.08,18.5,244.58,37.03,0.14,37.17,125.14,4.85,129.99,145.54,0,145.54,263.57,9,272.57,0,0,0,48.12,0,48.12,12.29,0,12.29,51.7,0.29,51.99,727.92,64.25,792.17,129.5,0,129.5,384.84,109.87,494.71,185.23,0,185.23,739.87,7.54,747.41,12.48,0,12.48,0,0,0,0,25.13,25.13,0,0,0,201.55,1.3,202.85,301.73,97.46,399.19,125.64,1.7,127.34,111.38,50.45,161.83,0.02,0,0.02,57.1,21.22,78.32,99.12,2.81,101.93,107.47,25.54,133.01,74.93,58.82,133.75,0,0,0,0,0,0,29.14,0,29.14,0,0,0,0,0,0,0,0,0,633.14,0,633.14,0,0,0,0,0,0,0,0,0,0,0,0,63.65,43.85,107.5,51.79,77.98,129.77,8.93,0,8.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.48,0,3.48,117.02,3.48,120.5,202.27,9.38,211.65
5,CORY,COSO_01Z,D,S,21520.45,950.35,22470.8,11415.3,524.05,11939.35,17353.35,403.8,17757.15,31655.1,2328.9,33984,12578.2,900.35,13478.55,5691.95,881.2,6573.15,13903.7,2696.7,16600.4,7369.05,1990.75,9359.8,6596.35,1810.6,8406.95,8636.6,2616.1,11252.7,4399.3,1012.7,5412,8484.45,2659.95,11144.4,10195.3,1046.85,11242.15,14369.1,986.65,15355.75,0,0,0,0,0,0,338.15,0,338.15,4024.9,393.2,4418.1,6649.5,928.15,7577.65,2951.4,3706.05,6657.45,6096.15,3281.1,9377.25,4244.1,2257.2,6501.3,2277.75,428.45,2706.2,4902.95,1698.15,6601.1,5593.55,614.85,6208.4,1583.8,307.05,1890.85,5470.6,3563.5,9034.1,6620.8,5191.75,11812.55,3764.25,1389.3,5153.55,2032.5,541.8,2574.3,1524.1,159.5,1683.6,4753.6,1001.3,5754.9,2952.75,307.1,3259.85,3267.65,893,4160.65,1659.25,32.4,1691.65,1303,43.95,1346.95,3815.85,874.55,4690.4,3813.45,41.2,3854.65,5243.2,272.2,5515.4,5052.45,2869.45,7921.9,3169.7,155.8,3325.5,2643.1,327.55,2970.65,848,113.45,961.45,4167.85,1636.3,5804.15,3239.6,850.85,4090.45,2905.25,833.8,3739.05,3686.55,506.85,4193.4,6564.9,3223.5,9788.4,2843.4,669.35,3512.75,1913,775.4,2688.4,6624.55,249.7,6874.25,594.85,237.35,832.2,1412.25,2063.85,3476.1,1347.7,222.65,1570.35,6143.15,2994.7,9137.85,7437.55,4140.3,11577.85,7189.55,3338.6,10528.15
6,VPIL,DAMC_01Z,D,S,19341.86,2882.12,22223.98,10661.9,1989.77,12651.67,0,0,0,0,0,0,0,0,0,9122.36,2365.47,11487.83,4819.37,2489.54,7308.91,11151,7571.75,18722.75,8438.99,4638.33,13077.32,9197.82,5559.71,14757.53,6458.67,5062.5,11521.17,6573.15,4153.01,10726.16,11406.83,5173.07,16579.9,9350.24,2302.83,11653.07,0,0,0,437.27,338.31,775.58,59418.77,3670.11,63088.88,24082.92,5079.38,29162.3,7569.18,3393.63,10962.81,10457.37,3480.03,13937.4,15309.27,3317.63,18626.9,8512.16,5908.28,14420.44,7351.56,2211.03,9562.59,5758.7,2417.18,8175.88,11157.75,2969.73,14127.48,20541.2,5985.09,26526.29,3949.56,1040.04,4989.6,0,0,0,15612.91,0,15612.91,13028.46,0,13028.46,11016.66,0,11016.66,11123.46,0,11123.46,9426.37,0,9426.37,3680.88,0,3680.88,2475,0,2475,5376.2,0,5376.2,3144.99,0,3144.99,0,0,0,8159.43,0,8159.43,25873.76,0,25873.76,13071.94,0,13071.94,7437.29,0,7437.29,8854.04,0,8854.04,5533.54,0,5533.54,7075.11,0,7075.11,4151.04,0,4151.04,3582.25,0,3582.25,11130.68,0,11130.68,4190.27,0,4190.27,4322.09,0,4322.09,3984.17,0,3984.17,2249.88,0,2249.88,6870.52,0,6870.52,0,0,0,5577.28,0,5577.28,9364.53,0,9364.53,13209.15,0,13209.15
7,DPGL,CNQPS01Z,D,N,0,0,0,136.27,1.83,138.1,17167.88,1029.36,18197.24,11272.78,440.62,11713.4,8503.17,1343.73,9846.9,13903.22,1456.12,15359.34,6421.72,772.76,7194.48,6498.01,221.38,6719.39,8222.95,484.09,8707.04,5365.08,860.9,6225.98,4303.59,778.93,5082.52,5712.4,210.67,5923.07,5420.96,530.84,5951.8,6425.69,92.99,6518.68,4375.35,549.36,4924.71,5643.41,631.51,6274.92,1233.41,0,1233.41,7726.07,130.16,7856.23,3695.9,51.79,3747.69,806.9,330.12,1137.02,6562.96,1552.07,8115.03,6662.69,1126.63,7789.32,3077.11,393.69,3470.8,5001.82,751.09,5752.91,10604.98,423.8,11028.78,27373.06,964.72,28337.78,9267.36,969.51,10236.87,2568.32,373.59,2941.91,14297.91,1330.06,15627.97,4412.77,598.88,5011.65,19044.08,994.71,20038.79,9711.58,1561.46,11273.04,9464.36,690.42,10154.78,5965.91,1683.17,7649.08,6222.38,528.26,6750.64,7064.44,723.18,7787.62,4541.36,3.15,4544.51,4108.29,0,4108.29,11353.73,409.12,11762.85,9509.28,411.89,9921.17,1338.75,54.24,1392.99,1960.31,633.02,2593.33,3418.13,203.74,3621.87,6372.95,1127.7,7500.65,3380.96,475.84,3856.8,5367.1,1074.34,6441.44,5604.23,454.17,6058.4,4789.89,1039,5828.89,2569.08,529.83,3098.91,164.12,0,164.12,0,0,0,320.04,59.47,379.51,3082.72,496.94,3579.66,2295.41,468.09,2763.5,2744.47,429.47,3173.94,4786.05,683.3,5469.35,5768.28,436.65,6204.93
8,DPGL,CNQPS02Z,D,N,4785.67,0.32,4785.99,5042.65,23.18,5065.83,5844.64,154.29,5998.93,1072.58,0.06,1072.64,2656.33,138.73,2795.06,6124.99,951.55,7076.54,6574.05,748.88,7322.93,1945.82,636.8,2582.62,8906.75,1389.53,10296.28,5179.86,316.89,5496.75,6197.56,1367.79,7565.35,6975.55,644.05,7619.6,8791.71,689.6,9481.31,9699.42,342.85,10042.27,6891.95,35.91,6927.86,6200.33,464.06,6664.39,11988.02,678.13,12666.15,29.99,0,29.99,2940.71,110,3050.71,9989.15,1162.92,11152.07,8818.68,782.96,9601.64,9357.39,1855.1,11212.49,6556.1,1201.41,7757.51,88.33,37.86,126.19,1961.19,190.76,2151.95,0,0,0,208.22,39.88,248.1,38.62,31.44,70.06,0,0,0,0,0,0,2.77,0,2.77,1.51,0,1.51,9689.46,1013.54,10703,8655.07,2295.97,10951.04,9384.73,210.11,9594.84,6158.44,553.27,6711.71,6405.46,446.17,6851.63,7704.52,340.83,8045.35,2475.14,10.96,2486.1,0,0,0,0,0,0,6239.9,385.62,6625.52,22020.26,780.13,22800.39,6374.53,234.86,6609.39,1762.11,524.48,2286.59,5433.94,281.36,5715.3,4097.65,339.57,4437.22,7377.05,1185.09,8562.14,3514.39,165.31,3679.7,8938.57,227.3,9165.87,3233.79,293.27,3527.06,4041.2,29.3,4070.5,1548.04,178.04,1726.08,4520.57,738.05,5258.62,5151.89,1243.56,6395.45,4886.28,1254.39,6140.67,6331.63,327.03,6658.66
9,DPGL,CNQPS03Z,D,N,7348.51,171.68,7520.19,2682.41,0,2682.41,6376.1,357.65,6733.75,4663.2,49.58,4712.78,4.66,0,4.66,0,0,0,0,0,0,3339.13,1337.49,4676.62,6739.55,518.81,7258.36,8303.02,2138.54,10441.56,2729.54,458.2,3187.74,6103.44,188.43,6291.87,3896.11,294.4,4190.51,11169.4,808.16,11977.56,2783.34,57.08,2840.42,6288.47,180.81,6469.28,10570.52,1128.39,11698.91,13904.42,935.61,14840.03,9876.07,769.61,10645.68,8117.3,1454.92,9572.22,7314.36,1582.06,8896.42,4098.28,1058.72,5157,0,0,0,2549.55,498.65,3048.2,3217.16,891.95,4109.11,19232.83,433.38,19666.21,10496.24,1155.11,11651.35,6264.66,599.57,6864.23,14777.6,2390.54,17168.14,12144.76,1758.02,13902.78,5694.89,659.11,6354,12259.67,970.01,13229.68,10956.46,1412.59,12369.05,7717.94,1326.91,9044.85,10620.35,704.78,11325.13,7418.75,800.86,8219.61,13725.43,638.06,14363.49,379.64,5.23,384.87,0,0,0,17131.15,802.05,17933.2,9047.93,619.54,9667.47,8442.25,430.61,8872.86,2808.04,275.31,3083.35,2121.21,569.27,2690.48,4790.96,531.41,5322.37,2281.73,60.1,2341.83,1952.31,222.64,2174.95,3287.66,1005.48,4293.14,4399.04,209.54,4608.58,2265.29,165.5,2430.79,5196.74,474.89,5671.63,4185.15,497.95,4683.1,3030.99,187.43,3218.42,4748.18,640.9,5389.08,3135.38,721.41,3856.79,5513.76,1051.16,6564.92,3124.99,339.07,3464.06
10,DPGL,CNQPS04Z,D,N,10169.71,387.45,10557.16,15823.9,200.47,16024.37,95.57,0,95.57,424.56,73.9,498.46,10081.45,975.37,11056.82,6229,1746.68,7975.68,4576.01,344.48,4920.49,5508.28,914.38,6422.66,9540.66,841.49,10382.15,5738.86,1043.09,6781.95,3363.57,687.08,4050.65,7098.59,476.03,7574.62,72.64,0,72.64,0,0,0,0,0,0,919.8,161.53,1081.33,8678.5,644.55,9323.05,8612.23,1134.38,9746.61,13923.44,1468.72,15392.16,4581.42,1679.33,6260.75,13916.39,1409.31,15325.7,5712.08,900.9,6612.98,32.07,25.14,57.21,4481,512.25,4993.25,9770.17,651.86,10422.03,20055.55,590.75,20646.3,9653.81,889.69,10543.5,5664.9,122.85,5787.75,12060.85,2470.73,14531.58,8496.87,1036.04,9532.91,19549.22,535.75,20084.97,13296.65,1303.72,14600.37,11861.2,1282.11,13143.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9525.6,595.85,10121.45,2633.9,407.99,3041.89,2696.9,230.64,2927.54,6297.54,749.32,7046.86,4588.42,309.96,4898.38,4169.28,313.11,4482.39,2374.16,503.06,2877.22,2983.24,85.68,3068.92,2508.66,73.9,2582.56,2792.79,508.79,3301.58,2372.77,90.22,2462.99,2968.5,131.23,3099.73,2398.16,203.99,2602.15,1030.18,235.81,1265.99,0,0,0,3571.03,311.03,3882.06,3445.22,263.59,3708.81,3924.4,1234.55,5158.95,2884.64,136.9,3021.54
