id,Company,Unit,Default/Market,Location,Apr 20 -LEAD,Apr 20 - LAG,Apr 20 - TOTAL,May 20 -LEAD,May 20 - LAG,May 20 - TOTAL,Jun 20 -LEAD,Jun 20 - LAG,Jun 20 - TOTAL,Jul 20 -LEAD,Jul 20 - LAG,Jul 20 - TOTAL,Aug 20 -LEAD,Aug 20 - LAG,Aug 20 - TOTAL,Sep 20 -LEAD,Sep 20 - LAG,Sep 20 - TOTAL,Oct 20 -LEAD,Oct 20 - LAG,Oct 20 - TOTAL,Nov 20 -LEAD,Nov 20 - LAG,Nov 20 - TOTAL,Dec 20 -LEAD,Dec 20 - LAG,Dec 20 - TOTAL,Jan 21 -LEAD,Jan 21 - LAG,Jan 21 - TOTAL,Feb 21 -LEAD,Feb 21 - LAG,Feb 21 - TOTAL,Mar 21 -LEAD,Mar 21 - LAG,Mar 21 - TOTAL,Apr 21 -LEAD,Apr 21 - LAG,Apr 21 - TOTAL,May 21 -LEAD,May 21 - LAG,May 21 - TOTAL,Jun 21 -LEAD,Jun 21 - LAG,Jun 21 - TOTAL,Jul 21 -LEAD,Jul 21 - LAG,Jul 21 - TOTAL,Aug 21 -LEAD,Aug 21 - LAG,Aug 21 - TOTAL,Sep 21 -LEAD,Sep 21 - LAG,Sep 21 - TOTAL,Oct 21 -LEAD,Oct 21 - LAG,Oct 21 - TOTAL,Nov 21 -LEAD,Nov  21 - LAG,Nov  21 - TOTAL,Dec 21 - LEAD,Dec 21 - LAG,Dec 21 - Total,Jan 22 - LEAD,Jan 22 - LAG,Jan 22 - Total,Feb 22 - LEAD,Feb 22 - LAG,Feb 22 - Total,Mar 22 - LEAD,Mar 22 - LAG,Mar 22 - Total,Apr 22 - LEAD,Apr 22 - LAG,Apr 22 - Total,May 22 - LEAD,May 22 - LAG,May 22 - Total,Jun 22 - LEAD,Jun 22 - LAG,Jun 22 - Total,Jul 22 - LEAD,Jul 22 - LAG,Jul 22 - Total,Aug 22 - LEAD,Aug 22 - LAG,Aug 22 - Total,Sep 22 - LEAD,Sep 22 - LAG,Sep 22 - Total,Oct 22 - LEAD,Oct 22 - LAG,Oct 22 - Total,Nov 22 - LEAD,Nov 22 - LAG,Nov 22 - Total,Dec 22 - LEAD,Dec 22 - LAG,Dec 22 - Total,Jan 23 - LEAD,Jan 23 - LAG,Jan 23 - Total,Feb 23 - LEAD,Feb 23 - LAG,Feb 23 - Total,Mar 23 - LEAD,Mar 23 - LAG,Mar 23 - Total,Apr 23 - LEAD,Apr 23 - LAG,Apr 23 - Total,May 23 - LEAD,May 23 - LAG,May 23 - Total,June 23 - LEAD,June 23 - LAG,June 23 - Total,July 23 - LEAD,July 23 - LAG,July 23 - Total,Aug 23 - LEAD,Aug 23 - LAG,Aug 23 - Total,Sep 23 - LEAD,Sep 23 - LAG,Sep 23 - Total,Oct 23 - LEAD,Oct 23 - LAG,Oct 23 - Total,Nov 23 - LEAD,Nov 23 - LAG,Nov 23 - Total,Dec 23 - LEAD,Dec 23 - LAG,Dec 23 - Total,Jan 24 - LEAD,Jan 24 - LAG,Jan 24 - Total,Feb 24 - LEAD,Feb 24 - LAG,Feb 24 - Total,Mar 24 - LEAD,Mar 24 - LAG,Mar 24 - Total,Apr 24 - LEAD,Apr 24 - LAG,Apr 24 - Total,May 24 - LEAD,May 24 - LAG,May 24 - Total,June 24 - LEAD,June 24 - LAG,June 24 - Total,July 24 - LEAD,July 24 - LAG,July 24 - Total,Aug 24 - LEAD,Aug 24 - LAG,Aug 24 - Total,Sep 24 - LEAD,Sep 24 - LAG,Sep 24 - Total,Oct 24 - LEAD,Oct 24 - LAG,Oct 24 - Total,Nov 24 - LEAD,Nov 24 - LAG,Nov 24 - Total,Dec 24 - LEAD,Dec 24 - LAG,Dec 24 - Total
48,NATP,PEMB_41Z,D,S,29410.5,1936.25,31346.75,15801.05,4502.65,20303.7,26748.75,2544.6,29293.35,2380.2,2768.95,5149.15,1721.75,743.15,2464.9,10567.6,2752,13319.6,13657.5,2916.3,16573.8,18188.5,2666.65,20855.15,17708.35,1969.85,19678.2,10766.45,3612.4,14378.85,18048.05,2692.4,20740.45,13877.15,3325.6,17202.75,25507.75,1249,26756.75,11306.35,2326.25,13632.6,9689.3,2497.1,12186.4,11390.6,1579,12969.6,4573.55,1927.7,6501.25,10281.45,1223.45,11504.9,11985.2,4549.9,16535.1,6866.2,2995.65,9861.85,8484.05,4319.65,12803.7,12138.5,2411.4,14549.9,6349.25,2884.15,9233.4,11348.9,2351.5,13700.4,15734.45,1550.5,17284.95,24856,1574.35,26430.35,11877.1,2071.25,13948.35,15403.25,1038.45,16441.7,11789.95,1652.8,13442.75,16704.05,1117.65,17821.7,24817.05,3464.65,28281.7,19338.85,1873.75,21212.6,8350.05,2234.95,10585,7145.9,2994.75,10140.65,10121.35,4346,14467.35,33763.2,3365.15,37128.35,16717.45,1660.25,18377.7,32817.65,1641.75,34459.4,19060.8,979.4,20040.2,29202.55,1468.3,30670.85,25004.45,998.9,26003.35,29701.45,1696.15,31397.6,31409.2,3315.15,34724.35,15090.8,3875.55,18966.35,36485.45,4658.9,41144.35,13500.95,2896.7,16397.65,12034.95,2929.8,14964.75,20025.75,2813.15,22838.9,58636,1333.15,59969.15,50621,1382.9,52003.9,33501.85,2404.65,35906.5,19016.35,2711.15,21727.5,0,0,0,10057,1307.15,11364.15,9370.8,2915.75,12286.55,16729.85,2407.55,19137.4,7200.2,2119.1,9319.3
49,NATP,PEMB_51Z,D,S,27804.5,3054.6,30859.1,10268.1,5138.1,15406.2,0,0,0,9336.5,4843.45,14179.95,12362.3,2338.95,14701.25,9343.3,3240.3,12583.6,6065,3857.8,9922.8,10400.35,2706,13106.35,11660.25,3006.55,14666.8,7832.5,3488.75,11321.25,6636.95,2666.5,9303.45,17001.45,1778.5,18779.95,19113.1,1173.4,20286.5,3646.15,403.05,4049.2,7153.05,750.5,7903.55,16595.45,2023.65,18619.1,35769.65,2366.85,38136.5,24627.15,2966.5,27593.65,15328.25,4473,19801.25,5637.4,3486.5,9123.9,16934.9,3450.3,20385.2,18873.95,1982.25,20856.2,18586.95,1452.45,20039.4,19525.85,1203.55,20729.4,22565.1,728.2,23293.3,19524.5,1942.2,21466.7,8411.6,4037,12448.6,12800.7,1242.75,14043.45,12313.35,911.35,13224.7,19551.8,1119.9,20671.7,35170.3,2390.1,37560.4,26722.3,1172.55,27894.85,25340.45,1255.7,26596.15,21387.1,1523.65,22910.75,14090.75,3635.6,17726.35,16062.8,3078.4,19141.2,23518.2,2825.4,26343.6,44015.25,570.8,44586.05,22513.15,973,23486.15,17093.05,1201.4,18294.45,28037.8,1054.85,29092.65,27992.1,739.15,28731.25,27969.3,2999.05,30968.35,22128.25,3366.8,25495.05,18142.05,4203.65,22345.7,41824.4,2971.45,44795.85,15500.4,2038.15,17538.55,17742.65,3352.5,21095.15,66905.95,763.75,67669.7,15924.35,766.05,16690.4,0,0,0,29565.1,3579.65,33144.75,21056,2239.4,23295.4,40419.45,4468.15,44887.6,11649.5,2464.35,14113.85,32478.45,1016.1,33494.55,23902.6,1891.65,25794.25
50,NATP,STAY_01Z,D,N,7643.8,3152.4,10796.2,1837.6,3345.15,5182.75,6684.55,3715,10399.55,9348.4,5164.1,14512.5,13334.9,3268.5,16603.4,10700.15,4349.4,15049.55,5493.5,3359.85,8853.35,2663.3,4927.1,7590.4,1924.1,8112.55,10036.65,4813.3,4901.55,9714.85,2304.5,4991.55,7296.05,10460.35,5433.95,15894.3,20531.1,1964.25,22495.35,20738.7,3621.7,24360.4,10843.4,3387.65,14231.05,13368.75,3327.9,16696.65,1713.55,2428.05,4141.6,14750.5,3024.95,17775.45,9677.05,3847.4,13524.45,1790.4,374.2,2164.6,6120.15,2851.8,8971.95,17529.1,3391.55,20920.65,12666.85,3567.35,16234.2,21189.15,3036.2,24225.35,25258.1,2557.45,27815.55,25960.9,3114.1,29075,5738.7,4153.2,9891.9,8820.1,5136.5,13956.6,16182.35,6507.2,22689.55,12133.2,2591.45,14724.65,9422.1,6317.5,15739.6,5152.7,5565.8,10718.5,7555.05,4846.05,12401.1,2486.8,6967.4,9454.2,6964.95,5775.05,12740,14024.8,3805.1,17829.9,17466.15,4196.2,21662.35,0,0,0,1350.5,2166.55,3517.05,14203.1,2058.8,16261.9,32438.85,2774.65,35213.5,22033.55,2886.4,24919.95,9426.4,4650.25,14076.65,3372.5,7139.75,10512.25,2675.95,6633.8,9309.75,5973.6,3211.05,9184.65,10063.5,3315,13378.5,7835.95,5205.05,13041,4398.75,3231.95,7630.7,4543.95,3806.45,8350.4,2293.6,2784.15,5077.75,1152.5,2891.75,4044.25,315.25,4158.55,4473.8,3229.6,3968.85,7198.45,2764.7,4391.65,7156.35,3964.35,6193.15,10157.5,3188.55,5263.65,8452.2
51,NATP,STAY_02Z,D,N,3459.7,2966.8,6426.5,10277.1,3148.85,13425.95,1895.2,2508.5,4403.7,12340.3,3296.95,15637.25,508.05,320,828.05,2375.35,716.7,3092.05,13235.7,2570.95,15806.65,12224.25,3558.9,15783.15,4190.85,6908.4,11099.25,8499.5,4189.15,12688.65,11885,4664.15,16549.15,12320.4,4810.75,17131.15,16576.45,3178.65,19755.1,39353.9,1942.55,41296.45,29910.65,1682.6,31593.25,25699.6,1025.3,26724.9,20206.1,2114.55,22320.65,31200.55,2006.9,33207.45,35954.95,2509.8,38464.75,9627.35,5145.75,14773.1,7665.2,5217.6,12882.8,8982.5,3844.75,12827.25,3477.55,4281.85,7759.4,20486.65,3471.15,23957.8,31822.4,2178.05,34000.45,20288.55,3553.15,23841.7,6331.65,3618.95,9950.6,1059.35,1248,2307.35,14270.65,6062.9,20333.55,20713.65,2429.75,23143.4,16240.95,6822.6,23063.55,7578.7,10238.3,17817,5929.75,5327.55,11257.3,7833.4,5900.95,13734.35,12255.1,4074.95,16330.05,5342.25,3137.85,8480.1,15745,4409.2,20154.2,24549.65,1883.25,26432.9,33698,1781.15,35479.15,34631.65,2588.8,37220.45,31015.85,1356.05,32371.9,0,0,0,8148.55,4055.4,12203.95,3685.95,7597.05,11283,6027.2,6320.7,12347.9,7061.3,3113.65,10174.95,13941.15,2934.6,16875.75,10017.55,5040.1,15057.65,10268.45,3213.4,13481.85,12654.4,3208.7,15863.1,16768.85,2712.35,19481.2,2514.75,2122,4636.75,727.45,4544.05,5271.5,5800.5,3504.75,9305.25,4287.8,4740.7,9028.5,8279.45,4709.5,12988.95,3969.25,3571.95,7541.2
52,NATP,STAY_03Z,D,N,32474.35,2790.5,35264.85,339.2,4089.7,4428.9,2239.45,4649.45,6888.9,8649.9,4313.5,12963.4,18516.2,2868.2,21384.4,2684.5,2267.95,4952.45,5052.3,3161.55,8213.85,1704.3,6089.75,7794.05,4021.8,10249.25,14271.05,5597.15,6212,11809.15,4040.15,7049,11089.15,9474,5291.95,14765.95,19551.05,2060.15,21611.2,0.75,296.55,297.3,0,0,0,8042.5,2699.7,10742.2,12691.75,3716.5,16408.25,23781.9,2199.15,25981.05,13746.05,3900.15,17646.2,12818.25,4612.65,17430.9,10037.85,4428.25,14466.1,15363.1,3505.5,18868.6,5595.7,6664.5,12260.2,19247.25,3206.3,22453.55,22853.95,3254.15,26108.1,20419.45,3831.8,24251.25,4014.65,2617.1,6631.75,10457.5,6083.85,16541.35,4988.55,3214.5,8203.05,1862.45,1400.75,3263.2,12365.45,6593.85,18959.3,8228.4,12562.35,20790.75,5528.9,6938.7,12467.6,3333.65,7653.15,10986.8,15467.05,6044.75,21511.8,10481.35,5242.25,15723.6,14598.6,7701.5,22300.1,37301.45,2914.25,40215.7,21829.75,1936.05,23765.8,25380.5,2711.7,28092.2,34158.35,3201.7,37360.05,17304.6,2866.9,20171.5,4130.15,4117.9,8248.05,5588.9,8216.8,13805.7,3736.3,9492.15,13228.45,8814.8,4429.1,13243.9,14869.85,4823,19692.85,4727.05,7996.1,12723.15,837.95,2346.1,3184.05,6453.9,5266.85,11720.75,5039.5,3938.25,8977.75,5936.2,4198.1,10134.3,2959.15,5383.3,8342.45,5169.75,4332.5,9502.25,1362.45,5069.45,6431.9,2367.45,4862.15,7229.6,4844,5133.95,9977.95
53,NATP,STAY_04Z,D,N,6832.3,4177.3,11009.6,5885.8,3033.1,8918.9,2030.95,2740.35,4771.3,15186.55,4720.95,19907.5,13552.5,3203.9,16756.4,19692.4,3718.55,23410.95,9237,4660.95,13897.95,852.55,1718.55,2571.1,344.3,2811.85,3156.15,6048.95,4753.7,10802.65,3385.9,6053.4,9439.3,10477.15,3560.5,14037.65,23491.05,2340.35,25831.4,23575.25,2985.55,26560.8,7410.9,3420.2,10831.1,20004.25,2639.05,22643.3,26200.15,2689.95,28890.1,15266.25,1526.9,16793.15,7273.55,2228.4,9501.95,18794.35,3840.95,22635.3,17103.5,4187.1,21290.6,12899.15,4013.8,16912.95,3972.6,4946.5,8919.1,17227.25,3547.55,20774.8,887.85,285.7,1173.55,21658.6,3256.5,24915.1,5974.2,3913.6,9887.8,5779.25,4617.95,10397.2,14881.6,6324.5,21206.1,20114.85,2672.7,22787.55,10197.6,5939.1,16136.7,4907,4586.05,9493.05,6592.85,3745.6,10338.45,3918,6294.45,10212.45,3361.85,3727.95,7089.8,11373.7,3629.2,15002.9,14385.35,5428.55,19813.9,36719.15,2220,38939.15,21169.45,1433.05,22602.5,0,0,0,10689,1866.3,12555.3,21317.75,2784.25,24102,25473.95,4699.3,30173.25,4601.35,6646.65,11248,2505.8,5066.25,7572.05,17783.05,3400.65,21183.7,10515.6,3956.85,14472.45,3354.9,5351.15,8706.05,18016.4,3531.65,21548.05,23515.4,2927.65,26443.05,2170.5,2713.6,4884.1,7580.2,3503.5,11083.7,2379.1,5049.2,7428.3,17509.75,3855.65,21365.4,15257.4,4915.1,20172.5,13605.95,5285.65,18891.6,3591.95,3025.55,6617.5
54,NELC,HEYM101Z,D,N,80196.45,705.65,80902.1,55738.45,525.05,56263.5,30289.35,1340.85,31630.2,54373.6,1548.85,55922.45,23342.25,1454.9,24797.15,34471.3,2830.35,37301.65,0,0,0,0,0,0,1.9,0,1.9,17505.95,2899.65,20405.6,23713.95,1069.7,24783.65,26938.95,1451.85,28390.8,26859.5,58.05,26917.55,39547.95,206.35,39754.3,17454.7,262.55,17717.25,25823.65,439.1,26262.75,63.25,0,63.25,11.65,0,11.65,6326.2,196.15,6522.35,26256.15,6994.45,33250.6,34253.35,10358.55,44611.9,17512.5,17491.05,35003.55,47.25,0,47.25,28233.35,2658.75,30892.1,63223.9,12082,75305.9,77642.75,7102.45,84745.2,56397.75,1570.85,57968.6,62653.5,1109.45,63762.95,24000.15,1457.85,25458,66068.05,200,66268.05,62807.25,14118,76925.25,47054.6,21350,68404.6,45641.65,24932.55,70574.2,21711.25,35590,57301.25,35607.7,18089.5,53697.2,30559.45,2385.8,32945.25,30450.2,16238.6,46688.8,82761.9,1055.2,83817.1,72054.65,626.1,72680.75,73778.85,1774.25,75553.1,84687.75,6169.7,90857.45,37477.7,19903.15,57380.85,2476.5,164.05,2640.55,0,0,0,3749.7,0,3749.7,14800.75,1141.85,15942.6,7.9,0.15,8.05,2.6,0,2.6,19436.5,18410.7,37847.2,43952.85,2530.3,46483.15,28943.85,4091.6,33035.45,39380.55,6223.45,45604,23563.65,7838.2,31401.85,14172.45,358.25,14530.7,17569.3,12379.8,29949.1,16059.25,8544,24603.25,30675.65,17004.85,47680.5
55,NELC,HEYM102Z,D,N,79312.65,1035.55,80348.2,71665.45,301.65,71967.1,45807.35,1316,47123.35,53065.7,1394.45,54460.15,20648.5,1383.2,22031.7,12840.9,1332.7,14173.6,37654.2,3811.8,41466,43854.7,2761.3,46616,38884.25,4029.35,42913.6,25909.7,3576.85,29486.55,21349,36895.65,58244.65,18524.9,11658.5,30183.4,62821.4,5746.15,68567.55,93093.55,1071.35,94164.9,56089.75,490.15,56579.9,17784.95,188.6,17973.55,5.2,0,5.2,33090.65,834.35,33925,880.5,194.7,1075.2,20853.05,5796.95,26650,32060.8,10782.35,42843.15,17685.6,16554.45,34240.05,14054.85,24023.25,38078.1,8396.8,9270.75,17667.55,0,0,0,0,0,0,54131.95,2457.3,56589.25,75742.05,205.15,75947.2,57003.6,2717.5,59721.1,62900.25,366.3,63266.55,7257.8,0,7257.8,26594.55,1223.8,27818.35,44865.85,23588.95,68454.8,16300.65,25962.75,42263.4,17956.95,4048.75,22005.7,43722.45,13035.35,56757.8,38996.2,18707.15,57703.35,84069.4,576.35,84645.75,75258.9,521.85,75780.75,48252.65,853.1,49105.75,13636.65,286,13922.65,35155.75,22379.55,57535.3,57194,20501.95,77695.95,15625.75,324.45,15950.2,60708.35,13558.45,74266.8,6.9,0,6.9,4.7,0.05,4.75,18.95,0,18.95,38014.6,7145.5,45160.1,41848.7,1688,43536.7,23055.1,3001.9,26057,12218.55,2195.35,14413.9,20980.05,6852.45,27832.5,40813.4,838.05,41651.45,14244.35,10236.8,24481.15,9245.85,6093.7,15339.55,0,0,0
56,NELC,HEYM207Z,D,N,0,24.5,24.5,0,3.6,3.6,0,13.65,13.65,0,0,0,0,0,0,0,382.4,382.4,0,0.85,0.85,0,0,0,0,0.6,0.6,0,0,0,0,0,0,0,331.7,331.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32005.7,129.9,32135.6,87548.35,307.45,87855.8,76362.8,0,76362.8,19086.4,326.55,19412.95,85026,0,85026,46663.4,80,46743.4,17122.15,0.55,17122.7,64504.35,0,64504.35,111349.25,0,111349.25,81865.65,0,81865.65,61082.7,0,61082.7,106059.15,0,106059.15,105470.95,0,105470.95,46483.8,0,46483.8,15.65,231.1,246.75,99766.85,36.55,99803.4,113136.65,0,113136.65,100472.2,0,100472.2,35552.9,3740.8,39293.7,114615.65,0,114615.65,135620.75,0,135620.75,84602.85,451.5,85054.35,85868.85,0,85868.85,31923.25,664.45,32587.7,114817.5,0,114817.5,131192.15,0,131192.15,122679.85,0,122679.85,92182.25,6.2,92188.45,124141.7,0,124141.7,116298.05,0,116298.05,33571.9,298.45,33870.35,114454.15,0,114454.15,32665.45,0,32665.45,71271.9,260.45,71532.35,118543.1,0,118543.1,116390.05,0.05,116390.1,77853.6,0,77853.6,95929.5,493.15,96422.65,111281.1,0,111281.1,101387.25,236.55,101623.8
57,NELC,HEYM208Z,D,N,24424.5,264.9,24689.4,95391,0,95391,80417.65,0,80417.65,84887.55,0,84887.55,91127.9,0,91127.9,64628.5,53.9,64682.4,78940.45,0,78940.45,80556.5,0,80556.5,71416.75,0,71416.75,67197.6,0,67197.6,24720.45,2735.2,27455.65,73565.3,2955.6,76520.9,79034.55,0,79034.55,41805.2,833.25,42638.45,113109.2,0,113109.2,79696.65,0,79696.65,115766.7,2.8,115769.5,74220.6,3.9,74224.5,41389.35,4,41393.35,77454.05,1.95,77456,79718.65,0,79718.65,27896.15,17.45,27913.6,25503.9,1418.35,26922.25,72622.05,0,72622.05,92908.35,0,92908.35,56838.2,1.7,56839.9,66983.75,0,66983.75,90816.05,0.35,90816.4,94634.1,0.25,94634.35,32364.2,0,32364.2,75921,1249.45,77170.45,94623.65,0,94623.65,92412.45,0,92412.45,32364.05,4.95,32369,4674.2,1277.25,5951.45,90303.85,0,90303.85,89684.65,0,89684.65,12181.6,3.35,12184.95,0,0,0,15533.55,71.45,15605,102012.8,48,102060.8,85200.1,0,85200.1,95412.6,0,95412.6,45109.25,141.95,45251.2,99441.1,0,99441.1,47610.45,29.3,47639.75,98383.45,0,98383.45,104410.7,0,104410.7,90348.65,0,90348.65,120335.9,0,120335.9,103620.95,49.45,103670.4,60153.45,0,60153.45,74095.95,3511.25,77607.2,111160.25,0,111160.25,110541.3,0.05,110541.35,65947.4,0,65947.4,44593.85,2665.15,47259
58,NELC,HINB_07Z,D,S,78174.05,255,78429.05,104318.6,624.55,104943.15,16339.55,484.8,16824.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19994.25,554.05,20548.3,54414.55,1983.25,56397.8,49092.1,2231.55,51323.65,36498,3899.15,40397.15,45736.75,2191.2,47927.95,35401.15,1487.2,36888.35,0,0,0,11896.65,464.5,12361.15,40986.15,3421.3,44407.45,29894.1,7777.55,37671.65,23492.35,5876.45,29368.8,17283.15,4087.15,21370.3,33762.6,2322.8,36085.4,45556.85,1609.9,47166.75,23275.95,2830.95,26106.9,21123.15,3195.1,24318.25,37694.2,3161.55,40855.75,518.4,16.25,534.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59,NELC,HINB_08Z,D,S,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33302.35,963.8,34266.15,52298.4,2871.4,55169.8,35656.55,3920,39576.55,46756.75,2557.3,49314.05,69604.95,867.6,70472.55,56562.6,2251.7,58814.3,48670.75,4713.65,53384.4,20405.55,1195.25,21600.8,17801.35,2117.85,19919.2,25943.85,4305.75,30249.6,16917.95,4531.3,21449.25,32863.95,4760.7,37624.65,43850.65,927,44777.65,30845.45,4207.4,35052.85,17962.65,3594.1,21556.75,6362.8,601.5,6964.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,NELC,HRTL_01Z,D,N,55523.25,0.45,55523.7,36429.8,119.85,36549.65,35297.85,0.15,35298,74673.55,626.8,75300.35,99266.6,76.35,99342.95,60491,1040.9,61531.9,54489.75,1000.55,55490.3,38361.25,455.05,38816.3,52128.05,1296.6,53424.65,49815.6,1425.35,51240.95,50826.25,1024.75,51851,59337.35,2438.15,61775.5,14890.7,4519.4,19410.1,24202.35,15.15,24217.5,70075.75,0.1,70075.85,90695.15,108.05,90803.2,93187.45,117.8,93305.25,30991.35,1283.7,32275.05,39.15,0,39.15,0,0,0,5.25,0,5.25,3587.35,232,3819.35,25686.8,3694.75,29381.55,42216.35,3407.35,45623.7,68649.8,1439.65,70089.45,85455.25,118.6,85573.85,48573.65,94.6,48668.25,19.4,0,19.4,56313.85,27.75,56341.6,96690.8,42.8,96733.6,96535.95,75.7,96611.65,57438.3,413,57851.3,52877.65,294.15,53171.8,56496.4,1735.9,58232.3,66106.3,21.75,66128.05,72334.6,432.75,72767.35,66907.85,236.65,67144.5,38112.45,16.1,38128.55,64939.9,111.7,65051.6,73955.55,107.3,74062.85,78056.2,57,78113.2,100695.6,72.25,100767.85,86145.45,2902,89047.45,20287.85,1835.6,22123.45,71716.95,289.15,72006.1,69773.15,681.35,70454.5,10.4,0,10.4,12958.75,144.55,13103.3,64318.65,574.5,64893.15,86977.5,137.25,87114.75,12405.55,250.75,12656.3,56088.25,344.3,56432.55,71145.65,55.65,71201.3,10574.7,0,10574.7,0,0,0,0,0,0,0,0,0
61,NELC,HRTL_02Z,D,N,60055.4,100.9,60156.3,103007.1,1.1,103008.2,103271.3,52.75,103324.05,78184.95,82.2,78267.15,30977.2,14.05,30991.25,18345.15,1043.7,19388.85,49368.7,1583.4,50952.1,62792.35,1083.65,63876,62883.35,819.9,63703.25,48659.15,1464.1,50123.25,25495.95,1782.85,27278.8,23692.35,2794.1,26486.45,66194.45,41.35,66235.8,84363.05,229.75,84592.8,71334.55,75.9,71410.45,90645.7,66.35,90712.05,100148.5,60.25,100208.75,1209.15,0,1209.15,44.75,0,44.75,11.85,0,11.85,47768.75,993.85,48762.6,58334.75,2439.95,60774.7,25389.2,1766,27155.2,25358.05,745,26103.05,44521.35,318.4,44839.75,91071.55,730.1,91801.65,84226.7,128.5,84355.2,105701.45,175.2,105876.65,110257.7,221.7,110479.4,21590.25,164.75,21755,36885.7,171.1,37056.8,71922.35,694.05,72616.4,90027.35,328.5,90355.85,52607.65,1683.1,54290.75,21724.65,18.1,21742.75,67060.7,981.35,68042.05,52820.5,2760.2,55580.7,121935.2,0.95,121936.15,83896.2,17.2,83913.4,13702.15,12.45,13714.6,5.25,0,5.25,12.75,0,12.75,15215.75,6.15,15221.9,82886.85,230.1,83116.95,71291.3,406.9,71698.2,432.85,118.35,551.2,11.95,0,11.95,24350.9,214.35,24565.25,62885.6,839.6,63725.2,81906.55,132.4,82038.95,104851.9,91.6,104943.5,74809.6,236.7,75046.3,44985.8,170.85,45156.65,0,0,0,0,0,0,0,0,0,0,0,0
62,NELC,HUNB_07Z,D,SC,0,0,0,0,0,0,0,0,0,0,0,0,1736.65,23.65,1760.3,40909.85,1691.55,42601.4,43806.7,1722.15,45528.85,48497.5,1972.5,50470,54408.85,1536.3,55945.15,41374.9,604.2,41979.1,32425.8,2722.95,35148.75,10733.1,0,10733.1,17833.8,19.25,17853.05,90021.5,1108.5,91130,65425.65,1092.35,66518,71131.4,239.9,71371.3,64318.8,934.85,65253.65,51971.8,605.85,52577.65,61975.4,312.9,62288.3,33050.1,1581.5,34631.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63,NELC,HUNB_08Z,D,SC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4137.5,611.85,4749.35,44245.85,770,45015.85,45250.85,2779.7,48030.55,60255.25,1866.5,62121.75,42587.15,423,43010.15,27208.6,4048.65,31257.25,42598.6,3655.8,46254.4,0,0,0,0,0,0,40687.8,1345.4,42033.2,87832.75,145.05,87977.8,52741.9,3332.35,56074.25,57957.35,334.75,58292.1,56131.1,580.25,56711.35,37799.2,3720.9,41520.1,73183.8,864.7,74048.5,15325.65,2.35,15328,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
