ValueDate,Current Inst,Volts Inst
2026-02-26T00:05:00+00:00,168.752,11.172
2026-02-26T00:10:00+00:00,171.828,11.166
2026-02-26T00:15:00+00:00,172.365,11.162
2026-02-26T00:20:00+00:00,171.737,11.176
2026-02-26T00:25:00+00:00,170.186,11.212
2026-02-26T00:30:00+00:00,169.554,11.244
2026-02-26T00:35:00+00:00,171.61,11.182
2026-02-26T00:40:00+00:00,171.1,11.15
2026-02-26T00:45:00+00:00,169.76,11.156
2026-02-26T00:50:00+00:00,171.078,11.163
2026-02-26T00:55:00+00:00,168.614,11.17
2026-02-26T01:00:00+00:00,167.462,11.176
2026-02-26T01:05:00+00:00,168.113,11.184
2026-02-26T01:10:00+00:00,168.534,11.189
2026-02-26T01:15:00+00:00,168.969,11.196
2026-02-26T01:20:00+00:00,168.084,11.203
2026-02-26T01:25:00+00:00,167.46,11.21
2026-02-26T01:30:00+00:00,164.688,11.217
2026-02-26T01:35:00+00:00,164.858,11.224
2026-02-26T01:40:00+00:00,165.553,11.23
2026-02-26T01:45:00+00:00,164.863,11.236
2026-02-26T01:50:00+00:00,163.052,11.229
2026-02-26T01:55:00+00:00,164.141,11.216
2026-02-26T02:00:00+00:00,163.763,11.204
2026-02-26T02:05:00+00:00,163.732,11.193
2026-02-26T02:10:00+00:00,163.052,11.18
2026-02-26T02:15:00+00:00,162.417,11.168
2026-02-26T02:20:00+00:00,162.777,11.156
2026-02-26T02:25:00+00:00,161.64,11.144
2026-02-26T02:30:00+00:00,159.684,11.132
2026-02-26T02:35:00+00:00,159.878,11.142
2026-02-26T02:40:00+00:00,158.845,11.166
2026-02-26T02:45:00+00:00,159.548,11.19
2026-02-26T02:50:00+00:00,157.244,11.214
2026-02-26T02:55:00+00:00,155.41,11.23
2026-02-26T03:00:00+00:00,153.913,11.224
2026-02-26T03:05:00+00:00,153.885,11.218
2026-02-26T03:10:00+00:00,154.078,11.212
2026-02-26T03:15:00+00:00,154.73,11.206
2026-02-26T03:20:00+00:00,152.728,11.2
2026-02-26T03:25:00+00:00,149.729,11.194
2026-02-26T03:30:00+00:00,151.916,11.188
2026-02-26T03:35:00+00:00,153.492,11.182
2026-02-26T03:40:00+00:00,151.96,11.175
2026-02-26T03:45:00+00:00,151.861,11.169
2026-02-26T03:50:00+00:00,150.842,11.163
2026-02-26T03:55:00+00:00,153.362,11.157
2026-02-26T04:00:00+00:00,150.032,11.151
2026-02-26T04:05:00+00:00,144.37,11.144
2026-02-26T04:10:00+00:00,145.156,11.138
2026-02-26T04:15:00+00:00,143.776,11.132
2026-02-26T04:20:00+00:00,144.662,11.126
2026-02-26T04:25:00+00:00,142.644,11.12
2026-02-26T04:30:00+00:00,141.048,11.114
2026-02-26T04:35:00+00:00,142.233,11.112
2026-02-26T04:40:00+00:00,143.03,11.134
2026-02-26T04:45:00+00:00,142.121,11.162
2026-02-26T04:50:00+00:00,144.218,11.189
2026-02-26T04:55:00+00:00,143.272,11.198
2026-02-26T05:00:00+00:00,145.214,11.189
2026-02-26T05:05:00+00:00,142.05,11.18
2026-02-26T05:10:00+00:00,141.908,11.172
2026-02-26T05:15:00+00:00,142.639,11.162
2026-02-26T05:20:00+00:00,144.688,11.153
2026-02-26T05:25:00+00:00,146.589,11.144
2026-02-26T05:30:00+00:00,149.258,11.134
2026-02-26T05:35:00+00:00,151.156,11.126
2026-02-26T05:40:00+00:00,149.962,11.116
2026-02-26T05:45:00+00:00,152.452,11.108
2026-02-26T05:50:00+00:00,151.785,11.098
2026-02-26T05:55:00+00:00,151.98,11.089
2026-02-26T06:00:00+00:00,154.055,11.082
2026-02-26T06:05:00+00:00,154.662,11.082
2026-02-26T06:10:00+00:00,158.943,11.094
2026-02-26T06:15:00+00:00,163.672,11.114
2026-02-26T06:20:00+00:00,166.005,11.134
2026-02-26T06:25:00+00:00,171.497,11.155
2026-02-26T06:30:00+00:00,174.475,11.176
2026-02-26T06:35:00+00:00,178.168,11.162
2026-02-26T06:40:00+00:00,184.895,11.102
2026-02-26T06:45:00+00:00,187.158,11.161
2026-02-26T06:50:00+00:00,192.549,11.202
2026-02-26T06:55:00+00:00,197.044,11.186
2026-02-26T07:00:00+00:00,201.06,11.168
2026-02-26T07:05:00+00:00,207.94,11.15
2026-02-26T07:10:00+00:00,215.906,11.132
2026-02-26T07:15:00+00:00,218.495,11.12
2026-02-26T07:20:00+00:00,213.992,11.129
2026-02-26T07:25:00+00:00,219.936,11.139
