ValueDate,MVAr,MW,Volts
2026-02-26T00:05:00+00:00,-3.936,14.921,33.726
2026-02-26T00:10:00+00:00,-3.916,15.123,33.701
2026-02-26T00:15:00+00:00,-3.975,14.987,33.712
2026-02-26T00:20:00+00:00,-3.789,15.632,33.704
2026-02-26T00:25:00+00:00,-3.709,15.668,33.713
2026-02-26T00:30:00+00:00,-3.698,15.304,33.84
2026-02-26T00:35:00+00:00,-3.414,15.062,33.81
2026-02-26T00:40:00+00:00,-3.468,14.729,33.772
2026-02-26T00:45:00+00:00,-3.551,14.884,33.706
2026-02-26T00:50:00+00:00,-3.674,14.846,33.703
2026-02-26T00:55:00+00:00,-3.702,14.884,33.576
2026-02-26T01:00:00+00:00,-4.57,14.775,33.657
2026-02-26T01:05:00+00:00,-4.423,15.066,33.701
2026-02-26T01:10:00+00:00,-4.305,15.209,33.707
2026-02-26T01:15:00+00:00,-4.173,15.012,33.733
2026-02-26T01:20:00+00:00,-3.822,14.876,33.767
2026-02-26T01:25:00+00:00,-3.319,14.943,33.772
2026-02-26T01:30:00+00:00,-3.393,14.833,33.781
2026-02-26T01:35:00+00:00,-3.454,14.273,33.705
2026-02-26T01:40:00+00:00,-3.377,14.556,33.592
2026-02-26T01:45:00+00:00,-3.733,14.804,33.654
2026-02-26T01:50:00+00:00,-3.793,14.847,33.675
2026-02-26T01:55:00+00:00,-3.74,14.851,33.761
2026-02-26T02:00:00+00:00,-4.033,14.721,33.865
2026-02-26T02:05:00+00:00,-4.043,14.654,33.698
2026-02-26T02:10:00+00:00,-3.959,15.125,33.7
2026-02-26T02:15:00+00:00,-3.951,15.228,33.805
2026-02-26T02:20:00+00:00,-4.004,14.67,33.769
2026-02-26T02:25:00+00:00,-4.029,14.532,33.759
2026-02-26T02:30:00+00:00,-3.976,14.839,33.78
2026-02-26T02:35:00+00:00,-3.99,14.944,33.853
2026-02-26T02:40:00+00:00,-4.03,14.945,33.948
2026-02-26T02:45:00+00:00,-4.048,14.82,33.971
2026-02-26T02:50:00+00:00,-4.169,14.696,34.007
2026-02-26T02:55:00+00:00,-4.257,14.248,34.031
2026-02-26T03:00:00+00:00,-4.186,14.314,34.026
2026-02-26T03:05:00+00:00,-4.164,14.356,33.959
2026-02-26T03:10:00+00:00,-4.078,14.214,33.805
2026-02-26T03:15:00+00:00,-4.049,14.211,33.808
2026-02-26T03:20:00+00:00,-4.146,13.914,33.856
2026-02-26T03:25:00+00:00,-4.115,14.166,33.896
2026-02-26T03:30:00+00:00,-4.141,14.387,33.9
2026-02-26T03:35:00+00:00,-4.035,14.416,34.018
2026-02-26T03:40:00+00:00,-4.091,14.051,34.057
2026-02-26T03:45:00+00:00,-3.952,14.024,34.049
2026-02-26T03:50:00+00:00,-3.803,14.032,34.027
2026-02-26T03:55:00+00:00,-3.872,13.669,33.957
2026-02-26T04:00:00+00:00,-3.929,13.495,33.923
2026-02-26T04:05:00+00:00,-3.873,13.037,33.848
2026-02-26T04:10:00+00:00,-3.897,13.038,33.976
2026-02-26T04:15:00+00:00,-3.925,13.041,33.964
2026-02-26T04:20:00+00:00,-3.851,13.404,33.778
2026-02-26T04:25:00+00:00,-3.76,13.505,33.794
2026-02-26T04:30:00+00:00,-3.69,13.526,33.907
2026-02-26T04:35:00+00:00,-3.756,13.779,33.992
2026-02-26T04:40:00+00:00,-3.735,13.35,33.849
2026-02-26T04:45:00+00:00,-3.695,13.312,33.993
2026-02-26T04:50:00+00:00,-3.833,13.187,33.934
2026-02-26T04:55:00+00:00,-3.856,13.228,33.845
2026-02-26T05:00:00+00:00,-3.954,13.052,33.882
2026-02-26T05:05:00+00:00,-3.847,13.38,33.725
2026-02-26T05:10:00+00:00,-4.132,13.387,33.849
2026-02-26T05:15:00+00:00,-4.223,13.037,33.892
2026-02-26T05:20:00+00:00,-4.276,12.815,33.849
2026-02-26T05:25:00+00:00,-4.326,12.641,33.737
2026-02-26T05:30:00+00:00,-4.286,12.74,33.6
2026-02-26T05:35:00+00:00,-4.243,12.914,33.589
2026-02-26T05:40:00+00:00,-4.122,13.048,33.617
2026-02-26T05:45:00+00:00,-4.169,13.092,33.617
2026-02-26T05:50:00+00:00,-4.174,13.015,33.615
2026-02-26T05:55:00+00:00,-4.096,13.115,33.7
2026-02-26T06:00:00+00:00,-3.959,13.611,33.665
2026-02-26T06:05:00+00:00,-4.208,13.987,33.418
2026-02-26T06:10:00+00:00,-3.813,14.841,33.58
2026-02-26T06:15:00+00:00,-2.807,15.582,33.736
2026-02-26T06:20:00+00:00,-2.658,15.746,33.809
2026-02-26T06:25:00+00:00,-2.509,15.611,33.629
2026-02-26T06:30:00+00:00,-2.384,15.603,33.568
2026-02-26T06:35:00+00:00,-2.349,16.321,33.658
2026-02-26T06:40:00+00:00,-2.192,16.801,33.607
2026-02-26T06:45:00+00:00,-2.205,17.126,33.653
2026-02-26T06:50:00+00:00,-2.469,17.047,33.518
2026-02-26T06:55:00+00:00,-2.312,17.954,33.506
2026-02-26T07:00:00+00:00,-2.264,17.846,33.424
2026-02-26T07:05:00+00:00,-2.375,17.962,33.41
2026-02-26T07:10:00+00:00,-2.36,18.365,33.377
2026-02-26T07:15:00+00:00,-2.344,18.518,33.358
2026-02-26T07:20:00+00:00,-2.389,18.928,33.467
2026-02-26T07:25:00+00:00,-2.487,18.755,33.411
2026-02-26T07:30:00+00:00,-2.062,19.536,33.548
2026-02-26T07:35:00+00:00,-2.598,19.451,33.722
2026-02-26T07:40:00+00:00,-2.132,19.811,34.009
2026-02-26T07:45:00+00:00,-1.754,19.881,33.816
2026-02-26T07:50:00+00:00,-2.048,19.75,33.828
2026-02-26T07:55:00+00:00,-1.974,19.945,33.805
2026-02-26T08:00:00+00:00,-1.701,19.931,33.615
2026-02-26T08:05:00+00:00,-1.412,20.013,33.539
2026-02-26T08:10:00+00:00,-1.424,20.319,33.648
2026-02-26T08:15:00+00:00,-1.332,20.765,33.69
2026-02-26T08:20:00+00:00,-1.267,20.734,33.645
2026-02-26T08:25:00+00:00,-1.667,20.24,33.515
2026-02-26T08:30:00+00:00,-2.747,19.908,33.669
2026-02-26T08:35:00+00:00,-2.48,19.837,33.787
2026-02-26T08:40:00+00:00,-2.584,19.856,33.801
2026-02-26T08:45:00+00:00,-2.379,19.507,33.761
2026-02-26T08:50:00+00:00,-2.451,19.399,33.689
2026-02-26T08:55:00+00:00,-2.38,19.681,33.551
2026-02-26T09:00:00+00:00,-2.255,20.198,33.594
2026-02-26T09:05:00+00:00,-2.007,20.306,33.7
2026-02-26T09:10:00+00:00,-2.131,20.142,33.706
2026-02-26T09:15:00+00:00,-2.093,20.139,33.663
2026-02-26T09:20:00+00:00,-2.058,20.214,33.586
2026-02-26T09:25:00+00:00,-2.028,20.012,33.589
2026-02-26T09:30:00+00:00,-1.99,20.166,33.597
2026-02-26T09:35:00+00:00,-1.973,20.249,33.672
2026-02-26T09:40:00+00:00,-2.077,20.346,33.728
2026-02-26T09:45:00+00:00,-2.055,20.288,33.737
2026-02-26T09:50:00+00:00,-2.103,20.32,33.715
2026-02-26T09:55:00+00:00,-2.119,20.913,33.703
2026-02-26T10:00:00+00:00,-2.421,21.062,33.679
2026-02-26T10:05:00+00:00,-2.455,20.936,33.585
2026-02-26T10:10:00+00:00,-2.435,20.975,33.551
2026-02-26T10:15:00+00:00,-2.335,21.19,33.587
2026-02-26T10:20:00+00:00,-2.471,21.052,33.634
2026-02-26T10:25:00+00:00,-2.478,21.436,33.687
2026-02-26T10:30:00+00:00,-2.417,22.205,33.71
2026-02-26T10:35:00+00:00,-2.602,21.023,33.689
2026-02-26T10:40:00+00:00,-2.53,20.156,33.5
2026-02-26T10:45:00+00:00,-2.628,19.271,33.626
2026-02-26T10:50:00+00:00,-2.916,19.416,33.614
2026-02-26T10:55:00+00:00,-2.759,20.597,33.523
2026-02-26T11:00:00+00:00,-2.493,20.734,33.617
2026-02-26T11:05:00+00:00,-2.28,20.738,33.735
2026-02-26T11:10:00+00:00,-2.271,20.816,33.579
2026-02-26T11:15:00+00:00,-2.237,20.508,33.549
2026-02-26T11:20:00+00:00,-2.309,20.051,33.595
2026-02-26T11:25:00+00:00,-2.157,20.364,33.598
2026-02-26T11:30:00+00:00,-2.324,20.079,33.601
2026-02-26T11:35:00+00:00,-2.382,20.175,33.757
2026-02-26T11:40:00+00:00,-2.276,20.635,33.762
2026-02-26T11:45:00+00:00,-2.298,20.364,33.75
2026-02-26T11:50:00+00:00,-2.408,20.552,33.631
2026-02-26T11:55:00+00:00,-2.356,20.87,33.602
2026-02-26T12:00:00+00:00,-2.246,20.907,33.726
2026-02-26T12:05:00+00:00,-2.328,21.104,33.607
2026-02-26T12:10:00+00:00,-2.38,21.232,33.599
2026-02-26T12:15:00+00:00,-2.376,21.184,33.597
2026-02-26T12:20:00+00:00,-2.371,21.134,33.604
2026-02-26T12:25:00+00:00,-2.363,21.374,33.588
2026-02-26T12:30:00+00:00,-2.399,21.164,33.691
2026-02-26T12:35:00+00:00,-2.514,20.872,33.67
2026-02-26T12:40:00+00:00,-2.351,21.101,33.472
2026-02-26T12:45:00+00:00,-2.355,20.657,33.498
2026-02-26T12:50:00+00:00,-2.284,20.299,33.562
2026-02-26T12:55:00+00:00,-2.359,18.926,33.651
2026-02-26T13:00:00+00:00,-2.306,19.842,33.669
2026-02-26T13:05:00+00:00,-2.246,20.155,33.651
2026-02-26T13:10:00+00:00,-2.301,20.331,33.635
2026-02-26T13:15:00+00:00,-2.337,20.519,33.734
2026-02-26T13:20:00+00:00,-2.396,20.863,33.727
2026-02-26T13:25:00+00:00,-2.412,20.646,33.74
2026-02-26T13:30:00+00:00,-2.333,20.415,33.626
2026-02-26T13:35:00+00:00,-2.458,20.147,33.611
2026-02-26T13:40:00+00:00,-2.496,19.894,33.609
2026-02-26T13:45:00+00:00,-2.481,19.785,33.64
2026-02-26T13:50:00+00:00,-1.995,19.729,33.719
2026-02-26T13:55:00+00:00,-1.678,19.465,33.789
2026-02-26T14:00:00+00:00,-1.708,19.733,33.828
2026-02-26T14:05:00+00:00,-1.687,20.091,33.718
2026-02-26T14:10:00+00:00,-1.746,20.125,33.685
2026-02-26T14:15:00+00:00,-1.758,20.327,33.759
2026-02-26T14:20:00+00:00,-1.846,20.021,33.8
2026-02-26T14:25:00+00:00,-1.852,19.289,33.693
2026-02-26T14:30:00+00:00,-1.937,18.795,33.648
2026-02-26T14:35:00+00:00,-2.0,18.787,33.684
2026-02-26T14:40:00+00:00,-1.928,19.063,33.723
2026-02-26T14:45:00+00:00,-1.82,19.542,33.655
2026-02-26T14:50:00+00:00,-1.901,19.337,33.564
2026-02-26T14:55:00+00:00,-1.792,19.16,33.565
2026-02-26T15:00:00+00:00,-1.635,19.514,33.599
