ValueDate,Volts
2026-02-26T00:05:00+00:00,32.998
2026-02-26T00:10:00+00:00,32.915
2026-02-26T00:15:00+00:00,32.891
2026-02-26T00:20:00+00:00,32.872
2026-02-26T00:25:00+00:00,32.916
2026-02-26T00:30:00+00:00,32.99
2026-02-26T00:35:00+00:00,32.834
2026-02-26T00:40:00+00:00,32.73
2026-02-26T00:45:00+00:00,32.724
2026-02-26T00:50:00+00:00,32.7
2026-02-26T00:55:00+00:00,32.7
2026-02-26T01:00:00+00:00,32.736
2026-02-26T01:05:00+00:00,32.708
2026-02-26T01:10:00+00:00,32.728
2026-02-26T01:15:00+00:00,32.761
2026-02-26T01:20:00+00:00,32.781
2026-02-26T01:25:00+00:00,32.79
2026-02-26T01:30:00+00:00,32.816
2026-02-26T01:35:00+00:00,32.794
2026-02-26T01:40:00+00:00,32.783
2026-02-26T01:45:00+00:00,32.795
2026-02-26T01:50:00+00:00,32.828
2026-02-26T01:55:00+00:00,32.87
2026-02-26T02:00:00+00:00,32.987
2026-02-26T02:05:00+00:00,32.97
2026-02-26T02:10:00+00:00,32.979
2026-02-26T02:15:00+00:00,33.028
2026-02-26T02:20:00+00:00,33.024
2026-02-26T02:25:00+00:00,33.076
2026-02-26T02:30:00+00:00,33.064
2026-02-26T02:35:00+00:00,33.035
2026-02-26T02:40:00+00:00,33.061
2026-02-26T02:45:00+00:00,33.091
2026-02-26T02:50:00+00:00,33.141
2026-02-26T02:55:00+00:00,33.194
2026-02-26T03:00:00+00:00,33.193
2026-02-26T03:05:00+00:00,33.14
2026-02-26T03:10:00+00:00,33.085
2026-02-26T03:15:00+00:00,33.148
2026-02-26T03:20:00+00:00,33.165
2026-02-26T03:25:00+00:00,33.21
2026-02-26T03:30:00+00:00,33.224
2026-02-26T03:35:00+00:00,33.204
2026-02-26T03:40:00+00:00,33.207
2026-02-26T03:45:00+00:00,33.222
2026-02-26T03:50:00+00:00,33.248
2026-02-26T03:55:00+00:00,33.074
2026-02-26T04:00:00+00:00,32.888
2026-02-26T04:05:00+00:00,32.685
2026-02-26T04:10:00+00:00,32.659
2026-02-26T04:15:00+00:00,32.653
2026-02-26T04:20:00+00:00,32.664
2026-02-26T04:25:00+00:00,32.663
2026-02-26T04:30:00+00:00,32.667
2026-02-26T04:35:00+00:00,32.7
2026-02-26T04:40:00+00:00,32.7
2026-02-26T04:45:00+00:00,32.7
2026-02-26T04:50:00+00:00,32.701
2026-02-26T04:55:00+00:00,32.705
2026-02-26T05:00:00+00:00,32.672
2026-02-26T05:05:00+00:00,32.773
2026-02-26T05:10:00+00:00,32.826
2026-02-26T05:15:00+00:00,32.83
2026-02-26T05:20:00+00:00,32.85
2026-02-26T05:25:00+00:00,32.816
2026-02-26T05:30:00+00:00,32.83
2026-02-26T05:35:00+00:00,32.8
2026-02-26T05:40:00+00:00,32.78
2026-02-26T05:45:00+00:00,32.792
2026-02-26T05:50:00+00:00,32.704
2026-02-26T05:55:00+00:00,32.652
2026-02-26T06:00:00+00:00,32.86
2026-02-26T06:05:00+00:00,32.824
2026-02-26T06:10:00+00:00,32.76
2026-02-26T06:15:00+00:00,32.814
2026-02-26T06:20:00+00:00,32.853
2026-02-26T06:25:00+00:00,32.802
2026-02-26T06:30:00+00:00,32.768
2026-02-26T06:35:00+00:00,32.692
2026-02-26T06:40:00+00:00,32.973
2026-02-26T06:45:00+00:00,33.072
2026-02-26T06:50:00+00:00,33.082
2026-02-26T06:55:00+00:00,33.034
2026-02-26T07:00:00+00:00,32.938
2026-02-26T07:05:00+00:00,32.998
2026-02-26T07:10:00+00:00,32.898
2026-02-26T07:15:00+00:00,32.887
2026-02-26T07:20:00+00:00,32.99
2026-02-26T07:25:00+00:00,32.911
2026-02-26T07:30:00+00:00,32.833
2026-02-26T07:35:00+00:00,32.707
2026-02-26T07:40:00+00:00,32.694
2026-02-26T07:45:00+00:00,32.696
2026-02-26T07:50:00+00:00,32.7
2026-02-26T07:55:00+00:00,32.761
2026-02-26T08:00:00+00:00,32.748
2026-02-26T08:05:00+00:00,32.783
2026-02-26T08:10:00+00:00,33.05
2026-02-26T08:15:00+00:00,33.051
2026-02-26T08:20:00+00:00,32.933
2026-02-26T08:25:00+00:00,32.834
2026-02-26T08:30:00+00:00,32.803
2026-02-26T08:35:00+00:00,32.842
2026-02-26T08:40:00+00:00,32.811
2026-02-26T08:45:00+00:00,32.763
2026-02-26T08:50:00+00:00,32.737
2026-02-26T08:55:00+00:00,32.719
2026-02-26T09:00:00+00:00,32.706
2026-02-26T09:05:00+00:00,32.713
2026-02-26T09:10:00+00:00,32.71
2026-02-26T09:15:00+00:00,32.722
2026-02-26T09:20:00+00:00,32.759
2026-02-26T09:25:00+00:00,32.745
2026-02-26T09:30:00+00:00,32.778
2026-02-26T09:35:00+00:00,32.822
2026-02-26T09:40:00+00:00,32.818
2026-02-26T09:45:00+00:00,32.829
2026-02-26T09:50:00+00:00,32.846
2026-02-26T09:55:00+00:00,32.862
2026-02-26T10:00:00+00:00,32.906
2026-02-26T10:05:00+00:00,32.904
2026-02-26T10:10:00+00:00,32.892
2026-02-26T10:15:00+00:00,32.885
2026-02-26T10:20:00+00:00,32.891
2026-02-26T10:25:00+00:00,32.86
2026-02-26T10:30:00+00:00,32.872
2026-02-26T10:35:00+00:00,32.896
2026-02-26T10:40:00+00:00,32.818
2026-02-26T10:45:00+00:00,32.79
2026-02-26T10:50:00+00:00,32.797
2026-02-26T10:55:00+00:00,32.78
2026-02-26T11:00:00+00:00,32.787
2026-02-26T11:05:00+00:00,32.866
2026-02-26T11:10:00+00:00,32.884
