Data,Unit ID,Time From,Level From,Time To,Level To
PN,EDFE-11,2025-10-08T16:00:00,0.0,2025-10-08T16:30:00,0.0
PN,EDFE-11,2025-10-08T16:30:00,0.0,2025-10-08T17:00:00,0.0
PN,EDFE-11,2025-10-08T17:00:00,0.0,2025-10-08T17:30:00,0.0
PN,EDFE-11,2025-10-08T17:30:00,0.0,2025-10-08T18:00:00,0.0
PN,EDFE-8,2025-10-08T18:00:00,2.0,2025-10-08T18:01:00,6.0
PN,EDFE-11,2025-10-08T18:00:00,0.0,2025-10-08T18:30:00,0.0
PN,EDFE-21,2025-10-08T18:00:00,20.0,2025-10-08T18:29:00,20.0
PN,EDFE-8,2025-10-08T18:01:00,6.0,2025-10-08T18:29:00,6.0
PN,EDFE-8,2025-10-08T18:29:00,6.0,2025-10-08T18:30:00,0.0
PN,EDFE-21,2025-10-08T18:29:00,20.0,2025-10-08T18:30:00,3.0
PN,EDFE-11,2025-10-08T18:30:00,0.0,2025-10-08T19:00:00,0.0
PN,EDFE-8,2025-10-08T18:30:00,0.0,2025-10-08T18:31:00,1.0
PN,EDFE-21,2025-10-08T18:30:00,3.0,2025-10-08T18:59:00,3.0
PN,EDFE-8,2025-10-08T18:31:00,1.0,2025-10-08T18:59:00,1.0
PN,EDFE-8,2025-10-08T18:59:00,1.0,2025-10-08T19:00:00,0.0
PN,EDFE-21,2025-10-08T18:59:00,3.0,2025-10-08T19:00:00,2.0
PN,EDFE-11,2025-10-08T19:00:00,0.0,2025-10-08T19:30:00,0.0
PN,EDFE-8,2025-10-08T19:00:00,0.0,2025-10-08T19:01:00,1.0
PN,EDFE-21,2025-10-08T19:00:00,2.0,2025-10-08T19:01:00,1.0
PN,EDFE-8,2025-10-08T19:01:00,1.0,2025-10-08T19:29:00,1.0
PN,EDFE-21,2025-10-08T19:01:00,1.0,2025-10-08T19:30:00,1.0
PN,EDFE-8,2025-10-08T19:29:00,1.0,2025-10-08T19:30:00,0.0
PN,EDFE-21,2025-10-08T19:30:00,1.0,2025-10-08T19:31:00,0.0
PN,EDFE-8,2025-10-08T19:30:00,0.0,2025-10-08T19:31:00,-1.0
PN,EDFE-11,2025-10-08T19:30:00,0.0,2025-10-08T20:00:00,0.0
PN,EDFE-21,2025-10-08T19:31:00,0.0,2025-10-08T20:00:00,0.0
PN,EDFE-8,2025-10-08T19:31:00,-1.0,2025-10-08T20:00:00,-1.0
PN,EDFE-11,2025-10-08T20:00:00,0.0,2025-10-08T20:30:00,0.0
PN,EDFE-8,2025-10-08T20:00:00,-1.0,2025-10-08T20:01:00,-2.0
PN,EDFE-21,2025-10-08T20:00:00,0.0,2025-10-08T20:01:00,2.0
PN,EDFE-21,2025-10-08T20:01:00,2.0,2025-10-08T20:29:00,2.0
