Data,Unit ID,Time From,Time To,Pair ID,Availability Power,Utilisation Price,Service ID
AV,EDFE-21,2025-10-09T14:00:00,2025-10-09T14:30:00,-1,0.0,71.18,NQR
AV,EDFE-8,2025-10-09T14:30:00,2025-10-09T15:00:00,1,0.0,145.79,PQR
AV,EDFE-11,2025-10-09T14:30:00,2025-10-09T15:00:00,1,0.0,145.79,PQR
AV,EDFE-21,2025-10-09T14:30:00,2025-10-09T15:00:00,1,0.0,145.0,PQR
AV,EDFE-21,2025-10-09T14:30:00,2025-10-09T15:00:00,-1,0.0,72.07,NQR
AV,EDFE-11,2025-10-09T14:30:00,2025-10-09T15:00:00,-1,0.0,58.65,NQR
AV,EDFE-8,2025-10-09T14:30:00,2025-10-09T15:00:00,-1,0.0,58.65,NQR
AV,EDFE-21,2025-10-09T15:00:00,2025-10-09T15:30:00,1,0.0,143.0,PQR
AV,EDFE-11,2025-10-09T15:00:00,2025-10-09T15:30:00,1,0.0,143.79,PQR
AV,EDFE-11,2025-10-09T15:00:00,2025-10-09T15:30:00,-1,0.0,57.89,NQR
AV,EDFE-8,2025-10-09T15:00:00,2025-10-09T15:30:00,1,0.0,143.79,PQR
AV,EDFE-21,2025-10-09T15:00:00,2025-10-09T15:30:00,-1,0.0,-44.65,NQR
AV,EDFE-8,2025-10-09T15:00:00,2025-10-09T15:30:00,-1,0.0,-75.65,NQR
AV,EDFE-8,2025-10-09T15:30:00,2025-10-09T16:00:00,1,0.0,149.79,PQR
AV,EDFE-21,2025-10-09T15:30:00,2025-10-09T16:00:00,1,0.0,149.0,PQR
AV,EDFE-11,2025-10-09T15:30:00,2025-10-09T16:00:00,-1,0.0,57.27,NQR
AV,EDFE-21,2025-10-09T15:30:00,2025-10-09T16:00:00,-1,0.0,-46.93,NQR
AV,EDFE-11,2025-10-09T15:30:00,2025-10-09T16:00:00,1,0.0,149.79,PQR
AV,EDFE-8,2025-10-09T15:30:00,2025-10-09T16:00:00,-1,0.0,57.27,NQR
AV,EDFE-21,2025-10-09T16:00:00,2025-10-09T16:30:00,1,0.0,148.0,PQR
AV,EDFE-11,2025-10-09T16:00:00,2025-10-09T16:30:00,1,0.0,148.79,PQR
AV,EDFE-11,2025-10-09T16:00:00,2025-10-09T16:30:00,-1,0.0,57.68,NQR
AV,EDFE-8,2025-10-09T16:00:00,2025-10-09T16:30:00,1,0.0,148.79,PQR
AV,EDFE-8,2025-10-09T16:00:00,2025-10-09T16:30:00,-1,0.0,57.68,NQR
AV,EDFE-21,2025-10-09T16:00:00,2025-10-09T16:30:00,-1,0.0,70.93,NQR
